"","ESU","Species.x","ER","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","col","org","footnote","ltype"
"34","Sacramento River Winter-run Chinook Salmon","Chinook",0.153667689473684,1,"Chinook","Sacramento River Winter Run","Chinook Salmon (Sacramento River winter-run ESU)","E","CA","CA","abs","#1B9E77","E:Chinook:Sacramento River Winter Run","","solid"
"48","Upper Columbia River Spring-run Chinook Salmon ESU","Chinook",0.0953307507307692,2,"Chinook","Upper Columbia River Spring Run","Chinook Salmon (Upper Columbia River ESU) ","E","PNW","IC","abs","#1B9E77","E:Chinook:Upper Columbia River Spring Run","","solid"
"4","California Coastal Chinook salmon",NA,NA,3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","#1B9E77","T:Chinook:California Coastal","ND","solid"
"8","Central Valley Spring-Run Chinook Salmon","Chinook",0.310338888888889,4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","index","#1B9E77","T:Chinook:Central Valley Spring Run","","solid"
"16","Lower Columbia River Chinook Salmon ESU","Chinook",0.492666666666667,5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","index","#1B9E77","T:Chinook:Lower Columbia River","","solid"
"29","Puget Sound Chinook Salmon ESU","Chinook",0.480839008214008,6,"Chinook","Puget Sound","Chinook Salmon (Puget Sound ESU) ","T","PNW","NC","abs","#1B9E77","T:Chinook:Puget Sound","","solid"
"36","Snake River Fall-run Chinook Salmon ESU","Chinook",0.3858,7,"Chinook","Snake River Fall-Run","Chinook Salmon (Snake River Fall Run) ","T","PNW","IC","abs","#1B9E77","T:Chinook:Snake River Fall-Run","","solid"
"38","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook",0.0950274533461539,8,"Chinook","Snake River Spring-Summer Run","Chinook Salmon (Snake River spring/summer-run ESU) ","T","PNW","IC","abs","#1B9E77","T:Chinook:Snake River Spring-Summer Run","","solid"
"51","Upper Willamette River Chinook Salmon ESU","Chinook",0.372423076923077,9,"Chinook","Upper Willamette River","Chinook Salmon (Upper Willamette River ESU) ","T","PNW","LC","abs","#1B9E77","T:Chinook:Upper Willamette River","","solid"
"7","Central Valley fall-late fall-run Chinook Salmon","Chinook",0.535778232576923,10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","#1B9E77","U:Chinook:Central Valley fall-late-fall Run","","11"
