"","ESU","name","trend","stderr","Species.x","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","col","shape"
"34","Sacramento River Winter-run Chinook Salmon","Chinook_Sacramento River Winter-run Chinook Salmon",-0.0034185068294409,0.00267164446046135,"Chinook",1,"Chinook","Sacramento River Winter Run","Chinook Salmon (Sacramento River winter-run ESU)","E","CA","CA","abs","E:Chinook:Sacramento River Winter Run","#1B9E77",19
"48","Upper Columbia River Spring-run Chinook Salmon ESU","Chinook_Upper Columbia River Spring-run Chinook Salmon ESU",0.00163248207145299,0.000834556845866401,"Chinook",2,"Chinook","Upper Columbia River Spring Run","Chinook Salmon (Upper Columbia River ESU) ","E","PNW","IC","abs","E:Chinook:Upper Columbia River Spring Run","#1B9E77",19
"4","California Coastal Chinook salmon",NA,NA,NA,NA,3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","T:Chinook:California Coastal","#1B9E77",19
"8","Central Valley Spring-Run Chinook Salmon","Chinook_Central Valley Spring-Run Chinook Salmon",-0.0229664602683183,0.0079499164159951,"Chinook",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","index","T:Chinook:Central Valley Spring Run","#1B9E77",19
"16","Lower Columbia River Chinook Salmon ESU","Chinook_Lower Columbia River Chinook Salmon ESU",0.00507886039886039,0.00173998867754734,"Chinook",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","index","T:Chinook:Lower Columbia River","#1B9E77",19
"29","Puget Sound Chinook Salmon ESU","Chinook_Puget Sound Chinook Salmon ESU",-0.0017920023433357,0.00143963252179332,"Chinook",6,"Chinook","Puget Sound","Chinook Salmon (Puget Sound ESU) ","T","PNW","NC","abs","T:Chinook:Puget Sound","#1B9E77",19
"36","Snake River Fall-run Chinook Salmon ESU","Chinook_Snake River Fall-run Chinook Salmon ESU",0.00300923076923079,0.00331540384415815,"Chinook",7,"Chinook","Snake River Fall-Run","Chinook Salmon (Snake River Fall Run) ","T","PNW","IC","abs","T:Chinook:Snake River Fall-Run","#1B9E77",19
"38","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU",0.00161234709094017,0.000825302033249637,"Chinook",8,"Chinook","Snake River Spring-Summer Run","Chinook Salmon (Snake River spring/summer-run ESU) ","T","PNW","IC","abs","T:Chinook:Snake River Spring-Summer Run","#1B9E77",19
"51","Upper Willamette River Chinook Salmon ESU","Chinook_Upper Willamette River Chinook Salmon ESU",0.000794871794871754,0.00261639749114878,"Chinook",9,"Chinook","Upper Willamette River","Chinook Salmon (Upper Willamette River ESU) ","T","PNW","LC","abs","T:Chinook:Upper Willamette River","#1B9E77",19
"7","Central Valley fall-late fall-run Chinook Salmon","Chinook_Central Valley fall-late fall-run Chinook Salmon",-0.00423750579247868,0.00504115335027518,"Chinook",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run","#1B9E77",1
"11","Deschutes River Summer-Fall-run Chinook Salmon","Chinook_Deschutes River Summer-Fall-run Chinook Salmon",-0.000160341880341854,0.00244111707873784,"Chinook",11,"Chinook","Deschutes River Summer-Fall Run","Chinook Salmon (Deschutes River)","U","PNW","IC","abs","U:Chinook:Deschutes River Summer-Fall Run","#1B9E77",1
"9","Chinook Salmon (Mid-Columbia River Spring-Run)","Chinook_Chinook Salmon (Mid-Columbia River Spring-Run)",0.00163248207145299,0.000834556845866401,"Chinook",12,"Chinook","Mid-Columbia River Spring Run","Chinook Salmon (Mid-Columbia River Spring-Run)","U","PNW","IC","abs","U:Chinook:Mid-Columbia River Spring Run","#1B9E77",1
"25","Oregon Coast Chinook salmon","Chinook_Oregon Coast Chinook salmon",0.0025352380952381,0.0019262932615034,"Chinook",13,"Chinook","Oregon Coast","Chinook Salmon (Oregon Coast)","U","PNW","NC","abs","U:Chinook:Oregon Coast","#1B9E77",1
"40","Southern Oregon Northern California Chinook salmon","Chinook_Southern Oregon Northern California Chinook salmon",0.00310293684512819,0.00229053005063337,"Chinook",14,"Chinook","Southern Oregon Northern California","Chinook Salmon (Southern Oregon Northern California Coast)","U","PNW","NC","abs","U:Chinook:Southern Oregon Northern California","#1B9E77",1
"47","Up. Klamath - Trinity River Chinook","Chinook_Up. Klamath - Trinity River Chinook",0.0015827462564103,0.00348252125380716,"Chinook",15,"Chinook","Up. Klamath - Trinity River","Chinook Salmon (Upper Klamath and Trinity Rivers)","U","CA","CA","abs","U:Chinook:Up. Klamath - Trinity River","#1B9E77",1
"50","Upper Columbia River Summer and Fall Run Chinook","Chinook_Upper Columbia River Summer and Fall Run Chinook",0.0014784045584046,0.00253913596825276,"Chinook",16,"Chinook","Upper Columbia River Summer and Fall Run","Chinook Salmon (Upper-Columbia River Summer-fall-Run)","U","PNW","IC","abs","U:Chinook:Upper Columbia River Summer and Fall Run","#1B9E77",1
"52","Washington Coast Chinook","Chinook_Washington Coast Chinook",0.00713347008547004,0.0021031885388734,"Chinook",17,"Chinook","Washington Coast","Chinook Salmon (Washington Coast)","U","PNW","NC","abs","U:Chinook:Washington Coast","#1B9E77",1
"10","Columbia River Chum Salmon ESU",NA,NA,NA,NA,18,"Chum","Columbia River","Chum Salmon (Columbia River ESU) ","T","PNW","LC","index","T:Chum:Columbia River","#D95F02",19
"13","Hood Canal Summer-run Chum Salmon ESU","Chum_Hood Canal Summer-run Chum Salmon ESU",-0.000664581101923082,0.000784651201213708,"Chum",19,"Chum","Hood Canal Summer Run","Chum Salmon (Hood Canal ESU) ","T","PNW","NC","abs","T:Chum:Hood Canal Summer Run","#D95F02",19
"28","Pacific Coast Chum","Chum_Pacific Coast Chum",0.000350551770769245,0.00301809117604782,"Chum",20,"Chum","Pacific Coast","Chum Salmon (Pacific Coast)","U","PNW","NC","index","U:Chum:Pacific Coast","#D95F02",1
"31","Puget Sound-Strait of Georgia Chum","Chum_Puget Sound-Strait of Georgia Chum",-0.00241736714788461,0.00223840073656785,"Chum",21,"Chum","Puget Sound-Strait of Georgia","Chum Salmon (Puget Sound Strait of Georgia)","U","PNW","NC","abs","U:Chum:Puget Sound-Strait of Georgia","#D95F02",1
"5","Central California Coast coho salmon",NA,NA,NA,NA,22,"Coho","Central California Coast","Coho Salmon (Central California Coast ESU)","E","CA","CA","index","E:Coho:Central California Coast","#7570B3",19
"17","Lower Columbia River Coho Salmon ESU","Coho_Lower Columbia River Coho Salmon ESU",0.00165027708399213,0.00195320297470519,"Coho",23,"Coho","Lower Columbia River","Coho Salmon (Lower Columbia River ESU) ","T","PNW","LC","index","T:Coho:Lower Columbia River","#7570B3",19
"26","Oregon Coast Coho Salmon ESU","Coho_Oregon Coast Coho Salmon ESU",0.00165027708399213,0.00195320297470519,"Coho",24,"Coho","Oregon Coast","Coho Salmon (Oregon Coast) ","T","PNW","NC","abs","T:Coho:Oregon Coast","#7570B3",19
"39","So Oregon - Northern CA coho",NA,NA,NA,NA,25,"Coho","Southern Oregon Northern California","Coho Salmon (Southern Oregon Northern California Coast ESU)","T","PNW","NC","index","T:Coho:Southern Oregon Northern California","#7570B3",19
"23","Olympic Peninsula Coho","Coho_Olympic Peninsula Coho",0.00195369433198393,0.00215415346706498,"Coho",26,"Coho","Olympic Peninsula","Coho Salmon (Olympic Peninula)","U","PNW","NC","abs","U:Coho:Olympic Peninsula","#7570B3",1
"32","Puget Sound-Strait of Georgia Coho","Coho_Puget Sound-Strait of Georgia Coho",-0.000936709479268379,0.00291381612325508,"Coho",27,"Coho","Puget Sound and Strait of Georgia","Coho Salmon (Puget Sound and Strait of Georgia)","U","PNW","NC","abs","U:Coho:Puget Sound and Strait of Georgia","#7570B3",1
"53","Washington Coast Coho",NA,NA,NA,NA,28,"Coho","Washington Coast","Coho Salmon (Washington Coast)","U","PNW","NC","abs","U:Coho:Washington Coast","#7570B3",1
"12","Even-year Pink",NA,NA,NA,NA,29,"Pink","Even Year","Pink Salmon (Washington Even-year)","U","PNW","NC","index","U:Pink:Even Year","#E7298A",1
"21","Odd-year Pink",NA,NA,NA,NA,30,"Pink","Odd Year","Pink Salmon (Washington Odd-year)","U","PNW","NC","abs","U:Pink:Odd Year","#E7298A",1
"37","Snake River Sockeye Salmon ESU","Sockeye_Snake River Sockeye Salmon ESU",0.000395182459145297,0.000433372452793245,"Sockeye",31,"Sockeye","Snake River","Sockeye Salmon (Snake River)","E","PNW","IC","abs","E:Sockeye:Snake River","#66A61E",19
"27","Ozette Lake Sockeye Salmon ESU",NA,NA,NA,NA,32,"Sockeye","Ozette Lake","Sockeye Salmon (Ozette Lake) ","T","PNW","NC","abs","T:Sockeye:Ozette Lake","#66A61E",19
"1","Baker River Sockeye",NA,NA,NA,NA,33,"Sockeye","Baker River","Sockeye Salmon (Baker River)","U","PNW","NC","abs","U:Sockeye:Baker River","#66A61E",1
"2","Big Bear Creek (provisional) Sockeye",NA,NA,NA,NA,34,"Sockeye","Big Bear Creek","Big Bear Creek (Lake Washington)","U","PNW","NC","abs","U:Sockeye:Big Bear Creek","#66A61E",1
"14","Lake Pleasant Sockeye",NA,NA,NA,NA,35,"Sockeye","Lake Pleasant","Sockeye Salmon (Lake Pleasant)","U","PNW","NC","abs","U:Sockeye:Lake Pleasant","#66A61E",1
