time,flow_anomaly_7_day_min,location
UTC,7-day min flow anomaly,
1981-01-01T00:00:00Z,0.334394,Columbia Glaciated
1982-01-01T00:00:00Z,0.73922485,Columbia Glaciated
1983-01-01T00:00:00Z,1.4471489,Columbia Glaciated
1984-01-01T00:00:00Z,0.8628659,Columbia Glaciated
1985-01-01T00:00:00Z,-0.17242031,Columbia Glaciated
1986-01-01T00:00:00Z,0.017156297,Columbia Glaciated
1987-01-01T00:00:00Z,-0.44934985,Columbia Glaciated
1988-01-01T00:00:00Z,-0.99949205,Columbia Glaciated
1989-01-01T00:00:00Z,-0.24891792,Columbia Glaciated
1990-01-01T00:00:00Z,0.20666967,Columbia Glaciated
1991-01-01T00:00:00Z,0.68459827,Columbia Glaciated
1992-01-01T00:00:00Z,-0.42915913,Columbia Glaciated
1993-01-01T00:00:00Z,-0.2996787,Columbia Glaciated
1994-01-01T00:00:00Z,-0.95480186,Columbia Glaciated
1995-01-01T00:00:00Z,-0.6063537,Columbia Glaciated
1996-01-01T00:00:00Z,1.1114143,Columbia Glaciated
1997-01-01T00:00:00Z,1.2213917,Columbia Glaciated
1998-01-01T00:00:00Z,0.74207693,Columbia Glaciated
1999-01-01T00:00:00Z,0.8052773,Columbia Glaciated
2000-01-01T00:00:00Z,0.8739976,Columbia Glaciated
2001-01-01T00:00:00Z,-0.9479387,Columbia Glaciated
2002-01-01T00:00:00Z,-0.50237197,Columbia Glaciated
2003-01-01T00:00:00Z,-0.8217279,Columbia Glaciated
2004-01-01T00:00:00Z,-0.44137704,Columbia Glaciated
2005-01-01T00:00:00Z,-0.32363665,Columbia Glaciated
2006-01-01T00:00:00Z,-0.22143662,Columbia Glaciated
2007-01-01T00:00:00Z,-0.4940598,Columbia Glaciated
2008-01-01T00:00:00Z,0.06468772,Columbia Glaciated
2009-01-01T00:00:00Z,-0.17784558,Columbia Glaciated
2010-01-01T00:00:00Z,-0.375953,Columbia Glaciated
2011-01-01T00:00:00Z,0.85800326,Columbia Glaciated
2012-01-01T00:00:00Z,0.26644516,Columbia Glaciated
2013-01-01T00:00:00Z,0.20679432,Columbia Glaciated
2014-01-01T00:00:00Z,0.15330781,Columbia Glaciated
2015-01-01T00:00:00Z,-0.56479436,Columbia Glaciated
2016-01-01T00:00:00Z,-0.48328042,Columbia Glaciated
2017-01-01T00:00:00Z,0.047046162,Columbia Glaciated
2018-01-01T00:00:00Z,0.1986028,Columbia Glaciated
2019-01-01T00:00:00Z,-0.22062878,Columbia Glaciated
2020-01-01T00:00:00Z,-0.07137046,Columbia Glaciated
2021-01-01T00:00:00Z,-0.49744144,Columbia Glaciated
2022-01-01T00:00:00Z,-0.058807015,Columbia Glaciated
2023-01-01T00:00:00Z,-0.63432896,Columbia Glaciated
1981-01-01T00:00:00Z,-0.279922,Columbia Unglaciated
1982-01-01T00:00:00Z,0.51845044,Columbia Unglaciated
1983-01-01T00:00:00Z,1.3638864,Columbia Unglaciated
1984-01-01T00:00:00Z,1.364482,Columbia Unglaciated
1985-01-01T00:00:00Z,0.29749876,Columbia Unglaciated
1986-01-01T00:00:00Z,0.28998905,Columbia Unglaciated
1987-01-01T00:00:00Z,-0.52006584,Columbia Unglaciated
1988-01-01T00:00:00Z,-0.85198706,Columbia Unglaciated
1989-01-01T00:00:00Z,-0.35504124,Columbia Unglaciated
1990-01-01T00:00:00Z,-0.31428027,Columbia Unglaciated
1991-01-01T00:00:00Z,-0.22922933,Columbia Unglaciated
1992-01-01T00:00:00Z,-0.7652452,Columbia Unglaciated
1993-01-01T00:00:00Z,-0.1120513,Columbia Unglaciated
1994-01-01T00:00:00Z,-0.9427195,Columbia Unglaciated
1995-01-01T00:00:00Z,-0.48680204,Columbia Unglaciated
1996-01-01T00:00:00Z,0.58556914,Columbia Unglaciated
1997-01-01T00:00:00Z,0.9836278,Columbia Unglaciated
1998-01-01T00:00:00Z,0.775023,Columbia Unglaciated
1999-01-01T00:00:00Z,0.7059656,Columbia Unglaciated
2000-01-01T00:00:00Z,0.26389617,Columbia Unglaciated
2001-01-01T00:00:00Z,-0.66572475,Columbia Unglaciated
2002-01-01T00:00:00Z,-0.5916949,Columbia Unglaciated
2003-01-01T00:00:00Z,-0.615764,Columbia Unglaciated
2004-01-01T00:00:00Z,-0.16354212,Columbia Unglaciated
2005-01-01T00:00:00Z,-0.376693,Columbia Unglaciated
2006-01-01T00:00:00Z,-0.07940188,Columbia Unglaciated
2007-01-01T00:00:00Z,-0.31294465,Columbia Unglaciated
2008-01-01T00:00:00Z,0.40981314,Columbia Unglaciated
2009-01-01T00:00:00Z,0.26432317,Columbia Unglaciated
2010-01-01T00:00:00Z,-0.0035631296,Columbia Unglaciated
2011-01-01T00:00:00Z,0.7876776,Columbia Unglaciated
2012-01-01T00:00:00Z,0.33793482,Columbia Unglaciated
2013-01-01T00:00:00Z,-0.050072942,Columbia Unglaciated
2014-01-01T00:00:00Z,0.19163682,Columbia Unglaciated
2015-01-01T00:00:00Z,-0.4893292,Columbia Unglaciated
2016-01-01T00:00:00Z,-0.47033817,Columbia Unglaciated
