Year,Species,Stock,ESU,ER,Citation
1974,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1975,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1976,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1977,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1978,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1979,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1980,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1981,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1982,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,NA,NA
1983,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.760919237,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1984,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.704547189,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1985,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.698131274,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1986,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.76817987,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1987,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.820399542,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1988,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.859251974,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
1989,Chinook,SRFC,Central Valley fall-late fall-run Chinook Salmon,0.837240563,Pacific Fisheries Management Council. Preseason report I for 2024 Ocean Salmon Fishery Regulations. Available at https://www.pcouncil.org/documents/2024/03/2024-preseason-report-i.pdf
