"","Year","Species","ESU","releases","biomass","source","index"
"1",1994,"Sockeye","Baker River Sockeye",53867,15082.76,"RMIS_10.29.24_https://www.rmpc.org/","1994 Sockeye Baker River Sockeye"
"2",1996,"Sockeye","Baker River Sockeye",12000,2040,"RMIS_10.29.24_https://www.rmpc.org/","1996 Sockeye Baker River Sockeye"
"3",1997,"Sockeye","Baker River Sockeye",2042035,409970.77,"RMIS_10.29.24_https://www.rmpc.org/","1997 Sockeye Baker River Sockeye"
"4",1998,"Sockeye","Baker River Sockeye",1211624,193859.84,"RMIS_10.29.24_https://www.rmpc.org/","1998 Sockeye Baker River Sockeye"
"5",1999,"Sockeye","Baker River Sockeye",52689,10537.8,"RMIS_10.29.24_https://www.rmpc.org/","1999 Sockeye Baker River Sockeye"
"6",2002,"Sockeye","Baker River Sockeye",52202,10936.47,"RMIS_10.29.24_https://www.rmpc.org/","2002 Sockeye Baker River Sockeye"
"7",2003,"Sockeye","Baker River Sockeye",1131296,191418.8,"RMIS_10.29.24_https://www.rmpc.org/","2003 Sockeye Baker River Sockeye"
"8",2004,"Sockeye","Baker River Sockeye",2377877,384804.25,"RMIS_10.29.24_https://www.rmpc.org/","2004 Sockeye Baker River Sockeye"
"9",2005,"Sockeye","Baker River Sockeye",1126776,169009.73,"RMIS_10.29.24_https://www.rmpc.org/","2005 Sockeye Baker River Sockeye"
"10",2006,"Sockeye","Baker River Sockeye",1498067,350318.2,"RMIS_10.29.24_https://www.rmpc.org/","2006 Sockeye Baker River Sockeye"
"11",2007,"Sockeye","Baker River Sockeye",2780346,576549.67,"RMIS_10.29.24_https://www.rmpc.org/","2007 Sockeye Baker River Sockeye"
"12",2008,"Sockeye","Baker River Sockeye",2014058,344367.49,"RMIS_10.29.24_https://www.rmpc.org/","2008 Sockeye Baker River Sockeye"
"13",2009,"Sockeye","Baker River Sockeye",2083349,1512104.37,"RMIS_10.29.24_https://www.rmpc.org/","2009 Sockeye Baker River Sockeye"
"14",2010,"Sockeye","Baker River Sockeye",5178348,1705619.48,"RMIS_10.29.24_https://www.rmpc.org/","2010 Sockeye Baker River Sockeye"
