"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,17032.2120921418,13424.7914019097,2817.91610707432,53017.6485468414,3640.21963930428,42030.1107975839,17032.2120921418,2817.91610707432,53017.6485468414,3640.21963930428,42030.1107975839,3596,"Big Bear Creek (provisional) Sockeye"
"2",1996,20319.9570476158,16626.5933244948,4903.35494903508,58667.7092570497,5984.90504061374,46751.4820819367,20319.9570476158,4903.35494903508,58667.7092570497,5984.90504061374,46751.4820819367,73041,"Big Bear Creek (provisional) Sockeye"
"3",1997,16096.1193508714,13719.1858080767,4272.49811073632,42469.4887629036,5222.6060148718,34603.1713369055,16096.1193508714,4272.49811073632,42469.4887629036,5222.6060148718,34603.1713369055,10546,"Big Bear Creek (provisional) Sockeye"
"4",1998,14000.5282345223,12131.5407145337,3711.309988582,35647.3561759662,4602.96673983726,29477.732660317,14000.5282345223,3711.309988582,35647.3561759662,4602.96673983726,29477.732660317,9757,"Big Bear Creek (provisional) Sockeye"
"5",1999,12518.1086510512,10948.644523954,3060.7711049718,31796.0015880587,3900.48523438564,26423.9981749858,12518.1086510512,3060.7711049718,31796.0015880587,3900.48523438564,26423.9981749858,2080,"Big Bear Creek (provisional) Sockeye"
"6",2000,18604.968160654,14615.5808698805,5110.63420998418,56376.0291626247,6093.78554258117,44330.3151071995,18604.968160654,5110.63420998418,56376.0291626247,6093.78554258117,44330.3151071995,81090,"Big Bear Creek (provisional) Sockeye"
"7",2001,16413.1719740096,13270.1255118901,4754.8804904241,46550.3685277637,5654.5831784398,37250.2666994979,16413.1719740096,4754.8804904241,46550.3685277637,5654.5831784398,37250.2666994979,14430,"Big Bear Creek (provisional) Sockeye"
"8",2002,16271.794726141,12623.1088804966,4537.29447828587,50143.7583312227,5358.92083319215,39103.327805668,16271.794726141,4537.29447828587,50143.7583312227,5358.92083319215,39103.327805668,55200,"Big Bear Creek (provisional) Sockeye"
"9",2003,10268.4258586773,8772.18520738665,3014.38852084518,26457.7854719616,3679.83021062744,21691.4479849337,10268.4258586773,3014.38852084518,26457.7854719616,3679.83021062744,21691.4479849337,2865,"Big Bear Creek (provisional) Sockeye"
"10",2004,9874.7390657674,8239.64757652757,3024.8317129341,26595.1602153061,3629.11620965522,21414.2751523601,9874.7390657674,3024.8317129341,26595.1602153061,3629.11620965522,21414.2751523601,15607,"Big Bear Creek (provisional) Sockeye"
"11",2005,7985.82906463958,6770.7203833632,2425.48570169252,20716.8662759123,2940.30584105866,16878.2360519628,7985.82906463958,2425.48570169252,20716.8662759123,2940.30584105866,16878.2360519628,5554,"Big Bear Creek (provisional) Sockeye"
"12",2006,7242.07787014456,5990.49056507264,2163.02257061655,20096.4388824813,2600.68593555591,15977.5502442875,7242.07787014456,2163.02257061655,20096.4388824813,2600.68593555591,15977.5502442875,26227,"Big Bear Creek (provisional) Sockeye"
"13",2007,4264.87639561396,3809.0512618894,1063.95410275801,10350.1018580375,1337.59578048196,8667.86924420048,4264.87639561396,1063.95410275801,10350.1018580375,1337.59578048196,8667.86924420048,1600,"Big Bear Creek (provisional) Sockeye"
"14",2008,3184.7926939565,2851.17381301358,602.879240949576,7909.24764672442,794.896948616733,6676.50820547924,3184.7926939565,602.879240949576,7909.24764672442,794.896948616733,6676.50820547924,577,"Big Bear Creek (provisional) Sockeye"
"15",2009,3161.95901903618,2833.07036377734,736.927453034945,7721.84263735033,935.676549900839,6495.21728650438,3161.95901903618,736.927453034945,7721.84263735033,935.676549900839,6495.21728650438,860,"Big Bear Creek (provisional) Sockeye"
"16",2010,4255.07653750059,3537.37898278612,1237.92222379005,11836.9445813665,1512.98162723075,9401.78145529418,4255.07653750059,1237.92222379005,11836.9445813665,1512.98162723075,9401.78145529418,16716,"Big Bear Creek (provisional) Sockeye"
"17",2011,3581.25712629029,3068.29692178655,1069.97932863174,9192.69527912076,1297.6821372136,7531.9813961344,3581.25712629029,1069.97932863174,9192.69527912076,1297.6821372136,7531.9813961344,1414,"Big Bear Creek (provisional) Sockeye"
"18",2012,4205.30966636943,3324.30753083396,1204.39099433272,12681.2695263641,1431.28382387421,9797.90246339807,4205.30966636943,1204.39099433272,12681.2695263641,1431.28382387421,9797.90246339807,9730,"Big Bear Creek (provisional) Sockeye"
"19",2013,3588.2077788132,2876.86882477995,1042.00705055438,10387.3808578385,1246.43676442363,8201.51491356969,3588.2077788132,1042.00705055438,10387.3808578385,1246.43676442363,8201.51491356969,5964,"Big Bear Creek (provisional) Sockeye"
"20",2014,2643.73254924873,2235.20679359976,791.91533251504,7002.88614939469,948.802106607156,5681.85841808977,2643.73254924873,791.91533251504,7002.88614939469,948.802106607156,5681.85841808977,3012,"Big Bear Creek (provisional) Sockeye"
"21",2015,1855.45696959611,1620.82043949498,489.641433546654,4659.79479665954,612.467466661586,3847.09692452802,1855.45696959611,489.641433546654,4659.79479665954,612.467466661586,3847.09692452802,547,"Big Bear Creek (provisional) Sockeye"
"22",2016,1746.80053374565,1503.36104754774,495.411609794503,4480.4944798214,610.918266608065,3684.00786347495,1746.80053374565,495.411609794503,4480.4944798214,610.918266608065,3684.00786347495,1328,"Big Bear Creek (provisional) Sockeye"
