"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,1894.45078840085,793.997504543471,123.814387974753,9052.00972845206,164.629947494408,5642.16044112373,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"2",1996,1580.20120895693,755.361690487528,137.089038963924,7277.96434146205,179.459375696882,4655.88848417245,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"3",1997,982.063826031299,539.133824284388,98.7794483720474,4341.02119321566,129.146975414848,2860.30403690193,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"4",1998,714.305239895844,438.379100725953,85.4754782652497,2879.91333141758,112.353878042054,2000.14320545863,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"5",1999,684.314502599925,477.533369943422,112.028412220941,2483.58533725706,142.861519043599,1789.97358747504,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"6",2000,785.924120437404,608.375048908783,186.053589785452,2456.89284477853,225.835966607427,1903.817567229,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"7",2001,741.687157682588,624.751531277849,230.121289392904,1965.19588375572,271.88810017098,1582.78837762237,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"8",2002,695.481788095388,631.914537435498,298.646175831372,1453.23616416472,336.78208326479,1253.62270675907,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"9",2003,617.597364142127,581.050653392609,314.238985845124,1128.82537882266,347.858243419871,1006.07563192057,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"10",2004,576.997218109085,549.422952716175,311.830873750359,1001.39018587009,340.999763091625,903.52305035662,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"11",2005,506.061168729224,486.145218633483,285.634103551581,839.611870556189,312.088416229292,767.257589783356,NA,NA,NA,NA,NA,528,"California Central Valley Steelhead"
"12",2006,446.610258972035,425.195960338504,222.98449960615,796.335488302096,250.110289277383,712.50139449973,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"13",2007,527.643931738556,507.471853630012,302.1468708609,870.927119787016,329.106376335669,792.38760483608,NA,NA,NA,NA,NA,757,"California Central Valley Steelhead"
"14",2008,486.101639246733,468.874457707396,267.058313677291,804.286718076547,292.798665039043,735.160267248278,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"15",2009,627.993222429848,607.188366062921,378.336021932215,997.242799669731,408.851668520077,916.54142886836,NA,NA,NA,NA,NA,749,"California Central Valley Steelhead"
"16",2010,619.71419006827,602.990072680138,366.821479186728,971.011623305496,400.556784237521,895.825513314601,NA,NA,NA,NA,NA,577,"California Central Valley Steelhead"
"17",2011,814.488651112367,788.270236139896,492.523360550902,1288.21108142681,531.922151333168,1189.51059809687,NA,NA,NA,NA,NA,1006,"California Central Valley Steelhead"
"18",2012,1192.85878492825,1141.41917924374,660.231172635337,2024.23199463146,720.51583171789,1838.43850248025,NA,NA,NA,NA,NA,1676,"California Central Valley Steelhead"
"19",2013,957.310856502399,925.126176611893,575.233376671625,1526.89109698325,620.78455380626,1400.70475278543,NA,NA,NA,NA,NA,1032,"California Central Valley Steelhead"
"20",2014,839.490512649156,807.930434064626,508.189453355367,1345.18686784786,546.341416898042,1241.37554972908,NA,NA,NA,NA,NA,880,"California Central Valley Steelhead"
"21",2015,588.699140782176,571.423320644072,356.626071562238,917.901389804375,386.2925793791,848.760298691149,NA,NA,NA,NA,NA,605,"California Central Valley Steelhead"
"22",2016,384.231271860922,370.336623378408,212.102455187768,638.424141922755,232.314917000018,583.17051361099,NA,NA,NA,NA,NA,346,"California Central Valley Steelhead"
"23",2017,389.858503122813,374.574272446796,210.35732421436,657.314655868132,231.615411557682,599.311558764142,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"24",2018,558.625710507037,531.197693179563,301.576833309997,973.22877484372,331.055710782087,877.427092167577,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
"25",2019,618.10760197424,574.39345672952,298.795043766285,1193.62098564625,331.315168582505,1049.95193647833,NA,NA,NA,NA,NA,NA,"California Central Valley Steelhead"
