"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","americanriv.sthd","California Central Valley Steelhead",681.359512271248,NA,NA,1995,1999,"California Central Valley Steelhead"
"2","clearcrk.sthd","California Central Valley Steelhead",151.746627674672,NA,NA,1995,1999,"California Central Valley Steelhead"
"3","mokelumneriv.sthd","California Central Valley Steelhead",24.340258183516,NA,16.5659439320586,1995,1999,"California Central Valley Steelhead"
"4","stanislausriv.sthd","California Central Valley Steelhead",2.22667224810891,NA,NA,1995,1999,"California Central Valley Steelhead"
"5","yubariv.sthd","California Central Valley Steelhead",212.992910950662,NA,NA,1995,1999,"California Central Valley Steelhead"
"6","americanriv.sthd","California Central Valley Steelhead",379.65659750084,NA,NA,2000,2004,"California Central Valley Steelhead"
"7","clearcrk.sthd","California Central Valley Steelhead",131.275791120553,NA,NA,2000,2004,"California Central Valley Steelhead"
"8","mokelumneriv.sthd","California Central Valley Steelhead",49.6480726528866,NA,61.0050493303329,2000,2004,"California Central Valley Steelhead"
"9","stanislausriv.sthd","California Central Valley Steelhead",1.91476227502858,NA,NA,2000,2004,"California Central Valley Steelhead"
"10","yubariv.sthd","California Central Valley Steelhead",114.81010754368,NA,NA,2000,2004,"California Central Valley Steelhead"
"11","americanriv.sthd","California Central Valley Steelhead",221.306695618991,64.0514072440949,NA,2005,2009,"California Central Valley Steelhead"
"12","clearcrk.sthd","California Central Valley Steelhead",142.866176619156,NA,143.966014858608,2005,2009,"California Central Valley Steelhead"
"13","mokelumneriv.sthd","California Central Valley Steelhead",54.271417368494,NA,NA,2005,2009,"California Central Valley Steelhead"
"14","stanislausriv.sthd","California Central Valley Steelhead",2.45283295732406,NA,2.40822468528069,2005,2009,"California Central Valley Steelhead"
"15","yubariv.sthd","California Central Valley Steelhead",87.8530543135432,78.6227009180169,63.4458994410574,2005,2009,"California Central Valley Steelhead"
"16","americanriv.sthd","California Central Valley Steelhead",216.177195263508,36.8429578820801,183.876231227568,2010,2014,"California Central Valley Steelhead"
"17","clearcrk.sthd","California Central Valley Steelhead",285.915109854649,NA,256.080165048569,2010,2014,"California Central Valley Steelhead"
"18","mokelumneriv.sthd","California Central Valley Steelhead",106.97856016012,NA,109.251169021468,2010,2014,"California Central Valley Steelhead"
"19","stanislausriv.sthd","California Central Valley Steelhead",8.34660720437157,NA,7.97484226894186,2010,2014,"California Central Valley Steelhead"
"20","yubariv.sthd","California Central Valley Steelhead",245.224681785394,166.280538966784,332.535647185243,2010,2014,"California Central Valley Steelhead"
"21","americanriv.sthd","California Central Valley Steelhead",99.1199712924233,28.5771257122505,93.0305903264875,2015,2019,"California Central Valley Steelhead"
"22","clearcrk.sthd","California Central Valley Steelhead",202.362083410699,NA,182.633358761809,2015,2019,"California Central Valley Steelhead"
"23","mokelumneriv.sthd","California Central Valley Steelhead",63.9743096897312,48.4340864083104,NA,2015,2019,"California Central Valley Steelhead"
"24","stanislausriv.sthd","California Central Valley Steelhead",9.07511807207934,NA,7.4558385463827,2015,2019,"California Central Valley Steelhead"
"25","yubariv.sthd","California Central Valley Steelhead",122.47088944021,96.9861967961669,NA,2015,2019,"California Central Valley Steelhead"
