"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1997,6062.9110492653,2688.03721519633,224.03802943979,31556.0840518131,330.599304369934,20357.4658393612,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"2",1998,4610.13550580621,2556.79483779645,352.072147511987,20871.7897126071,479.755379193762,14421.2891369208,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"3",1999,3654.97385041791,2440.90055012542,543.09289666877,13930.9829985143,683.732674714009,10214.8344023933,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"4",2000,3075.70437796475,2436.32418644312,810.161391501046,9118.45828687563,955.692586938684,7231.06450744052,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"5",2001,2652.81170582233,2394.60222767702,1189.24944249301,5629.68069161655,1326.65464109106,4839.44291396604,NA,NA,NA,NA,NA,1902,"California Coastal Chinook salmon"
"6",2002,3098.97114580745,2889.3849780111,1558.4915006444,5829.51225719778,1724.06070606128,5185.07415492477,NA,NA,NA,NA,NA,2460,"California Coastal Chinook salmon"
"7",2003,4570.80258926577,4232.63954548217,2147.63181016746,8960.74403569989,2389.30131150512,7892.93053601519,NA,NA,NA,NA,NA,5938,"California Coastal Chinook salmon"
"8",2004,5437.6605614775,5042.66740154651,2517.25906005316,10673.185226071,2823.04179560193,9391.33679303963,NA,NA,NA,NA,NA,7364,"California Coastal Chinook salmon"
"9",2005,4764.41957221315,4433.05321967808,2226.24382754564,9154.13236105805,2489.35904356989,8121.73060351758,NA,NA,NA,NA,NA,5183,"California Coastal Chinook salmon"
"10",2006,4025.80575813251,3767.17181238169,1995.64573496984,7528.507259085,2206.07673653557,6700.3963186569,NA,NA,NA,NA,NA,3354,"California Coastal Chinook salmon"
"11",2007,3793.73363471042,3551.44210416189,1893.85547640416,7087.23013756085,2096.97261554978,6292.24256489215,NA,NA,NA,NA,NA,4124,"California Coastal Chinook salmon"
"12",2008,3016.79649542436,2827.48335942918,1477.93233774363,5634.3459499769,1650.37126275132,4998.07906094193,NA,NA,NA,NA,NA,2506,"California Coastal Chinook salmon"
"13",2009,2584.69281769332,2421.49319961732,1192.72087246551,4895.52834938475,1340.72865432785,4390.12952577411,NA,NA,NA,NA,NA,1627,"California Coastal Chinook salmon"
"14",2010,2996.8775411813,2840.59760792064,1487.28024848853,5409.00226978716,1657.95433495302,4874.73007027138,NA,NA,NA,NA,NA,2321,"California Coastal Chinook salmon"
"15",2011,4298.95566752656,4026.27368475323,2208.12997963215,7942.38281632195,2421.43975453309,7098.58737023743,NA,NA,NA,NA,NA,4835,"California Coastal Chinook salmon"
"16",2012,4905.81483201942,4640.62019109178,2493.50612079576,8839.75223365874,2758.04135851343,7934.73323465328,NA,NA,NA,NA,NA,5610,"California Coastal Chinook salmon"
"17",2013,5534.39567126392,5120.27440738292,2569.34207478381,10886.5909015909,2856.52485718453,9636.50071598457,NA,NA,NA,NA,NA,10198,"California Coastal Chinook salmon"
"18",2014,3536.88652977385,3304.85785555634,1690.0784481823,6676.25622923857,1891.80158709383,5960.56711055721,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"19",2015,2712.4925173884,2536.40094731351,1333.37758801907,5103.02185922866,1478.86690064935,4534.92054313086,NA,NA,NA,NA,NA,2016,"California Coastal Chinook salmon"
"20",2016,2513.0668636321,2335.29855905589,1149.311600641,4909.65484328539,1294.54711941681,4305.69000514152,NA,NA,NA,NA,NA,3124,"California Coastal Chinook salmon"
"21",2017,2005.4227593578,1869.22246826028,978.428480313411,3836.89891413242,1083.47752361378,3388.91774508368,NA,NA,NA,NA,NA,1501,"California Coastal Chinook salmon"
"22",2018,2028.91564168903,1881.86478966793,943.67675045425,3972.84012748755,1052.76906202958,3500.87090944777,NA,NA,NA,NA,NA,2334,"California Coastal Chinook salmon"
"23",2019,1583.73431226263,1457.86443891731,691.244663517824,3199.62089402701,782.065956769931,2801.73777012415,NA,NA,NA,NA,NA,1315,"California Coastal Chinook salmon"
"24",2020,1452.46141459218,1309.94680453236,581.650714178705,3172.66822646784,661.595131463749,2726.34393959668,NA,NA,NA,NA,NA,1081,"California Coastal Chinook salmon"
