"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1997,"freshwtrcrk","California Coastal Chinook salmon",964.545091543445,3185.32090276396,298.958781553071,14.4541539824735,5769.55132738784,23.9594762638844,3571.7326832979,NA,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"2",1997,"russianriv","California Coastal Chinook salmon",5033.18684803176,21464.6372821499,1752.02331316145,83.5796615857019,29381.7556932229,140.400365508208,18227.9149326103,NA,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"3",1997,"vanarsdale","California Coastal Chinook salmon",65.1791096900891,40.7114943939513,54.9803825863813,19.4732446337039,170.809848507883,22.820238683567,142.271281628702,1,26,65.1791096900891,19.4732446337039,170.809848507883,22.820238683567,142.271281628702,"California Coastal Chinook salmon"
"4",1998,"freshwtrcrk","California Coastal Chinook salmon",590.655577923161,1467.91918285639,249.818129081108,19.5355064315482,3113.49889120128,29.9717817269853,2050.49893664912,NA,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"5",1998,"russianriv","California Coastal Chinook salmon",3905.75685262061,13180.2809151937,1821.68456235535,138.049845407303,19716.8451103407,215.812396975019,13388.3502359547,NA,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"6",1998,"vanarsdale","California Coastal Chinook salmon",113.723075262431,52.2220915228905,103.292203729454,44.4925941149832,244.214242613715,51.3029628346366,210.870020077684,1,107,113.723075262431,44.4925941149832,244.214242613715,51.3029628346366,210.870020077684,"California Coastal Chinook salmon"
"7",1999,"freshwtrcrk","California Coastal Chinook salmon",371.551890748237,648.957683794226,208.019508452354,26.0505700973583,1678.57873583587,37.3156288098957,1164.8745061882,NA,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"8",1999,"russianriv","California Coastal Chinook salmon",3090.74747871837,4801.98381238697,1837.95022750104,226.178759191765,13260.5556149575,325.534004535416,9576.00668343318,NA,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
"9",1999,"vanarsdale","California Coastal Chinook salmon",192.674480951302,82.0778842996186,177.452638158007,78.6346965460423,393.53565397793,89.9981044907483,345.414328852593,0.719,196,138.532951803986,56.5383468166044,282.952135210132,64.708637128848,248.352902445015,"California Coastal Chinook salmon"
"10",2000,"freshwtrcrk","California Coastal Chinook salmon",241.050705081718,260.390754401019,172.712676007929,35.2435177983179,850.89618418545,46.4248122954872,648.337538944781,NA,NA,NA,NA,NA,NA,NA,"California Coastal Chinook salmon"
