"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1996,6934.76747973064,3427.73808590664,590.13278780151,33967.214941197,776.826314963792,21997.0553537347,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"2",1997,7216.97911571268,4130.23682905226,880.726257859069,31861.8280207726,1107.37980244827,21977.7452423615,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"3",1998,7069.49453323105,4768.59356879708,1248.71434959238,27303.5398611807,1541.56632311655,19665.4096023634,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"4",1999,4235.85427240928,3240.03247481358,1020.97508618338,13510.5706752781,1223.67831414771,10308.441014328,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"5",2000,2135.30974043023,1836.12009795011,794.919166089544,5251.99594840081,900.301305138129,4343.57104021802,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"6",2001,2470.44826024221,2314.62576892565,1264.43248736678,4604.88637012657,1388.75268458186,4084.6713063236,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"7",2002,2935.20420782847,2793.13377519901,1605.5245641238,5106.70612181881,1750.3308497184,4612.59043368996,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"8",2003,1865.36558615679,1776.6581270372,1028.79393041182,3232.73502469699,1121.66584767966,2919.26783584455,NA,NA,NA,NA,NA,1690,"Central California Coast coho salmon"
"9",2004,5643.79258968888,5265.92792859232,2837.00621128609,10712.710704154,3120.8426049754,9490.5489082533,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"10",2005,7229.76700668457,6735.34417372624,3548.7341906927,13865.5066169969,3932.4227023491,12202.3232493739,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"11",2006,2611.8693039495,2496.98643677652,1457.79985539366,4410.7829933269,1589.44855325685,4008.08836782276,NA,NA,NA,NA,NA,2784,"Central California Coast coho salmon"
"12",2007,1392.58847020515,1338.66502591915,791.63458515484,2302.68458480103,859.429084662388,2107.72770354876,NA,NA,NA,NA,NA,1371,"Central California Coast coho salmon"
"13",2008,775.261357252992,741.659374955198,432.731557344023,1308.18588257325,472.882812421824,1188.85866175303,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"14",2009,435.879489902882,416.031420407321,240.035688785635,747.53479373602,261.799126463475,676.773927558763,NA,NA,NA,NA,NA,424,"Central California Coast coho salmon"
"15",2010,409.939513024514,391.294736640076,223.947101486646,707.91628659533,244.318989542654,640.59741835129,NA,NA,NA,NA,NA,454,"Central California Coast coho salmon"
"16",2011,712.412427122526,681.37808270037,392.375814757227,1212.07051249519,428.852542170786,1103.21424696539,NA,NA,NA,NA,NA,791,"Central California Coast coho salmon"
"17",2012,726.475277121527,695.714073820205,402.850568873754,1227.07439890235,440.824074331868,1118.021047609,NA,NA,NA,NA,NA,845,"Central California Coast coho salmon"
"18",2013,1626.35163531828,1548.98794520205,887.71116206947,2790.26686736239,968.524724726064,2532.17422212714,NA,NA,NA,NA,NA,1778,"Central California Coast coho salmon"
"19",2014,1746.55313217024,1655.51387947046,901.182242255381,3108.35599657164,995.735736118724,2802.48843561009,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
"20",2015,4070.55438920683,3843.55166224834,2111.13737027669,7340.45325958852,2334.5014424043,6573.11171891956,NA,NA,NA,NA,NA,5041,"Central California Coast coho salmon"
"21",2016,3944.3278302887,3704.27468307951,2030.92210712936,7267.78316777634,2228.37407119949,6473.38979053995,NA,NA,NA,NA,NA,6685,"Central California Coast coho salmon"
"22",2017,4117.0650756315,3901.91256733394,2193.62259828492,7251.73206680513,2413.53501363709,6535.77067374674,NA,NA,NA,NA,NA,4704,"Central California Coast coho salmon"
"23",2018,3667.29459751167,3483.6014374734,1994.53783959439,6392.47361290539,2174.07844556505,5762.22261508788,NA,NA,NA,NA,NA,3299,"Central California Coast coho salmon"
"24",2019,2868.41112679405,2727.58768496289,1553.26347607322,5004.4314669549,1703.27450310893,4505.90862647451,NA,NA,NA,NA,NA,2560,"Central California Coast coho salmon"
"25",2020,1654.43827184903,1552.19291340102,834.998995276592,3050.16091590544,923.342759259911,2733.51241625114,NA,NA,NA,NA,NA,NA,"Central California Coast coho salmon"
