"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","casparcrk","Central California Coast coho salmon",347.419947204246,NA,NA,1995,1999,"Central California Coast coho salmon"
"2","lagunitascrk","Central California Coast coho salmon",269.162384558596,NA,204.528281628323,1995,1999,"Central California Coast coho salmon"
"3","littleriv","Central California Coast coho salmon",91.9609700800486,NA,NA,1995,1999,"Central California Coast coho salmon"
"4","noyoriv","Central California Coast coho salmon",3656.04324182853,NA,NA,1995,1999,"Central California Coast coho salmon"
"5","puddingcrk","Central California Coast coho salmon",988.104554024683,NA,NA,1995,1999,"Central California Coast coho salmon"
"6","redwoodcrkmarin","Central California Coast coho salmon",45.4730630926884,NA,NA,1995,1999,"Central California Coast coho salmon"
"7","scottcrk","Central California Coast coho salmon",162.790011057408,NA,NA,1995,1999,"Central California Coast coho salmon"
"8","sfnoyolcs","Central California Coast coho salmon",643.540201573907,NA,NA,1995,1999,"Central California Coast coho salmon"
"9","casparcrk","Central California Coast coho salmon",161.892140555842,NA,150.454836956172,2000,2004,"Central California Coast coho salmon"
"10","lagunitascrk","Central California Coast coho salmon",292.013787303128,NA,283.387329548798,2000,2004,"Central California Coast coho salmon"
"11","littleriv","Central California Coast coho salmon",41.3289825268261,NA,40.9616376373171,2000,2004,"Central California Coast coho salmon"
"12","noyoriv","Central California Coast coho salmon",1385.51162519146,NA,NA,2000,2004,"Central California Coast coho salmon"
"13","puddingcrk","Central California Coast coho salmon",510.299777012196,NA,NA,2000,2004,"Central California Coast coho salmon"
"14","redwoodcrkmarin","Central California Coast coho salmon",18.4329384534411,NA,12.0781423143693,2000,2004,"Central California Coast coho salmon"
"15","scottcrk","Central California Coast coho salmon",50.2668408730345,50.2572929325655,NA,2000,2004,"Central California Coast coho salmon"
"16","sfnoyolcs","Central California Coast coho salmon",299.269451116984,NA,287.35512763629,2000,2004,"Central California Coast coho salmon"
"17","casparcrk","Central California Coast coho salmon",56.5340307577985,NA,52.0030728835362,2005,2009,"Central California Coast coho salmon"
"18","lagunitascrk","Central California Coast coho salmon",212.231538509336,NA,191.643896931238,2005,2009,"Central California Coast coho salmon"
"19","littleriv","Central California Coast coho salmon",11.9255904796759,NA,9.68291953737075,2005,2009,"Central California Coast coho salmon"
"20","noyoriv","Central California Coast coho salmon",749.442288221006,NA,NA,2005,2009,"Central California Coast coho salmon"
"21","puddingcrk","Central California Coast coho salmon",317.930921964,NA,327.757971454719,2005,2009,"Central California Coast coho salmon"
"22","redwoodcrkmarin","Central California Coast coho salmon",14.5373619771253,NA,NA,2005,2009,"Central California Coast coho salmon"
"23","scottcrk","Central California Coast coho salmon",26.7210242699717,9.88415541696635,37.0290280130575,2005,2009,"Central California Coast coho salmon"
"24","sfnoyolcs","Central California Coast coho salmon",149.365547927895,72.0522687138427,112.308434198146,2005,2009,"Central California Coast coho salmon"
"25","casparcrk","Central California Coast coho salmon",17.7021271542334,NA,NA,2010,2014,"Central California Coast coho salmon"
"26","lagunitascrk","Central California Coast coho salmon",113.192932930867,NA,137.234282835141,2010,2014,"Central California Coast coho salmon"
"27","littleriv","Central California Coast coho salmon",3.96855987450353,NA,2.63901582154579,2010,2014,"Central California Coast coho salmon"
"28","noyoriv","Central California Coast coho salmon",489.039805773932,NA,432.83205081598,2010,2014,"Central California Coast coho salmon"
"29","puddingcrk","Central California Coast coho salmon",155.941658942609,NA,NA,2010,2014,"Central California Coast coho salmon"
"30","redwoodcrkmarin","Central California Coast coho salmon",6.87482992051785,NA,8.08283696633941,2010,2014,"Central California Coast coho salmon"
"31","scottcrk","Central California Coast coho salmon",7.09730546258076,1.75100492198508,4.28225473667665,2010,2014,"Central California Coast coho salmon"
"32","sfnoyolcs","Central California Coast coho salmon",104.123332657976,104.123332657976,102.535518738197,2010,2014,"Central California Coast coho salmon"
"33","casparcrk","Central California Coast coho salmon",86.1533935990019,NA,69.1803276795595,2015,2019,"Central California Coast coho salmon"
"34","lagunitascrk","Central California Coast coho salmon",243.067828921661,NA,196.662128820614,2015,2019,"Central California Coast coho salmon"
"35","littleriv","Central California Coast coho salmon",19.4493847701167,NA,26.4429332038196,2015,2019,"Central California Coast coho salmon"
"36","noyoriv","Central California Coast coho salmon",2157.312835219,NA,2496.33516499278,2015,2019,"Central California Coast coho salmon"
"37","puddingcrk","Central California Coast coho salmon",565.205924032516,NA,435.120214014546,2015,2019,"Central California Coast coho salmon"
"38","redwoodcrkmarin","Central California Coast coho salmon",27.6049612165632,NA,22.0494730505591,2015,2019,"Central California Coast coho salmon"
"39","scottcrk","Central California Coast coho salmon",25.1828852725952,8.95931081624286,24.5400842514907,2015,2019,"Central California Coast coho salmon"
"40","sfnoyolcs","Central California Coast coho salmon",536.580321574444,536.580321574444,591.184814452182,2015,2019,"Central California Coast coho salmon"
