"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","casparcrk","Total",1995,2020,-0.084644305693838,0.0281310876385964,"Central California Coast coho salmon"
"2","lagunitascrk","Total",1995,2020,-0.0264905097077711,0.016740603489915,"Central California Coast coho salmon"
"3","littleriv","Total",1995,2020,-0.102412262240576,0.0275193012051913,"Central California Coast coho salmon"
"4","noyoriv","Total",1995,2020,-0.0381866798339048,0.0239877336888502,"Central California Coast coho salmon"
"5","puddingcrk","Total",1995,2020,-0.035783789806832,0.0230015785525089,"Central California Coast coho salmon"
"6","redwoodcrkmarin","Total",1995,2020,-0.0254643881075349,0.0225271900658499,"Central California Coast coho salmon"
"7","scottcrk","Total",1995,2020,-0.107123873555714,0.0252406659038177,"Central California Coast coho salmon"
"8","scottcrk","Natural",1995,2020,-0.0957179967249541,0.092030194192688,"Central California Coast coho salmon"
"9","sfnoyolcs","Total",1995,2020,-0.0243506002492257,0.0260020157119578,"Central California Coast coho salmon"
"10","sfnoyolcs","Natural",1995,2020,0.179379825357078,0.0479651141969667,"Central California Coast coho salmon"
