"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0375404621878606,0.0021269600151364,0.155599459090622,-0.33938861146738,-0.140859501126419,-0.0389326406244276,0.0634803419770972,0.274504507640697,5351.77090959916,1.00053613631736
"mu[2]",-0.0228162122963466,0.00205605264273873,0.149396520133795,-0.315681521411024,-0.121510759241366,-0.0236311252250663,0.0748851376706932,0.274573602327894,5279.73959777317,1.0007420340739
"mu[3]",-0.0839514811632679,0.00214050892396528,0.15587442914192,-0.391124868658733,-0.186341438851177,-0.0848019196991858,0.0182429456881681,0.226664345338312,5302.92721625628,1.00084716651513
"mu[4]",-0.0358442362388832,0.0021785435227065,0.158037275101097,-0.345935187072819,-0.140164882298444,-0.0358240996892922,0.0687899908042226,0.278191732750708,5262.43306039502,1.00094450241253
"mu[5]",-0.0031352689082125,0.00214232775455766,0.156953583572196,-0.310232147904435,-0.107186804186846,-0.0037889548743754,0.10086834644343,0.308399956411119,5367.48257788026,1.00052874010828
"mu[6]",-0.0159571632448159,0.00209589282954068,0.154754048807135,-0.320447612519936,-0.118149465485953,-0.0168737299811499,0.0859323000838125,0.292704271564777,5451.87508676202,1.00061472786482
"mu[7]",-0.0736237674138384,0.00211990911052073,0.161305029265354,-0.39056780492081,-0.181335124973105,-0.0745362253423573,0.0319022565591075,0.247163442820531,5789.77029866231,1.0005509533226
"mu[8]",-0.0296954437834306,0.0021965461222603,0.156960597397178,-0.341848259701511,-0.131836908043299,-0.0285996978499028,0.0740347934447148,0.280357721143714,5106.23305003428,1.00095994906071
"sigma2_R",0.540866779297912,0.00279330424548676,0.111820057854454,0.333680849695175,0.46416509704948,0.53653016825311,0.612242803021836,0.773507640588417,1602.51809594453,1.00460395070295
"sigma2_Q",0.571956537222231,0.00374594009293627,0.201853562250591,0.265419252787128,0.428821514025292,0.542099737820174,0.681761257388831,1.0497208262709,2903.69623170791,1.00176265027811
"theta",0.727922018558483,0.00442089981122101,0.142356541584457,0.415628435536418,0.63529635663104,0.743002303902854,0.835426624577684,0.958106170603515,1036.89197140745,1.00785064538892
