"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,7648.32290760287,6853.60925331744,3151.02339522343,16783.5618026217,3565.74104828201,14340.9734349905,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"2",1996,2854.5914322985,2628.81019609517,1302.78502064015,5701.42205615125,1449.20816675819,4997.04029389662,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"3",1997,3202.04163335091,2934.3218071584,1420.21735395546,6519.11931371871,1585.35848707251,5704.45193428218,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"4",1998,19341.4622979208,17870.4457322068,8639.60331594702,38539.7371939173,9721.08563872375,33912.9309240453,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"5",1999,9938.25870305911,9247.06457763157,4680.97320751035,19180.7868370869,5203.59626009596,16999.0003870926,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"6",2000,7117.00210696787,6584.08311258051,3273.40603294757,14064.8239716677,3645.67286914525,12373.6950614685,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"7",2001,14285.1378543316,13159.3582576636,6578.25476985748,28801.378813632,7308.09266223219,25139.3309493568,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"8",2002,19403.2936596828,17945.2695231802,8955.97245168358,38738.8586108041,9975.58873133228,34053.557667143,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"9",2003,16534.323791793,15303.5894801102,7750.24875602314,32016.3068328283,8611.76760582067,28487.0973646744,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"10",2004,13062.3406278826,12136.8958047099,6217.07834630206,25223.4242220261,6905.50721368046,22308.3358720549,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"11",2005,17515.2683096981,16279.7603671874,8362.32899288657,33895.0144548495,9307.98108845203,29913.4942191368,NA,NA,NA,NA,NA,25982,"Central Valley Spring-Run Chinook Salmon"
"12",2006,18907.6463643996,17576.2736403034,9136.94357942525,36507.3418698202,10090.4921810079,32077.1955144022,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"13",2007,12787.7675991473,11903.9868738619,6193.26950854903,24666.0684964856,6845.25773975172,21840.3381865939,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"14",2008,9088.68216527226,8413.93909153172,4178.25713278452,17814.1055930408,4668.62247947302,15753.3744687755,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"15",2009,7317.21950919592,6808.86228472552,3385.33971842969,14194.1862930618,3786.66913358597,12493.5145315426,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"16",2010,7157.56444578709,6692.73933025913,3441.59764058625,13549.043773484,3822.99611122222,12033.466661645,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"17",2011,8325.45163336606,7755.11353445735,3867.01160130246,16105.5008708462,4328.55686154913,14289.3635340715,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"18",2012,11615.6656348492,10646.5674710026,5150.71525175382,23507.5747162266,5799.31712118078,20559.1670258397,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"19",2013,18163.8281511085,16796.5496992062,8008.66617581433,36368.0787219789,9043.11092947262,32026.5680974943,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"20",2014,9158.53409726835,8589.74191490885,4643.31225655437,16927.7688963928,5122.78496643126,15113.8556683043,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"21",2015,2858.8596262252,2640.23899138874,1323.37641187902,5643.61732661067,1473.63287588738,4988.66085929367,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"22",2016,4144.76705393827,3819.38034767812,1831.10621198426,8276.34521934632,2050.22316920425,7334.66105986659,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"23",2017,2729.36665659529,2517.50733186118,1210.56795304078,5521.98923304187,1356.27274765879,4842.38746269975,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"24",2018,3461.78174621849,3201.26007678044,1569.80316982632,6916.10529790277,1758.38408724513,6082.76521816606,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"25",2019,9102.4033006193,8294.37248218373,3773.40586778668,19129.0614629013,4245.81730172505,16644.630097927,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
"26",2020,4613.0144627185,4174.53585146507,1906.19795318314,9834.01307405621,2157.76320773762,8517.5101596622,NA,NA,NA,NA,NA,NA,"Central Valley Spring-Run Chinook Salmon"
