"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","antelopecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",12.7054907400006,NA,NA,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"2","battlecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",92.0151489094534,NA,79.6797061890914,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"3","bigchicocrk.chin.spr","Central Valley Spring-Run Chinook Salmon",27.0106389856304,NA,24.0046856700175,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"4","buttecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",4253.95341152985,NA,3467.88740623517,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"5","clearcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",9.44663677705295,NA,NA,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"6","cottonwoodcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",43.8850485296688,NA,NA,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"7","deercrk.chin.spr","Central Valley Spring-Run Chinook Salmon",1164.06200112861,NA,1020.66730487138,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"8","millcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",425.429449584562,NA,329.484622670989,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"9","sacramentoriv.chin.spr","Central Valley Spring-Run Chinook Salmon",359.61187488334,NA,359.697571310634,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"10","yubariv.chin.spr","Central Valley Spring-Run Chinook Salmon",269.010780351063,NA,NA,1995,1999,"Central Valley Spring-Run Chinook Salmon"
"11","antelopecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",21.8672479567384,NA,13.5517032445722,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"12","battlecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",147.065981346833,NA,130.761853469244,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"13","bigchicocrk.chin.spr","Central Valley Spring-Run Chinook Salmon",56.0885162702765,NA,NA,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"14","buttecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",9386.02152968003,NA,9046.45861865855,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"15","clearcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",41.5011245895356,NA,NA,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"16","cottonwoodcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",84.9913578578117,NA,85.7514637230547,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"17","deercrk.chin.spr","Central Valley Spring-Run Chinook Salmon",1625.86877397752,NA,1381.42245508227,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"18","millcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",1030.69835066779,NA,1063.80314859474,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"19","sacramentoriv.chin.spr","Central Valley Spring-Run Chinook Salmon",235.354729627555,NA,NA,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"20","yubariv.chin.spr","Central Valley Spring-Run Chinook Salmon",642.462348479861,NA,NA,2000,2004,"Central Valley Spring-Run Chinook Salmon"
"21","antelopecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",20.0489388150454,NA,NA,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"22","battlecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",199.539025050285,NA,157.079615798795,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"23","bigchicocrk.chin.spr","Central Valley Spring-Run Chinook Salmon",47.4029205265334,NA,NA,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"24","buttecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",7999.32266882622,NA,7023.61663269441,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"25","clearcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",100.941898432883,NA,119.858974474896,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"26","cottonwoodcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",26.3058246736094,NA,NA,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"27","deercrk.chin.spr","Central Valley Spring-Run Chinook Salmon",1164.04871761411,NA,NA,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"28","millcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",778.780283347631,NA,619.101792096526,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"29","sacramentoriv.chin.spr","Central Valley Spring-Run Chinook Salmon",118.89130517522,NA,NA,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"30","yubariv.chin.spr","Central Valley Spring-Run Chinook Salmon",1727.99869985307,NA,1564.0750034917,2005,2009,"Central Valley Spring-Run Chinook Salmon"
"31","antelopecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",7.48267281938138,NA,NA,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"32","battlecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",323.877189526164,NA,354.868254235059,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"33","bigchicocrk.chin.spr","Central Valley Spring-Run Chinook Salmon",56.4110525948797,NA,NA,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"34","buttecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",6155.1794236889,6142.81952587352,6539.55823140006,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"35","clearcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",78.7963477154223,NA,59.0045418904261,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"36","cottonwoodcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",4.00114951843444,NA,2.26793315526605,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"37","deercrk.chin.spr","Central Valley Spring-Run Chinook Salmon",636.300579628257,NA,NA,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"38","millcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",504.002548143419,NA,530.19504931267,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"39","sacramentoriv.chin.spr","Central Valley Spring-Run Chinook Salmon",62.4583095117046,NA,NA,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"40","yubariv.chin.spr","Central Valley Spring-Run Chinook Salmon",2283.84998220122,NA,2776.73616757262,2010,2014,"Central Valley Spring-Run Chinook Salmon"
"41","antelopecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",4.28554092173054,NA,4.55461019856367,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"42","battlecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",98.104203688894,NA,81.5492066123523,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"43","bigchicocrk.chin.spr","Central Valley Spring-Run Chinook Salmon",109.995419094331,NA,NA,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"44","buttecrk.chin.spr","Central Valley Spring-Run Chinook Salmon",2481.45156026261,2796.00137378591,2092.37614884915,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"45","clearcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",57.2259289040095,NA,39.7399812599108,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"46","cottonwoodcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",6.23630695119107,NA,NA,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"47","deercrk.chin.spr","Central Valley Spring-Run Chinook Salmon",188.336996022721,NA,186.462393598818,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"48","millcrk.chin.spr","Central Valley Spring-Run Chinook Salmon",175.535682184874,NA,150.405711471914,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"49","sacramentoriv.chin.spr","Central Valley Spring-Run Chinook Salmon",16.1248656796881,NA,NA,2015,2019,"Central Valley Spring-Run Chinook Salmon"
"50","yubariv.chin.spr","Central Valley Spring-Run Chinook Salmon",829.198323676806,NA,NA,2015,2019,"Central Valley Spring-Run Chinook Salmon"
