"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0531629169175778,0.00243296785275789,0.163527808220388,-0.375149740723756,-0.161267345703836,-0.0528700747179316,0.0543022026340043,0.272085624115688,4517.62825176573,1.00092607131063
"mu[2]",-0.0257036405307698,0.00246536798146621,0.164441209171985,-0.350777647036475,-0.133724721035882,-0.0247021470220634,0.0813730733791979,0.29856325647163,4448.9530274928,1.00094828481583
"mu[3]",0.0421428787693803,0.00245890452892695,0.167481919002815,-0.289672472379968,-0.0687906942433258,0.0432832559876245,0.154422029064146,0.369154850553204,4639.30070501534,1.00079523439505
"mu[4]",-0.0330285912712666,0.00244663085996816,0.164032302852388,-0.35652397460317,-0.140837808354117,-0.0324260508751728,0.0760784154719571,0.289939759448457,4494.91895252621,1.00087787901517
"mu[5]",0.112758983227215,0.00245866595791945,0.165392012728088,-0.209680500387306,0.00310355535246996,0.112284894742535,0.220016872440545,0.444481432021844,4525.11903978992,1.0009023956006
"mu[6]",-0.039017081816881,0.00251495222270733,0.169042804225426,-0.367130243504061,-0.151190816719568,-0.0409876037281982,0.071502610083128,0.302602334384899,4517.87175697928,1.00074188678265
"mu[7]",-0.114044119488903,0.00245284955863451,0.164043707205701,-0.440293161384163,-0.221392365163984,-0.114351438227622,-0.0071587061676284,0.210424288474341,4472.77782354583,1.00080683534366
"mu[8]",-0.0586423041693297,0.00245652093109042,0.164151742848178,-0.381840536427812,-0.167389771741608,-0.0576316753638292,0.0499001753185415,0.262719087727985,4465.29399743581,1.00098308637988
"mu[9]",-0.152348890117368,0.00244928202877834,0.163941600846198,-0.474800764312035,-0.260676201259301,-0.152465901781377,-0.0439978211774271,0.171687464791585,4480.23455359637,1.0009985010111
"mu[10]",0.0903616016194447,0.00243734905225815,0.174726273897518,-0.25285924291609,-0.0262149379262106,0.090670277065028,0.204824183057923,0.438653447317302,5139.02787420059,1.00072663926717
"sigma2_R",0.683013300586316,0.00274760825202055,0.133518233040007,0.439605506490771,0.590298590722856,0.677001188807293,0.768242084193142,0.961676875522929,2361.41070967115,1.00058180974552
"sigma2_Q",0.743352092535808,0.00417515460685014,0.249382491662389,0.350546586714777,0.567132369663533,0.712101204599833,0.882678434159231,1.32288827520017,3567.68740622013,1.00071903398766
"theta",0.677523625894461,0.00293265848318946,0.129849318419377,0.401618318797888,0.592175548048275,0.687705407421798,0.772548761964813,0.900623535463333,1960.45269153295,1.00161106763318
