"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,402399.161097104,327728.956306298,203455.456262615,1016434.5822732,218937.09909853,708173.164494581,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"2",1996,407503.909112041,348598.559400292,227436.996407246,924723.144050842,242805.716776698,678167.420165755,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"3",1997,461576.507379802,407750.733907516,274936.495574338,958981.62707603,291876.730534436,738383.906098482,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"4",1998,322381.116262547,294324.537821942,205125.1169556,605947.730119383,216508.136374244,488575.265281151,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"5",1999,395880.613632043,373481.761560875,258054.172534664,663557.597834316,273365.991820564,572701.027200783,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"6",2000,508595.754732303,488306.019574991,339732.294108873,791083.538748563,358622.209996534,710094.061536562,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"7",2001,628257.074209033,611141.213152194,428319.181706218,926132.180264495,452641.576406887,854315.819601124,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"8",2002,731139.816014613,715841.521451348,504940.45983598,1044745.34299952,532366.388767106,979505.738437616,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"9",2003,410820.920758503,403879.104526808,285752.066697757,577501.79039287,302275.02789074,542686.574788738,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"10",2004,288418.649164395,283982.653523023,204361.908206877,398506.698822943,215701.662678606,376392.278775141,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"11",2005,271439.676682848,267516.550507815,195052.918884972,371128.090374473,204939.221155684,352099.408351118,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"12",2006,203383.043639976,200273.964873359,146543.120415165,277880.597298705,153830.330639715,262883.283661902,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"13",2007,91319.1670292795,90074.7066108574,66375.9464450417,123447.496704409,69652.4862708468,117535.620596888,NA,NA,NA,NA,NA,88869,"Central Valley fall-late fall-run Chinook Salmon"
"14",2008,47372.7462656089,46688.0517463991,34377.7560534087,64283.9173434203,36062.0421984987,61000.0010517268,NA,NA,NA,NA,NA,56210,"Central Valley fall-late fall-run Chinook Salmon"
"15",2009,44336.4880365995,43721.3850877382,32337.4633640649,60114.1763369556,33913.0930437199,56997.4969470669,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"16",2010,95130.3603310689,93566.0572995571,68340.4784777099,130109.823294429,72006.6168433114,123317.672066241,NA,NA,NA,NA,NA,115945,"Central Valley fall-late fall-run Chinook Salmon"
"17",2011,126997.40395776,124947.023319199,90778.9748581926,174954.387740013,95458.4679256825,165660.561285929,NA,NA,NA,NA,NA,127364,"Central Valley fall-late fall-run Chinook Salmon"
"18",2012,192663.039834764,189355.192574305,136662.918898026,267005.334732415,144067.074920504,252606.483213313,NA,NA,NA,NA,NA,200431,"Central Valley fall-late fall-run Chinook Salmon"
"19",2013,282192.064643759,277418.697773275,197312.713345793,397034.41077535,208174.171409856,374368.895628359,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"20",2014,198041.799705093,194980.309449497,141277.893075644,272908.128502668,148711.930686993,258535.887858001,NA,NA,NA,NA,NA,202936,"Central Valley fall-late fall-run Chinook Salmon"
"21",2015,99741.5503492778,98016.3717108982,71774.0284848769,137275.240835268,75393.0791470777,129760.060575663,NA,NA,NA,NA,NA,101695,"Central Valley fall-late fall-run Chinook Salmon"
"22",2016,87411.6746930349,85835.9625155322,62271.4424249068,121817.186636513,65480.5005222928,114557.347292437,NA,NA,NA,NA,NA,88207,"Central Valley fall-late fall-run Chinook Salmon"
"23",2017,53742.0821419979,52721.7551952252,38371.963074564,74965.3634548855,40339.3813109245,70685.9371027128,NA,NA,NA,NA,NA,46800,"Central Valley fall-late fall-run Chinook Salmon"
"24",2018,102022.836549935,100087.074807247,71739.8593607481,143424.641556285,75510.5423246367,134866.446739927,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"25",2019,165925.371530331,162440.091730401,114017.158451597,237836.513361882,120772.744492082,222818.044804849,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
"26",2020,90378.0278229268,87927.7323758023,57930.8110605722,136994.357116749,62033.9395605362,127383.469832616,NA,NA,NA,NA,NA,NA,"Central Valley fall-late fall-run Chinook Salmon"
