"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","americanriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",63625.9952818401,NA,57870.2612535402,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"2","battlecrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",60957.2190899281,NA,59625.3130799504,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"3","battlecrk.chin.latefall","Central Valley fall-late fall-run Chinook Salmon",99.323170229867,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"4","buttecrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",757.20275772505,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"5","clearcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",7137.48905903653,NA,6938.56576454719,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"6","clearcrk.chin.latefall","Central Valley fall-late fall-run Chinook Salmon",125.248863511099,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"7","cosumnesriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",300.745417632519,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"8","cottonwoodcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",54769.5010162684,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"9","cowcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",26170.8540354983,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"10","deercrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",693.329850473251,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"11","featherriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",55304.1949274951,NA,48884.9779492433,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"12","mercedriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",3377.02682275478,NA,2923.19791362266,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"13","millcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",619.335972277259,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"14","mokelumneriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",3005.20506121437,NA,3115.34462215417,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"15","sacramentoriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",60766.9185486066,NA,57942.991255594,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"16","sacramentoriv.chin.latefall","Central Valley fall-late fall-run Chinook Salmon",22034.1673621366,NA,NA,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"17","stanislausriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",1685.91374129286,NA,1508.12199209837,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"18","tuolumneriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",4821.41142524073,NA,4521.96763540012,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"19","yubariv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",23227.75046543,NA,23879.2203311428,1995,1999,"Central Valley fall-late fall-run Chinook Salmon"
"20","americanriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",112173.378912581,NA,122481.829661744,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"21","battlecrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",81991.9203773431,NA,80112.9772849242,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"22","battlecrk.chin.latefall","Central Valley fall-late fall-run Chinook Salmon",92.3598318979234,NA,NA,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"23","buttecrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",3103.77635075948,NA,NA,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"24","clearcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",11150.4333785494,NA,9322.58423843621,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"25","clearcrk.chin.latefall","Central Valley fall-late fall-run Chinook Salmon",139.172485108858,NA,NA,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"26","cosumnesriv.chin.fall","Central Valley fall-late fall-run Chinook Salmon",554.966774383438,NA,NA,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"27","cottonwoodcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",19972.6652779195,NA,NA,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"28","cowcrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",14264.9899432936,NA,NA,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
"29","deercrk.chin.fall","Central Valley fall-late fall-run Chinook Salmon",981.373249892934,NA,NA,2000,2004,"Central Valley fall-late fall-run Chinook Salmon"
