"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","americanriv.chin.fall","Total",1995,2020,-0.0729526074730689,0.0194000271165884,"Central Valley fall-late fall-run Chinook Salmon"
"2","americanriv.chin.fall","Natural",1995,2020,-0.179188698989434,0.0448111774256197,"Central Valley fall-late fall-run Chinook Salmon"
"3","battlecrk.chin.fall","Total",1995,2020,-0.12335248616509,0.0210328725011957,"Central Valley fall-late fall-run Chinook Salmon"
"4","battlecrk.chin.fall","Natural",1995,2020,-0.0811025757157068,0.0774737944721144,"Central Valley fall-late fall-run Chinook Salmon"
"5","buttecrk.chin.fall","Total",1995,2020,-0.0471665952775741,0.0204227879013214,"Central Valley fall-late fall-run Chinook Salmon"
"6","buttecrk.chin.fall","Natural",1995,2020,-0.0182100992984312,0.0778051299911485,"Central Valley fall-late fall-run Chinook Salmon"
"7","clearcrk.chin.fall","Total",1995,2020,-0.0146981274382508,0.0108530328346628,"Central Valley fall-late fall-run Chinook Salmon"
"8","clearcrk.chin.fall","Natural",1995,2020,-0.054837005395401,0.048999439776614,"Central Valley fall-late fall-run Chinook Salmon"
"9","featherriv.chin.fall","Total",1995,2020,-0.029841727141821,0.0169115647142918,"Central Valley fall-late fall-run Chinook Salmon"
"10","featherriv.chin.fall","Natural",1995,2020,0.049808003902591,0.0794764576872557,"Central Valley fall-late fall-run Chinook Salmon"
"11","mercedriv.chin.fall","Total",1995,2020,-0.0586117134860605,0.0180577665167542,"Central Valley fall-late fall-run Chinook Salmon"
"12","mercedriv.chin.fall","Natural",1995,2020,0.108308265789985,0.0791549336048642,"Central Valley fall-late fall-run Chinook Salmon"
"13","mokelumneriv.chin.fall","Total",1995,2020,0.00784113923510138,0.0174994204184498,"Central Valley fall-late fall-run Chinook Salmon"
"14","mokelumneriv.chin.fall","Natural",1995,2020,-0.00254817355929221,0.0721974965727943,"Central Valley fall-late fall-run Chinook Salmon"
"15","sacramentoriv.chin.fall","Total",1995,2020,-0.0918968642417055,0.0141720964994556,"Central Valley fall-late fall-run Chinook Salmon"
"16","sacramentoriv.chin.fall","Natural",1995,2020,-0.0680785494061139,0.0574669993444296,"Central Valley fall-late fall-run Chinook Salmon"
"17","stanislausriv.chin.fall","Total",1995,2020,0.00394498682320265,0.0210114207451324,"Central Valley fall-late fall-run Chinook Salmon"
"18","stanislausriv.chin.fall","Natural",1995,2020,-0.0281918759120887,0.0973879304240903,"Central Valley fall-late fall-run Chinook Salmon"
"19","tuolumneriv.chin.fall","Total",1995,2020,-0.110531712787572,0.0221956832048087,"Central Valley fall-late fall-run Chinook Salmon"
"20","tuolumneriv.chin.fall","Natural",1995,2020,-0.0133409098262114,0.0840378565280702,"Central Valley fall-late fall-run Chinook Salmon"
"21","yubariv.chin.fall","Total",1995,2020,-0.086001619329682,0.0127066399546401,"Central Valley fall-late fall-run Chinook Salmon"
"22","yubariv.chin.fall","Natural",1995,2020,-0.191218619810231,0.096614863366035,"Central Valley fall-late fall-run Chinook Salmon"
"23","deercrk.chin.fall","Total",1995,2020,-0.059586000556213,0.0156621675458326,"Central Valley fall-late fall-run Chinook Salmon"
"24","millcrk.chin.fall","Total",1995,2020,-0.00455038114176483,0.018739277856416,"Central Valley fall-late fall-run Chinook Salmon"
"25","millcrk.chin.fall","Natural",1995,2020,-0.0129210095298986,0.0619678784443817,"Central Valley fall-late fall-run Chinook Salmon"
"26","cosumnesriv.chin.fall","Total",1995,2020,0.0177774455253474,0.0181501635245257,"Central Valley fall-late fall-run Chinook Salmon"
"27","sacramentoriv.chin.latefall","Total",1995,2020,-0.111769109140196,0.00875821180890366,"Central Valley fall-late fall-run Chinook Salmon"
"28","sacramentoriv.chin.latefall","Natural",1995,2020,-0.114853697663287,0.0394041186276604,"Central Valley fall-late fall-run Chinook Salmon"
"29","battlecrk.chin.latefall","Total",1995,2020,-0.0427558063504115,0.0119762861504098,"Central Valley fall-late fall-run Chinook Salmon"
"30","clearcrk.chin.latefall","Total",1995,2020,-0.00879397840300029,0.00920350117389038,"Central Valley fall-late fall-run Chinook Salmon"
"31","cowcrk.chin.fall","Total",1995,2020,-0.17453661352216,0.0189905248763419,"Central Valley fall-late fall-run Chinook Salmon"
"32","cottonwoodcrk.chin.fall","Total",1995,2020,-0.235180494797123,0.0165521001234554,"Central Valley fall-late fall-run Chinook Salmon"
"33","cottonwoodcrk.chin.fall","Natural",1995,2020,-0.0718024585077965,0.166307254817409,"Central Valley fall-late fall-run Chinook Salmon"
