"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0383036852103673,0.00222194637565427,0.119591612463768,-0.27128700811478,-0.118708033901585,-0.03940386472295,0.0407242032781632,0.199278627519968,2896.90528537166,1.00347085783952
"mu[2]",-0.054156394231695,0.0022467219883122,0.12055346112676,-0.288847476136509,-0.135320364467314,-0.0548508079727588,0.0261487692755354,0.18582157558459,2879.12616174462,1.00381516265846
"mu[3]",0.00669175400008465,0.00225099112426964,0.122033774888089,-0.226963567000612,-0.0756527740536838,0.00444958236119547,0.0879897610569249,0.251292331483364,2939.08756971781,1.0031951675323
"mu[4]",-0.0025949235459905,0.00228251609059758,0.119543369997834,-0.234089164618288,-0.0835864358423444,-0.00357071895689536,0.0767543950077861,0.234667812381482,2742.98412301434,1.0037725902109
"mu[5]",-0.00423295917141993,0.00227497042578701,0.119701210400448,-0.234923331250671,-0.0845304259193742,-0.00597387491833651,0.0751000166174064,0.23501644976907,2768.50666471338,1.00323394922618
"mu[6]",-0.0422511511301234,0.002223497803342,0.120196762221969,-0.27850192939261,-0.122131698683645,-0.04270665643667,0.0368895771350324,0.197571779536916,2922.21475124416,1.00352556475524
"mu[7]",-0.0134948176770337,0.00220475592161942,0.119594375906989,-0.246050306390448,-0.0943940709977183,-0.0132849706836398,0.0668139834220918,0.221585959838194,2942.39164164225,1.00384751905781
"mu[8]",-0.0605996025353116,0.00224614501884157,0.120195092579133,-0.293549472253645,-0.141288372620492,-0.0618260439468024,0.0186693845124942,0.180275308334769,2863.50461816972,1.00302937600698
"mu[9]",0.0256264141702362,0.00229800308557441,0.120079441430276,-0.207638136008403,-0.0544497152933568,0.0248559226176609,0.105065815018939,0.264788545719088,2730.46178814505,1.00330475275303
"mu[10]",-0.0563162485380516,0.00226692499445607,0.120469757642545,-0.28868533194804,-0.137845138047121,-0.057000779600193,0.0237559011285831,0.182505292877613,2824.1110590431,1.00328083432416
"mu[11]",-0.0618204198074557,0.00229076087109638,0.120202250336318,-0.292413428266083,-0.142973968959832,-0.0631351025802634,0.017151742987987,0.178688256231428,2753.37702412981,1.00305621531629
"mu[12]",-0.0569693185403127,0.00227539340017579,0.12296136249425,-0.297939275851302,-0.139396248352577,-0.0577285025432305,0.0253711484486278,0.184998111538522,2920.27900018866,1.00318055467565
"mu[13]",0.0272069676098667,0.00223264120996996,0.123093098448337,-0.210202398625156,-0.0560556183975501,0.0260884078630036,0.110218150631292,0.270739764886229,3039.69167517942,1.0033120010803
"mu[14]",0.038287285408148,0.00224283853751458,0.125513717857139,-0.20656191265243,-0.0459023132267358,0.0376993909757825,0.122170157809779,0.285567568123808,3131.74482624028,1.0032614038754
"mu[15]",-0.0928553238825005,0.00221725921587018,0.124592393169929,-0.337765584968149,-0.175622471071303,-0.0927537371424638,-0.0105648898228791,0.153604786069807,3157.54914162487,1.00327963228231
"mu[16]",-0.00836670831184587,0.0022903858616611,0.129508071675356,-0.262004942737652,-0.0953771467178617,-0.00934120389510811,0.0780998618129136,0.246015861363383,3197.24830332264,1.00273213473802
"mu[17]",0.054830790115465,0.00237677925362698,0.133272346662189,-0.205261980104941,-0.034037264999057,0.0541618003232666,0.143474342710068,0.318661829128312,3144.14375051134,1.00359882272903
"mu[18]",-0.0818899465345065,0.0022945445379577,0.140547573071698,-0.354317022470156,-0.175915355792223,-0.0835302099064661,0.0116646486884749,0.197847557678925,3751.9212790897,1.00240698741264
"mu[19]",-0.155196104944866,0.00232736367557708,0.143243849363701,-0.434814458995948,-0.2512523684407,-0.156619219610358,-0.0597078422279748,0.129264440511267,3788.11768641153,1.0023665983388
"sigma2_R",0.300586658418594,0.00106165829304418,0.0489542652330934,0.209757312129902,0.266698749393281,0.298753595265554,0.333055940815263,0.400771378751115,2126.23645467901,1.00156834947514
"sigma2_Q",0.39316439635044,0.00159381177078957,0.0966273726337985,0.237384082586384,0.324860661032397,0.382539978615039,0.448348217780767,0.612940671037499,3675.58340505932,1.0010300957568
"theta",0.573897139960182,0.00208921145037322,0.110104784299483,0.360155904625587,0.496980622057823,0.574051645609693,0.651215471113561,0.786445335485867,2777.45854803938,1.00135876373193
