"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,1542.37060418352,1450.59820159902,831.441755106174,2786.2070814505,905.901989666806,2461.94947416106,NA,NA,NA,NA,NA,NA,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"2",1996,3844.59601108456,3675.44838335691,2252.1257281085,6453.02438137836,2435.4864728603,5820.65757002497,NA,NA,NA,NA,NA,NA,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"3",1997,4984.19048715325,4791.63717327238,2998.96217145313,8050.75557314371,3231.64620160161,7358.88234448064,NA,NA,NA,NA,NA,NA,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"4",1998,3429.38648573125,3318.02625660277,2090.36285854802,5405.38192513025,2253.48276433074,4983.56179233926,NA,NA,NA,NA,NA,NA,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"5",1999,2944.30629410199,2850.2509312579,1747.32395756876,4678.4032164987,1891.76725321655,4313.27896421826,NA,NA,NA,NA,NA,NA,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"6",2000,11505.1226372588,11308.3617745405,7952.10904114061,16163.7290412713,8414.85223117299,15283.445593024,NA,NA,NA,NA,NA,19441,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"7",2001,20775.1760707316,20436.8074992632,14308.0109432171,29135.9624998265,15152.0846405075,27543.9040128348,NA,NA,NA,NA,NA,25745,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"8",2002,18264.4568040996,17974.9963859379,12717.3174069387,25573.3729364811,13424.0656756732,24114.7616502526,NA,NA,NA,NA,NA,17664,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"9",2003,14111.0790632625,13864.3317929118,9853.40423506836,19743.4534699655,10422.6309349902,18604.2584494054,NA,NA,NA,NA,NA,11129,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"10",2004,13110.7242241966,12872.5504606196,9065.17207784202,18531.1856608112,9613.79794021987,17471.2700310905,NA,NA,NA,NA,NA,17329,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"11",2005,7976.3367585149,7824.69516464632,5502.53769542821,11260.1929613276,5829.10268897789,10642.2078759246,NA,NA,NA,NA,NA,9580,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"12",2006,8288.14267250611,8140.26272766284,5755.00024971023,11651.112575323,6078.5599988977,10991.8649398657,NA,NA,NA,NA,NA,7790,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"13",2007,7123.30466730353,7003.74237447512,4946.81855557556,9993.94570069985,5222.60134948283,9448.45945248817,NA,NA,NA,NA,NA,6090,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"14",2008,8206.50719591829,8067.02239183393,5658.78496376568,11574.9909254696,5998.30100297587,10893.2844160361,NA,NA,NA,NA,NA,8429,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"15",2009,9842.9903473458,9673.64271218323,6775.04382943956,13911.6645653497,7175.84907591848,13111.6496129734,NA,NA,NA,NA,NA,12262,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"16",2010,12041.765142278,11837.3464937722,8271.90188526992,17060.1122502356,8762.65300108756,16028.6436806116,NA,NA,NA,NA,NA,14000,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"17",2011,18829.309110232,18510.3810130907,12897.4967302234,26653.4719800054,13687.199780933,25051.40975168,NA,NA,NA,NA,NA,19266,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"18",2012,14505.6471780679,14254.658818468,10101.6225679494,20301.1038463541,10663.9856816075,19137.8322650792,NA,NA,NA,NA,NA,13168,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"19",2013,11716.3767649368,11518.6702490435,8128.85951546051,16444.9350837638,8605.96590901154,15521.6513227662,NA,NA,NA,NA,NA,11179,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"20",2014,12660.3395500342,12440.2482008705,8806.42647243715,17762.5511234601,9307.10232604964,16752.175007267,NA,NA,NA,NA,NA,14415,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"21",2015,12673.5266740495,12452.8766343759,8773.12805330259,17820.7260441466,9287.39933112716,16800.0370148544,NA,NA,NA,NA,NA,11972,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"22",2016,8839.69157161885,8681.72991667588,6127.67314028946,12422.8578574737,6488.21977350033,11732.1644767683,NA,NA,NA,NA,NA,8571,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"23",2017,5414.72063348288,5315.11785070294,3743.38251553136,7660.49256934746,3951.37783105586,7228.16196780873,NA,NA,NA,NA,NA,6261,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"24",2018,3954.56660398289,3884.6573182979,2712.14742077076,5592.43201639256,2872.033627337,5270.15033055142,NA,NA,NA,NA,NA,3813,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"25",2019,3674.51135204861,3605.80539249853,2481.14228336779,5274.11755901843,2633.95498990051,4959.08143625003,NA,NA,NA,NA,NA,NA,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"26",2020,5943.22609303804,5807.69301001315,3905.90667147784,8752.86824101331,4155.63009438819,8185.20500590147,NA,NA,NA,NA,NA,NA,"Chinook Salmon (Mid-Columbia River Spring-Run)"
