"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","American River Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",180.492628901404,180.492628901404,170.948564062625,1995,1999,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"2","Klickitat Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",184.454143119888,NA,201.869936130829,1995,1999,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"3","Middle Fork John Day spring Chinook salmon","Chinook Salmon (Mid-Columbia River Spring-Run)",264.379148272279,NA,NA,1995,1999,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"4","Naches Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",513.054812017297,513.054812017297,432.265184109951,1995,1999,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"5","North Fork John Day spring Chinook salmon","Chinook Salmon (Mid-Columbia River Spring-Run)",714.478824725802,NA,NA,1995,1999,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"6","Upper John Day spring Chinook salmon","Chinook Salmon (Mid-Columbia River Spring-Run)",223.664247418368,NA,NA,1995,1999,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"7","Upper Yakima River Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",1039.65552589605,1039.65552589605,761.630665283237,1995,1999,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"8","American River Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",804.854184434413,804.854184434413,734.902121085984,2000,2004,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"9","Klickitat Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",640.977969005476,NA,669.874982260924,2000,2004,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"10","Middle Fork John Day spring Chinook salmon","Chinook Salmon (Mid-Columbia River Spring-Run)",968.432586596387,960.284753739121,952.425920373098,2000,2004,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"11","Naches Spring Chinook-","Chinook Salmon (Mid-Columbia River Spring-Run)",2215.45456134298,2215.45456134298,2439.96230099176,2000,2004,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"12","North Fork John Day spring Chinook salmon","Chinook Salmon (Mid-Columbia River Spring-Run)",2634.71788798195,2543.88805403633,2576.19752795058,2000,2004,"Chinook Salmon (Mid-Columbia River Spring-Run)"
