"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","American River Spring Chinook-","Total",1995,2020,0.0127443578766573,0.0165711111665531,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"2","American River Spring Chinook-","Natural",1995,2020,0.0127443578766573,0.0165711111665531,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"3","Klickitat Spring Chinook-","Total",1995,2020,0.00146710591592152,0.0138249054119612,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"4","Naches Spring Chinook-","Total",1995,2020,-0.0196774232917721,0.0172996886316566,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"5","Naches Spring Chinook-","Natural",1995,2020,-0.0196774232917721,0.0172996886316566,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"6","Upper Yakima River Spring Chinook-","Total",1995,2020,0.0318163878143027,0.0192075832978442,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"7","Upper Yakima River Spring Chinook-","Natural",1995,2020,-0.00551046403965281,0.0181894650785403,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"8","North Fork John Day spring Chinook salmon","Total",1995,2020,-0.0136550687270994,0.0165507715692031,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"9","North Fork John Day spring Chinook salmon","Natural",1995,2020,-0.071180233065589,0.0151073748350847,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"10","Middle Fork John Day spring Chinook salmon","Total",1995,2020,0.00482765260288611,0.0160149467415537,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"11","Middle Fork John Day spring Chinook salmon","Natural",1995,2020,-0.0482373932718866,0.0159797900558543,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"12","Upper John Day spring Chinook salmon","Total",1995,2020,0.0640541355964545,0.0160326628226085,"Chinook Salmon (Mid-Columbia River Spring-Run)"
"13","Upper John Day spring Chinook salmon","Natural",1995,2020,0.00738616975734868,0.0141901271294474,"Chinook Salmon (Mid-Columbia River Spring-Run)"
