"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",0.0403573180045714,0.00187020614538048,0.105789873396135,-0.172472354498721,-0.0271831481553964,0.041099038635015,0.10913498485253,0.24818258963258,3199.69980860907,1.00090585538602
"mu[2]",0.0335287930533733,0.00189087855260841,0.107048675234699,-0.179615340787803,-0.0352937453894631,0.034503698143894,0.10321067780183,0.245174931246257,3205.05378909964,1.00118277111233
"mu[3]",0.0163340622032735,0.00188089671532593,0.105998515128486,-0.195795801390508,-0.0517280189372217,0.016932295562945,0.0850442755463297,0.224058433168794,3175.92082487301,1.00096793158286
"mu[4]",0.0616438191526988,0.00187544587134586,0.105943336010949,-0.150958397701537,-0.00574737914028527,0.062567295989174,0.131071715740065,0.269421844708558,3191.08387911043,1.00096758270863
"mu[5]",0.0228829026417885,0.00188675993200301,0.108364295662227,-0.19231236307902,-0.0469701398128857,0.0232184509261399,0.0933556704549767,0.236366170794658,3298.67201043562,1.00099009631969
"mu[6]",0.0396786541519789,0.0018729622039946,0.108446523643395,-0.175834927386632,-0.0301582777413249,0.0410329522579048,0.109648172834212,0.252461212172978,3352.53439945614,1.00087386240269
"mu[7]",0.0980012141598241,0.00187190323048101,0.108003335598746,-0.117648930314029,0.02844139557317,0.0985440032775974,0.168053514325413,0.309819148335924,3328.95212555047,1.00080873446861
"sigma2_R",0.231916231507442,0.000708878165854541,0.0369153318942127,0.164950544148726,0.206623521459501,0.229940992428998,0.255222300805374,0.309724940279041,2711.8792934121,1.00212575382067
"sigma2_Q",0.29369364321689,0.00125051851331519,0.106300397297605,0.14017045158006,0.218311185851278,0.275422823932345,0.34933963461716,0.549518815601738,7225.8596875254,1.00061655953302
"theta",0.898572784861278,0.00277038232267336,0.0768173574101523,0.701716735619975,0.862400978241776,0.916741349806053,0.954884746413615,0.991721661960732,768.845914773672,1.00768703704032
