"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Chum Salmon (Columbia River ESU) - Grays & Chinook Rivers","Columbia River Chum Salmon ESU",10383.0923623925,NA,NA,1995,1999,"Columbia River Chum Salmon ESU"
"2","Chum Salmon (Columbia River ESU) - Lower Gorge Tributaries","Columbia River Chum Salmon ESU",3003.40285649971,NA,NA,1995,1999,"Columbia River Chum Salmon ESU"
"3","Chum Salmon (Columbia River ESU) - Upper Gorge Tributaries","Columbia River Chum Salmon ESU",43.3540625858394,NA,43.0021102988499,1995,1999,"Columbia River Chum Salmon ESU"
"4","Chum Salmon (Columbia River ESU) - Washougal River","Columbia River Chum Salmon ESU",3690.93207659813,NA,NA,1995,1999,"Columbia River Chum Salmon ESU"
"5","Chum Salmon (Columbia River ESU) - Grays & Chinook Rivers","Columbia River Chum Salmon ESU",8840.67564552811,9436.48626835033,NA,2000,2004,"Columbia River Chum Salmon ESU"
"6","Chum Salmon (Columbia River ESU) - Lower Gorge Tributaries","Columbia River Chum Salmon ESU",2659.96153064442,2659.96153064442,2707.05358070464,2000,2004,"Columbia River Chum Salmon ESU"
"7","Chum Salmon (Columbia River ESU) - Upper Gorge Tributaries","Columbia River Chum Salmon ESU",74.1040119941936,NA,60.8461104502334,2000,2004,"Columbia River Chum Salmon ESU"
"8","Chum Salmon (Columbia River ESU) - Washougal River","Columbia River Chum Salmon ESU",1793.97368642436,NA,NA,2000,2004,"Columbia River Chum Salmon ESU"
"9","Chum Salmon (Columbia River ESU) - Grays & Chinook Rivers","Columbia River Chum Salmon ESU",4410.98098257453,4124.84019007226,3838.10348680873,2005,2009,"Columbia River Chum Salmon ESU"
"10","Chum Salmon (Columbia River ESU) - Lower Gorge Tributaries","Columbia River Chum Salmon ESU",942.478832705615,918.524250402157,773.233081522855,2005,2009,"Columbia River Chum Salmon ESU"
"11","Chum Salmon (Columbia River ESU) - Upper Gorge Tributaries","Columbia River Chum Salmon ESU",108.502030528344,NA,121.6339946927,2005,2009,"Columbia River Chum Salmon ESU"
"12","Chum Salmon (Columbia River ESU) - Washougal River","Columbia River Chum Salmon ESU",888.2953248039,1013.79705786166,807.508546326851,2005,2009,"Columbia River Chum Salmon ESU"
"13","Chum Salmon (Columbia River ESU) - Grays & Chinook Rivers","Columbia River Chum Salmon ESU",7152.74556157022,6700.65295726531,6708.76033093099,2010,2014,"Columbia River Chum Salmon ESU"
"14","Chum Salmon (Columbia River ESU) - Lower Gorge Tributaries","Columbia River Chum Salmon ESU",2281.25847100848,2272.52304487511,2271.96805183269,2010,2014,"Columbia River Chum Salmon ESU"
"15","Chum Salmon (Columbia River ESU) - Upper Gorge Tributaries","Columbia River Chum Salmon ESU",102.411245336338,NA,96.1338354268435,2010,2014,"Columbia River Chum Salmon ESU"
"16","Chum Salmon (Columbia River ESU) - Washougal River","Columbia River Chum Salmon ESU",2272.98531803798,NA,2175.55391075875,2010,2014,"Columbia River Chum Salmon ESU"
"17","Chum Salmon (Columbia River ESU) - Grays & Chinook Rivers","Columbia River Chum Salmon ESU",10669.9162128571,10057.8923065327,10408.8756037333,2015,2019,"Columbia River Chum Salmon ESU"
"18","Chum Salmon (Columbia River ESU) - Lower Gorge Tributaries","Columbia River Chum Salmon ESU",4256.44567661205,4245.3209177141,4221.63615297928,2015,2019,"Columbia River Chum Salmon ESU"
"19","Chum Salmon (Columbia River ESU) - Upper Gorge Tributaries","Columbia River Chum Salmon ESU",110.731745411055,NA,99.760331045926,2015,2019,"Columbia River Chum Salmon ESU"
"20","Chum Salmon (Columbia River ESU) - Washougal River","Columbia River Chum Salmon ESU",2649.24595306903,2362.53902625087,2639.37769377854,2015,2019,"Columbia River Chum Salmon ESU"
