"","ESU","name","trend","stderr","Species.x","Number","Species.y","DPS_short","DPS_WCR","Status","Region","Domain","abn_type","org","col","shape"
"34","Sacramento River Winter-run Chinook Salmon","Chinook_Sacramento River Winter-run Chinook Salmon",0.00924392606013611,0.0194328304317345,"Chinook",1,"Chinook","Sacramento River Winter Run","Chinook Salmon (Sacramento River winter-run ESU)","E","CA","CA","abs","E:Chinook:Sacramento River Winter Run","#1B9E77",19
"48","Upper Columbia River Spring-run Chinook Salmon ESU","Chinook_Upper Columbia River Spring-run Chinook Salmon ESU",0.0627445965288067,0.0236218710674933,"Chinook",2,"Chinook","Upper Columbia River Spring Run","Chinook Salmon (Upper Columbia River ESU) ","E","PNW","IC","abs","E:Chinook:Upper Columbia River Spring Run","#1B9E77",19
"4","California Coastal Chinook salmon","Chinook_California Coastal Chinook salmon",-0.0140211427959708,0.0109109398885535,"Chinook",3,"Chinook","California Coastal","Chinook Salmon (California Coastal ESU)","T","CA","CA","index","T:Chinook:California Coastal","#1B9E77",19
"8","Central Valley Spring-Run Chinook Salmon","Chinook_Central Valley Spring-Run Chinook Salmon",-0.0246043053854908,0.017092678272208,"Chinook",4,"Chinook","Central Valley Spring Run","Chinook Salmon (Central Valley spring-run ESU)","T","CA","CA","abs","T:Chinook:Central Valley Spring Run","#1B9E77",19
"16","Lower Columbia River Chinook Salmon ESU","Chinook_Lower Columbia River Chinook Salmon ESU",0.0136803743134021,0.011925427309145,"Chinook",5,"Chinook","Lower Columbia River","Chinook Salmon (Lower Columbia River ESU) ","T","PNW","LC","abs","T:Chinook:Lower Columbia River","#1B9E77",19
"29","Puget Sound Chinook Salmon ESU","Chinook_Puget Sound Chinook Salmon ESU",0.00822320764773131,0.00769392192389899,"Chinook",6,"Chinook","Puget Sound","Chinook Salmon (Puget Sound ESU) ","T","PNW","NC","abs","T:Chinook:Puget Sound","#1B9E77",19
"36","Snake River Fall-run Chinook Salmon ESU","Chinook_Snake River Fall-run Chinook Salmon ESU",0.153171012194133,0.0208144334042538,"Chinook",7,"Chinook","Snake River Fall-Run","Chinook Salmon (Snake River Fall Run) ","T","PNW","IC","abs","T:Chinook:Snake River Fall-Run","#1B9E77",19
"38","Snake River Spring-Summer-run Chinook Salmon ESU","Chinook_Snake River Spring-Summer-run Chinook Salmon ESU",0.0393983748968968,0.0198295618915668,"Chinook",8,"Chinook","Snake River Spring-Summer Run","Chinook Salmon (Snake River spring/summer-run ESU) ","T","PNW","IC","abs","T:Chinook:Snake River Spring-Summer Run","#1B9E77",19
"51","Upper Willamette River Chinook Salmon ESU","Chinook_Upper Willamette River Chinook Salmon ESU",-0.00561495686617615,0.0118971592435311,"Chinook",9,"Chinook","Upper Willamette River","Chinook Salmon (Upper Willamette River ESU) ","T","PNW","LC","abs","T:Chinook:Upper Willamette River","#1B9E77",19
"7","Central Valley fall-late fall-run Chinook Salmon","Chinook_Central Valley fall-late fall-run Chinook Salmon",-0.0679802481385152,0.0155181954249191,"Chinook",10,"Chinook","Central Valley fall-late-fall Run","Chinook Salmon (Central Valley fall-run ESU)","U","CA","CA","abs","U:Chinook:Central Valley fall-late-fall Run","#1B9E77",1
