"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,15149.6026349627,14763.3795599629,8740.80616358517,24256.3371692972,9575.06145460292,22104.1459421754,15149.6026349627,8740.80616358517,24256.3371692972,9575.06145460292,22104.1459421754,15233,"Deschutes River Summer-Fall-run Chinook Salmon"
"2",1996,14272.4711665211,13812.2491300999,8987.84204763271,22226.8948770056,9639.17709289612,20526.0387180145,14272.4711665211,8987.84204763271,22226.8948770056,9639.17709289612,20526.0387180145,11420,"Deschutes River Summer-Fall-run Chinook Salmon"
"3",1997,17498.8562257977,17059.4785379417,10668.708045761,27039.5343444859,11500.8399456633,24995.7177782201,17498.8562257977,10668.708045761,27039.5343444859,11500.8399456633,24995.7177782201,21959,"Deschutes River Summer-Fall-run Chinook Salmon"
"4",1998,16634.2633846389,16231.6485565158,10379.624850106,25166.0029643962,11156.7255619971,23323.2451310013,16634.2633846389,10379.624850106,25166.0029643962,11156.7255619971,23323.2451310013,19582,"Deschutes River Summer-Fall-run Chinook Salmon"
"5",1999,12965.0427755652,12610.9154669305,8067.32137973661,19792.4451233999,8690.85165727558,18385.0767386184,12965.0427755652,8067.32137973661,19792.4451233999,8690.85165727558,18385.0767386184,10422,"Deschutes River Summer-Fall-run Chinook Salmon"
"6",2000,12061.1834937332,11793.7358808173,7097.9361077619,18905.5933377294,7572.3729391549,17627.4986466662,12061.1834937332,7097.9361077619,18905.5933377294,7572.3729391549,17627.4986466662,7922,"Deschutes River Summer-Fall-run Chinook Salmon"
"7",2001,16390.1913821366,15952.7761812746,10223.3549272544,24813.2916347636,11064.7438895754,23191.5694726592,16390.1913821366,10223.3549272544,24813.2916347636,11064.7438895754,23191.5694726592,21362,"Deschutes River Summer-Fall-run Chinook Salmon"
"8",2002,15767.2048541365,15441.5896689575,10180.3708316291,23578.6198090025,10956.1512538171,21787.5682392698,15767.2048541365,10180.3708316291,23578.6198090025,10956.1512538171,21787.5682392698,15464,"Deschutes River Summer-Fall-run Chinook Salmon"
"9",2003,15879.7439899266,15565.6382721415,10227.5342871813,23708.867383051,10981.8194716899,21953.7258330691,15879.7439899266,10227.5342871813,23708.867383051,10981.8194716899,21953.7258330691,15968,"Deschutes River Summer-Fall-run Chinook Salmon"
"10",2004,15734.274149682,15301.6444524956,10229.592877258,23512.1999393377,11010.8982827042,21794.7209408949,15734.274149682,10229.592877258,23512.1999393377,11010.8982827042,21794.7209408949,15498,"Deschutes River Summer-Fall-run Chinook Salmon"
"11",2005,16145.2769656878,15756.1449053478,10250.5445797774,24029.0039386695,11054.0530670222,22303.9121599934,16145.2769656878,10250.5445797774,24029.0039386695,11054.0530670222,22303.9121599934,18142,"Deschutes River Summer-Fall-run Chinook Salmon"
"12",2006,14048.8657735243,13760.463815237,8971.31995222179,20884.7417189939,9669.47222366529,19376.3725194144,14048.8657735243,8971.31995222179,20884.7417189939,9669.47222366529,19376.3725194144,13001,"Deschutes River Summer-Fall-run Chinook Salmon"
"13",2007,13035.8078335599,12752.1090410961,8226.58346976953,19507.7171689438,8917.90206654696,18170.5622534289,13035.8078335599,8226.58346976953,19507.7171689438,8917.90206654696,18170.5622534289,12229,"Deschutes River Summer-Fall-run Chinook Salmon"
"14",2008,12028.6344356573,11630.5306977696,7255.44787028869,18591.1001360491,7799.81757378436,17357.7278242342,12028.6344356573,7255.44787028869,18591.1001360491,7799.81757378436,17357.7278242342,9729,"Deschutes River Summer-Fall-run Chinook Salmon"
"15",2009,12386.2241121637,11994.2187489419,7470.87961285593,19243.9097128066,8084.69025050142,17943.3068242353,12386.2241121637,7470.87961285593,19243.9097128066,8084.69025050142,17943.3068242353,9891,"Deschutes River Summer-Fall-run Chinook Salmon"
"16",2010,14265.9388996854,13940.0857065272,8890.5897338751,21613.2059319837,9517.32640904125,20097.4975613691,14265.9388996854,8890.5897338751,21613.2059319837,9517.32640904125,20097.4975613691,10970,"Deschutes River Summer-Fall-run Chinook Salmon"
"17",2011,20728.3170213013,20170.7503832372,12818.6665529528,32351.4321144309,13774.1091045717,29902.1769096261,20728.3170213013,12818.6665529528,32351.4321144309,13774.1091045717,29902.1769096261,25809,"Deschutes River Summer-Fall-run Chinook Salmon"
"18",2012,25088.96879327,24029.4632427729,14108.8824133398,41401.8780956146,15171.0503913522,39090.5302070411,25088.96879327,14108.8824133398,41401.8780956146,15171.0503913522,39090.5302070411,31800,"Deschutes River Summer-Fall-run Chinook Salmon"
"19",2013,23248.4072677786,22611.3103653187,14069.1968069266,36502.0883220356,15117.8027981497,33668.7485082359,23248.4072677786,14069.1968069266,36502.0883220356,15117.8027981497,33668.7485082359,25448,"Deschutes River Summer-Fall-run Chinook Salmon"
"20",2014,21679.5600461696,21160.7085626175,13551.8950264552,33109.0525388786,14548.3466680442,30551.0114820417,21679.5600461696,13551.8950264552,33109.0525388786,14548.3466680442,30551.0114820417,22776,"Deschutes River Summer-Fall-run Chinook Salmon"
"21",2015,19872.4248256258,19304.4819654881,12630.1655946625,30530.170623836,13596.2169830741,28079.0113924542,19872.4248256258,12630.1655946625,30530.170623836,13596.2169830741,28079.0113924542,22466,"Deschutes River Summer-Fall-run Chinook Salmon"
"22",2016,16379.8136598608,16064.7625528581,10438.7011213493,24256.7541628525,11271.9685212579,22513.1893805305,16379.8136598608,10438.7011213493,24256.7541628525,11271.9685212579,22513.1893805305,17100,"Deschutes River Summer-Fall-run Chinook Salmon"
"23",2017,12212.5485567842,11692.7855522974,6636.82505161371,20417.4025964707,7237.89746894923,18927.5044175587,12212.5485567842,6636.82505161371,20417.4025964707,7237.89746894923,18927.5044175587,7488,"Deschutes River Summer-Fall-run Chinook Salmon"
"24",2018,12863.4043160446,12417.0619184131,7251.16555726492,21067.4883813956,7689.60054358386,19490.1914331838,12863.4043160446,7251.16555726492,21067.4883813956,7689.60054358386,19490.1914331838,8153,"Deschutes River Summer-Fall-run Chinook Salmon"
"25",2019,20922.7159766888,19671.1699684518,11521.9980895771,35826.4835098161,12563.8490693388,33788.5200924458,20922.7159766888,11521.9980895771,35826.4835098161,12563.8490693388,33788.5200924458,35872,"Deschutes River Summer-Fall-run Chinook Salmon"
"26",2020,16979.0905818701,16345.2350829115,9930.01761232166,27487.5166163999,10881.4085706079,25117.9720064852,16979.0905818701,9930.01761232166,27487.5166163999,10881.4085706079,25117.9720064852,14406,"Deschutes River Summer-Fall-run Chinook Salmon"
