"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",15149.6026349627,3965.17805018353,14763.3795599629,8740.80616358517,24256.3371692972,9575.06145460292,22104.1459421754,1,15233,15149.6026349627,8740.80616358517,24256.3371692972,9575.06145460292,22104.1459421754,"Deschutes River Summer-Fall-run Chinook Salmon"
"2",1996,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",14272.4711665211,3426.89598946957,13812.2491300999,8987.84204763271,22226.8948770056,9639.17709289612,20526.0387180145,1,11420,14272.4711665211,8987.84204763271,22226.8948770056,9639.17709289612,20526.0387180145,"Deschutes River Summer-Fall-run Chinook Salmon"
"3",1997,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",17498.8562257977,4194.09457658898,17059.4785379417,10668.708045761,27039.5343444859,11500.8399456633,24995.7177782201,1,21959,17498.8562257977,10668.708045761,27039.5343444859,11500.8399456633,24995.7177782201,"Deschutes River Summer-Fall-run Chinook Salmon"
"4",1998,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",16634.2633846389,3839.55209967085,16231.6485565158,10379.624850106,25166.0029643962,11156.7255619971,23323.2451310013,1,19582,16634.2633846389,10379.624850106,25166.0029643962,11156.7255619971,23323.2451310013,"Deschutes River Summer-Fall-run Chinook Salmon"
"5",1999,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",12965.0427755652,3027.30205527573,12610.9154669305,8067.32137973661,19792.4451233999,8690.85165727558,18385.0767386184,1,10422,12965.0427755652,8067.32137973661,19792.4451233999,8690.85165727558,18385.0767386184,"Deschutes River Summer-Fall-run Chinook Salmon"
"6",2000,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",12061.1834937332,3159.58394717708,11793.7358808173,7097.9361077619,18905.5933377294,7572.3729391549,17627.4986466662,1,7922,12061.1834937332,7097.9361077619,18905.5933377294,7572.3729391549,17627.4986466662,"Deschutes River Summer-Fall-run Chinook Salmon"
"7",2001,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",16390.1913821366,3767.1919336426,15952.7761812746,10223.3549272544,24813.2916347636,11064.7438895754,23191.5694726592,1,21362,16390.1913821366,10223.3549272544,24813.2916347636,11064.7438895754,23191.5694726592,"Deschutes River Summer-Fall-run Chinook Salmon"
"8",2002,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",15767.2048541365,3373.74685599556,15441.5896689575,10180.3708316291,23578.6198090025,10956.1512538171,21787.5682392698,1,15464,15767.2048541365,10180.3708316291,23578.6198090025,10956.1512538171,21787.5682392698,"Deschutes River Summer-Fall-run Chinook Salmon"
"9",2003,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",15879.7439899266,3403.46996614482,15565.6382721415,10227.5342871813,23708.867383051,10981.8194716899,21953.7258330691,1,15968,15879.7439899266,10227.5342871813,23708.867383051,10981.8194716899,21953.7258330691,"Deschutes River Summer-Fall-run Chinook Salmon"
"10",2004,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",15734.274149682,3366.32608639954,15301.6444524956,10229.592877258,23512.1999393377,11010.8982827042,21794.7209408949,1,15498,15734.274149682,10229.592877258,23512.1999393377,11010.8982827042,21794.7209408949,"Deschutes River Summer-Fall-run Chinook Salmon"
"11",2005,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",16145.2769656878,3553.00293191632,15756.1449053478,10250.5445797774,24029.0039386695,11054.0530670222,22303.9121599934,1,18142,16145.2769656878,10250.5445797774,24029.0039386695,11054.0530670222,22303.9121599934,"Deschutes River Summer-Fall-run Chinook Salmon"
"12",2006,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",14048.8657735243,3008.90143432215,13760.463815237,8971.31995222179,20884.7417189939,9669.47222366529,19376.3725194144,1,13001,14048.8657735243,8971.31995222179,20884.7417189939,9669.47222366529,19376.3725194144,"Deschutes River Summer-Fall-run Chinook Salmon"
"13",2007,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",13035.8078335599,2914.65989373672,12752.1090410961,8226.58346976953,19507.7171689438,8917.90206654696,18170.5622534289,1,12229,13035.8078335599,8226.58346976953,19507.7171689438,8917.90206654696,18170.5622534289,"Deschutes River Summer-Fall-run Chinook Salmon"
"14",2008,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",12028.6344356573,2982.71470324147,11630.5306977696,7255.44787028869,18591.1001360491,7799.81757378436,17357.7278242342,1,9729,12028.6344356573,7255.44787028869,18591.1001360491,7799.81757378436,17357.7278242342,"Deschutes River Summer-Fall-run Chinook Salmon"
"15",2009,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",12386.2241121637,3100.12371619385,11994.2187489419,7470.87961285593,19243.9097128066,8084.69025050142,17943.3068242353,1,9891,12386.2241121637,7470.87961285593,19243.9097128066,8084.69025050142,17943.3068242353,"Deschutes River Summer-Fall-run Chinook Salmon"
"16",2010,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",14265.9388996854,3296.6923924103,13940.0857065272,8890.5897338751,21613.2059319837,9517.32640904125,20097.4975613691,1,10970,14265.9388996854,8890.5897338751,21613.2059319837,9517.32640904125,20097.4975613691,"Deschutes River Summer-Fall-run Chinook Salmon"
"17",2011,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",20728.3170213013,5017.29800932553,20170.7503832372,12818.6665529528,32351.4321144309,13774.1091045717,29902.1769096261,1,25809,20728.3170213013,12818.6665529528,32351.4321144309,13774.1091045717,29902.1769096261,"Deschutes River Summer-Fall-run Chinook Salmon"
"18",2012,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",25088.96879327,7356.72383390399,24029.4632427729,14108.8824133398,41401.8780956146,15171.0503913522,39090.5302070411,1,31800,25088.96879327,14108.8824133398,41401.8780956146,15171.0503913522,39090.5302070411,"Deschutes River Summer-Fall-run Chinook Salmon"
"19",2013,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",23248.4072677786,5792.05871255783,22611.3103653187,14069.1968069266,36502.0883220356,15117.8027981497,33668.7485082359,1,25448,23248.4072677786,14069.1968069266,36502.0883220356,15117.8027981497,33668.7485082359,"Deschutes River Summer-Fall-run Chinook Salmon"
"20",2014,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",21679.5600461696,5056.99992968805,21160.7085626175,13551.8950264552,33109.0525388786,14548.3466680442,30551.0114820417,1,22776,21679.5600461696,13551.8950264552,33109.0525388786,14548.3466680442,30551.0114820417,"Deschutes River Summer-Fall-run Chinook Salmon"
"21",2015,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",19872.4248256258,4518.22506160803,19304.4819654881,12630.1655946625,30530.170623836,13596.2169830741,28079.0113924542,1,22466,19872.4248256258,12630.1655946625,30530.170623836,13596.2169830741,28079.0113924542,"Deschutes River Summer-Fall-run Chinook Salmon"
"22",2016,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",16379.8136598608,3517.05208902693,16064.7625528581,10438.7011213493,24256.7541628525,11271.9685212579,22513.1893805305,1,17100,16379.8136598608,10438.7011213493,24256.7541628525,11271.9685212579,22513.1893805305,"Deschutes River Summer-Fall-run Chinook Salmon"
"23",2017,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",12212.5485567842,3702.05957946379,11692.7855522974,6636.82505161371,20417.4025964707,7237.89746894923,18927.5044175587,1,7488,12212.5485567842,6636.82505161371,20417.4025964707,7237.89746894923,18927.5044175587,"Deschutes River Summer-Fall-run Chinook Salmon"
"24",2018,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",12863.4043160446,3677.8230971607,12417.0619184131,7251.16555726492,21067.4883813956,7689.60054358386,19490.1914331838,1,8153,12863.4043160446,7251.16555726492,21067.4883813956,7689.60054358386,19490.1914331838,"Deschutes River Summer-Fall-run Chinook Salmon"
"25",2019,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",20922.7159766888,6402.20324420694,19671.1699684518,11521.9980895771,35826.4835098161,12563.8490693388,33788.5200924458,1,35872,20922.7159766888,11521.9980895771,35826.4835098161,12563.8490693388,33788.5200924458,"Deschutes River Summer-Fall-run Chinook Salmon"
"26",2020,"Deschutes Fall Chinook","Deschutes River Summer-Fall-run Chinook Salmon",16979.0905818701,4474.57404285282,16345.2350829115,9930.01761232166,27487.5166163999,10881.4085706079,25117.9720064852,1,14406,16979.0905818701,9930.01761232166,27487.5166163999,10881.4085706079,25117.9720064852,"Deschutes River Summer-Fall-run Chinook Salmon"
