"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",10254.6184958922,3511.82387073561,9699.69483166642,5023.93985974629,18757.390665518,5643.41376876192,16660.4733111021,0.83,8971,8511.33335159055,4169.87008358942,15568.63425238,4684.03342807239,13828.1928482147,"Hood Canal Summer-run Chum Salmon ESU"
"2",1995,"Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",862.989865574163,303.630948181015,811.053092335473,427.080863459958,1607.26654929195,478.522122800265,1419.46606356495,1,786,862.989865574163,427.080863459958,1607.26654929195,478.522122800265,1419.46606356495,"Hood Canal Summer-run Chum Salmon ESU"
"3",1996,"Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",14152.6644882018,4689.06000025697,13654.1850255718,6568.61409761472,24511.8003753605,7428.50142334475,22497.1396463297,0.87,19707,12312.8181047356,5714.69426492481,21325.2663265636,6462.79623830993,19572.5114923069,"Hood Canal Summer-run Chum Salmon ESU"
"4",1996,"Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",1043.25784009574,324.69121660234,994.051798604767,555.544592970488,1823.6762728819,615.853838778346,1638.95542308611,1,975,1043.25784009574,555.544592970488,1823.6762728819,615.853838778346,1638.95542308611,"Hood Canal Summer-run Chum Salmon ESU"
"5",1997,"Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",8405.32466450132,2496.64996137141,8089.01403268749,4477.06788402468,14245.2770728267,4960.77506750628,12921.7146574066,0.7,8412,5883.72726515092,3133.94751881728,9971.6939509787,3472.54254725439,9045.20026018459,"Hood Canal Summer-run Chum Salmon ESU"
"6",1997,"Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",942.378782664032,281.587350498107,901.753720419348,514.465668909757,1609.68731064294,566.584807964005,1455.78787383689,1,852,942.378782664032,514.465668909757,1609.68731064294,566.584807964005,1455.78787383689,"Hood Canal Summer-run Chum Salmon ESU"
"7",1998,"Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",4941.69685521491,1667.7850276408,4625.71701819784,2620.20841146908,9021.114207335,2877.1532905935,8079.81166381296,0.63,3404,3113.2690187854,1650.73129922552,5683.30195062105,1812.60657307391,5090.28134820217,"Hood Canal Summer-run Chum Salmon ESU"
"8",1998,"Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",955.255832382573,286.773793063728,922.065634509615,501.415463169717,1609.17802695457,552.760550507162,1467.15794613124,1,1148,955.255832382573,501.415463169717,1609.17802695457,552.760550507162,1467.15794613124,"Hood Canal Summer-run Chum Salmon ESU"
"9",1999,"Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",4710.9201152294,1516.6881346723,4447.91092367788,2545.91730538666,8418.08859642251,2798.69587903145,7543.36521512398,0.59,3884,2779.44286798535,1502.09121017813,4966.67227188928,1651.23056862855,4450.58547692315,"Hood Canal Summer-run Chum Salmon ESU"
"10",1999,"Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",717.896911980446,246.720901587725,669.499758473207,380.861085084704,1322.06208949295,416.975674616488,1179.52869414563,0.26,502,186.653197114916,99.023882122023,343.736143268168,108.413675400287,306.677460477863,"Hood Canal Summer-run Chum Salmon ESU"
"11",2000,"Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",7540.23914565776,2237.44633967727,7258.91891972858,4069.23076834646,12776.3778299173,4478.35130956267,11592.2712579097,0.67,7987,5051.9602275907,2726.38461479213,8560.17314604462,3000.49537740699,7766.82174279947,"Hood Canal Summer-run Chum Salmon ESU"
