"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",7774.2555164071,5564.63136995825,7223.13749659261,1995,1999,"Hood Canal Summer-run Chum Salmon ESU"
"2","Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",897.348057673698,685.418144097882,822.436682049437,1995,1999,"Hood Canal Summer-run Chum Salmon ESU"
"3","Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",18024.4716245848,12489.2350300077,18927.6953661086,2000,2004,"Hood Canal Summer-run Chum Salmon ESU"
"4","Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",4250.3008558491,2233.02684260271,4177.54300407895,2000,2004,"Hood Canal Summer-run Chum Salmon ESU"
"5","Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",15417.6042341624,12787.3271483775,13605.1921552006,2005,2009,"Hood Canal Summer-run Chum Salmon ESU"
"6","Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",5662.17854926449,4255.89937212512,5352.620151865,2005,2009,"Hood Canal Summer-run Chum Salmon ESU"
"7","Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",18725.1546502779,17291.4327816693,17418.7769602649,2010,2014,"Hood Canal Summer-run Chum Salmon ESU"
"8","Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",8274.52884029033,6450.97493419374,8230.75497102383,2010,2014,"Hood Canal Summer-run Chum Salmon ESU"
"9","Chum Salmon (Hood Canal Summer-run ESU) - Hood Canal","Hood Canal Summer-run Chum Salmon ESU",24735.0054576824,23940.7349663166,24313.5968922139,2015,2019,"Hood Canal Summer-run Chum Salmon ESU"
"10","Chum Salmon (Hood Canal Summer-run ESU) - Strait of Juan de Fuca","Hood Canal Summer-run Chum Salmon ESU",5021.63426969734,4910.60564451077,4684.00196204261,2015,2019,"Hood Canal Summer-run Chum Salmon ESU"
