"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,6069.04809575753,5245.84896500264,1776.83799810496,15175.3080728484,2131.44656176583,12675.2164314669,NA,NA,NA,NA,NA,4474,"Lake Wenatchee Sockeye"
"2",1996,7041.57919451866,6289.02242854393,2426.72059118926,16014.9095797592,2873.153589462,13670.8423028109,NA,NA,NA,NA,NA,7759,"Lake Wenatchee Sockeye"
"3",1997,7470.02261756709,6771.00780328589,2699.22165568502,16423.9840644827,3161.60787499662,14109.8273835161,NA,NA,NA,NA,NA,9714,"Lake Wenatchee Sockeye"
"4",1998,6331.6513816322,5763.70407362985,2165.97149927297,13853.1838877333,2570.05159316337,11977.7526945089,NA,NA,NA,NA,NA,4204,"Lake Wenatchee Sockeye"
"5",1999,5961.42852363433,5403.93968040944,1379.90475168029,13875.9407121005,1739.625171201,12015.7479383173,NA,NA,NA,NA,NA,1172,"Lake Wenatchee Sockeye"
"6",2000,12129.1206332639,10749.1622528333,4522.02310863487,27383.9941205819,5250.64453039171,23639.1497433124,NA,NA,NA,NA,NA,20930,"Lake Wenatchee Sockeye"
"7",2001,17896.2821382715,15043.8690954514,6060.54973383111,45875.2996107477,7031.89672860782,38106.463248255,NA,NA,NA,NA,NA,32633,"Lake Wenatchee Sockeye"
"8",2002,17572.798434834,15296.4519815443,6440.06427148993,42227.6483634909,7426.98994808071,35430.3342392861,NA,NA,NA,NA,NA,27822,"Lake Wenatchee Sockeye"
"9",2003,13031.0081912329,11858.6543348891,4720.16379834218,28497.8933405915,5508.65286569409,24468.6954139591,NA,NA,NA,NA,NA,5074,"Lake Wenatchee Sockeye"
"10",2004,17811.6053104882,15529.1335656467,6638.90954105967,42047.0077665455,7682.09888745232,35967.552598569,NA,NA,NA,NA,NA,33167,"Lake Wenatchee Sockeye"
"11",2005,14979.7100685678,13612.9578300877,5684.15113713486,32549.2561552849,6654.50131094663,28117.4229731041,NA,NA,NA,NA,NA,14218,"Lake Wenatchee Sockeye"
"12",2006,12551.2189326231,11559.1834398832,4431.08729881353,26648.0817481497,5248.65372857439,23124.2528473448,NA,NA,NA,NA,NA,9658,"Lake Wenatchee Sockeye"
"13",2007,11050.1027063803,10029.5637360902,2890.66659384254,25297.3366998681,3454.2369092291,21952.6024153833,NA,NA,NA,NA,NA,2607,"Lake Wenatchee Sockeye"
"14",2008,18174.858480514,16611.5774799171,6896.3860923846,38850.4401247758,8042.42972642805,33469.581448147,NA,NA,NA,NA,NA,28340,"Lake Wenatchee Sockeye"
"15",2009,20893.5741694293,19025.1105272284,7950.90348601801,45052.1322986869,9329.21619447546,38389.6928213255,NA,NA,NA,NA,NA,16034,"Lake Wenatchee Sockeye"
"16",2010,27814.1711862098,24993.5473976107,10716.7084978636,61575.1698576734,12463.33452605,52525.9008260838,NA,NA,NA,NA,NA,35821,"Lake Wenatchee Sockeye"
"17",2011,29463.0727134039,26567.2173292997,11381.2865758026,63804.056380722,13250.2797423721,54928.8188217113,NA,NA,NA,NA,NA,18634,"Lake Wenatchee Sockeye"
"18",2012,42050.7197898575,36729.6001191292,15622.715139578,98340.1169813858,17885.743036866,83484.2592291249,NA,NA,NA,NA,NA,66520,"Lake Wenatchee Sockeye"
"19",2013,41891.796976619,37107.9691854737,16292.8677076014,94953.2415198578,18571.5695428439,80364.9732273071,NA,NA,NA,NA,NA,29015,"Lake Wenatchee Sockeye"
"20",2014,56042.2287731789,48332.8745733831,19452.0991959159,135715.4572839,22202.3148555567,114877.619419255,NA,NA,NA,NA,NA,99898,"Lake Wenatchee Sockeye"
"21",2015,50339.9988795024,44399.3236662872,18667.4935951532,116902.495528317,21432.3521228588,99022.0982016185,NA,NA,NA,NA,NA,51410,"Lake Wenatchee Sockeye"
"22",2016,47120.392683931,41570.7922538538,17125.6071361464,108589.265669024,19927.8691215065,92088.2130383287,47120.392683931,17125.6071361464,108589.265669024,19927.8691215065,92088.2130383287,73697,"Lake Wenatchee Sockeye"
"23",2017,32244.3874838412,29274.4686644184,11759.1893321813,70085.7322223223,13786.864540695,60369.500121533,32244.3874838412,11759.1893321813,70085.7322223223,13786.864540695,60369.500121533,23854,"Lake Wenatchee Sockeye"
"24",2018,25585.8636942128,22784.7188061977,8044.00007685594,59002.3341779789,9614.50882620261,50597.6021155489,25585.8636942128,8044.00007685594,59002.3341779789,9614.50882620261,50597.6021155489,13960,"Lake Wenatchee Sockeye"
"25",2019,24131.2986119032,20752.4684221735,6697.25586245505,60613.0387170739,7927.95493281062,51267.0388286354,24131.2986119032,6697.25586245505,60613.0387170739,7927.95493281062,51267.0388286354,8877,"Lake Wenatchee Sockeye"
"26",2020,34464.8979338089,29782.5940133099,9708.0868976098,86390.1568483497,11719.6213979381,72336.5107694891,34464.8979338089,9708.0868976098,86390.1568483497,11719.6213979381,72336.5107694891,43391,"Lake Wenatchee Sockeye"
