"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,34542.0950397688,33546.3855623532,22399.5675533526,52547.8841089419,23824.4294396,48461.5889184775,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"2",1996,42788.2113830836,41871.3303114219,29013.6701954363,61784.9690966793,30765.956769944,57963.652888529,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"3",1997,30852.6046435312,30370.3606212104,21645.441195882,42994.0524799548,22848.6827626873,40487.0198585268,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"4",1998,23821.4981529845,23441.9509303159,16820.9935697993,32939.696662721,17764.4886889109,31199.2981290643,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"5",1999,18517.4925950474,18225.9778203301,13250.4729523967,25389.3798511941,13941.9280263816,24057.8098163679,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"6",2000,14691.4284439148,14431.1988826389,10251.0523266246,20619.892717528,10838.7814154717,19473.4083545237,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"7",2001,55973.9164118173,55179.5555340794,40099.8472988629,76624.8615323178,42231.3012790034,72581.3625462952,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"8",2002,84365.1620788765,83200.095590999,61265.628402316,114148.097112253,64408.8821497766,108422.883789493,NA,NA,NA,NA,NA,94156,"Lower Columbia River Chinook Salmon ESU"
"9",2003,104681.232384565,103368.281962913,76265.1993191083,140972.705419043,79995.5820527476,134155.607684472,NA,NA,NA,NA,NA,110911,"Lower Columbia River Chinook Salmon ESU"
"10",2004,75378.9471182384,74415.3889512029,55099.9439807077,101348.488876805,57764.28384295,96294.7084713117,NA,NA,NA,NA,NA,74151,"Lower Columbia River Chinook Salmon ESU"
"11",2005,45957.2001392515,45331.0864797288,33371.6207700403,62156.4691887071,35045.217090109,58950.0057681175,NA,NA,NA,NA,NA,47009,"Lower Columbia River Chinook Salmon ESU"
"12",2006,37946.6148669799,37409.9369476692,27385.5083483692,51507.5602392671,28766.6111695059,48889.932768119,NA,NA,NA,NA,NA,42800,"Lower Columbia River Chinook Salmon ESU"
"13",2007,25102.5037496941,24732.3606841109,17924.1746953497,34434.011105136,18830.448120888,32575.5908494656,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"14",2008,26566.0949325945,26166.3217261832,19061.3993438528,36424.5038993063,20051.1166675451,34467.2465640581,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"15",2009,36784.6971016157,36212.0471480491,26499.0306532587,50336.112193765,27886.0894581929,47628.3102824984,NA,NA,NA,NA,NA,38715,"Lower Columbia River Chinook Salmon ESU"
"16",2010,44811.6741294281,44155.0769525342,32056.9659903518,61411.3256433609,33718.9331914423,58141.5003802662,NA,NA,NA,NA,NA,47653,"Lower Columbia River Chinook Salmon ESU"
"17",2011,50132.7753424174,49312.5417810988,35586.7155628736,69270.0985901495,37533.6966363882,65424.1277625471,NA,NA,NA,NA,NA,49981,"Lower Columbia River Chinook Salmon ESU"
"18",2012,32663.6800094214,32104.1551109588,23108.2154950163,45565.0612342393,24302.5174769947,42910.6586361056,NA,NA,NA,NA,NA,32045,"Lower Columbia River Chinook Salmon ESU"
"19",2013,56775.8430073067,55722.0927852315,39512.1206821769,80119.4730842555,41717.4034349038,75507.5837310535,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"20",2014,55131.2719539406,54005.8404933746,38185.6336643532,78590.1643179448,40286.7522851195,73867.8198100334,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"21",2015,58192.3942876104,57156.58019988,40837.8398062437,81321.9993653061,43129.7806338346,76681.1953599902,NA,NA,NA,NA,NA,60421,"Lower Columbia River Chinook Salmon ESU"
"22",2016,40633.2185743717,39968.340029089,28901.622210519,56192.9680421814,30453.6282256187,53060.3411977591,NA,NA,NA,NA,NA,42540,"Lower Columbia River Chinook Salmon ESU"
"23",2017,31289.8868175397,30743.9046807757,22148.0680353039,43606.5871996163,23316.4404390018,41116.7112304971,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
"24",2018,29531.7532369216,29021.2684459877,20668.3674578774,41155.0280300744,21848.2165415454,38795.9919251626,NA,NA,NA,NA,NA,37545,"Lower Columbia River Chinook Salmon ESU"
"25",2019,48041.1692535558,47259.4991726855,33878.6796449375,67056.3653356028,35680.8458005839,63198.5902437445,NA,NA,NA,NA,NA,46655,"Lower Columbia River Chinook Salmon ESU"
"26",2020,64724.882442949,62980.3074263022,42602.29045672,96492.8914413383,45240.3414273358,89797.2021743272,NA,NA,NA,NA,NA,NA,"Lower Columbia River Chinook Salmon ESU"
