"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Chinook Salmon (Lower Columbia River ESU) - Clatskanie River Fall-run","Lower Columbia River Chinook Salmon ESU",254.273329064151,NA,NA,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"2","Chinook Salmon (Lower Columbia River ESU) - Coweeman River Fall-run","Lower Columbia River Chinook Salmon ESU",830.885893603795,NA,795.693455218513,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"3","Chinook Salmon (Lower Columbia River ESU) - Elochoman River Fall-run","Lower Columbia River Chinook Salmon ESU",697.020376052296,NA,661.385667146813,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"4","Chinook Salmon (Lower Columbia River ESU) - Grays River Fall-run","Lower Columbia River Chinook Salmon ESU",80.5214251503305,NA,80.7908890898725,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"5","Chinook Salmon (Lower Columbia River ESU) - Kalama River Fall-run","Lower Columbia River Chinook Salmon ESU",4254.9614486144,NA,4191.688172293,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"6","Chinook Salmon (Lower Columbia River ESU) - Kalama River Spring-run","Lower Columbia River Chinook Salmon ESU",137.701577502419,NA,127.454385600346,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"7","Chinook Salmon (Lower Columbia River ESU) - Lewis River Bright","Lower Columbia River Chinook Salmon ESU",7544.02194439583,NA,6646.86957791567,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"8","Chinook Salmon (Lower Columbia River ESU) - Lewis River Fall-run","Lower Columbia River Chinook Salmon ESU",1965.13923509236,NA,NA,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"9","Chinook Salmon (Lower Columbia River ESU) - Lower Cowlitz River Fall-run","Lower Columbia River Chinook Salmon ESU",2097.68402718724,NA,1827.00370284591,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"10","Chinook Salmon (Lower Columbia River ESU) - Lower Gorge Tributaries Fall-run","Lower Columbia River Chinook Salmon ESU",1746.1361770597,NA,1821.73828586797,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"11","Chinook Salmon (Lower Columbia River ESU) - Mill Creek Fall-run","Lower Columbia River Chinook Salmon ESU",709.431787429311,NA,601.613892525188,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"12","Chinook Salmon (Lower Columbia River ESU) - North Fork Lewis River Spring-run","Lower Columbia River Chinook Salmon ESU",347.418234759244,NA,308.076667342469,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"13","Chinook Salmon (Lower Columbia River ESU) - Sandy River Bright","Lower Columbia River Chinook Salmon ESU",3087.87739677982,731.826943036817,3439.97889883887,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"14","Chinook Salmon (Lower Columbia River ESU) - Toutle River Fall-run","Lower Columbia River Chinook Salmon ESU",932.44198898419,NA,788.094606689503,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"15","Chinook Salmon (Lower Columbia River ESU) - Upper Cowlitz River Fall-run","Lower Columbia River Chinook Salmon ESU",64.7257073916028,NA,NA,1995,1999,"Lower Columbia River Chinook Salmon ESU"
"16","Chinook Salmon (Lower Columbia River ESU) - Upper Gorge Tributaries Fall-run","Lower Columbia River Chinook Salmon ESU",379.195503277033,NA,NA,1995,1999,"Lower Columbia River Chinook Salmon ESU"
