"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0249595046116563,0.00205000981218434,0.142117262692007,-0.307082641353692,-0.12004376877256,-0.0242115488967527,0.0702184978140219,0.253554528322749,4805.97811072439,1.00112727053911
"mu[2]",-0.0266138066638585,0.0021073865498139,0.127896569877072,-0.27971990489342,-0.111784147535988,-0.0268931825997427,0.058822842147787,0.22438605823485,3683.23463971019,1.00148830191324
"mu[3]",-0.0419030003415391,0.00207039381601204,0.12771640033286,-0.293316476686152,-0.127269206682649,-0.0418006919205335,0.0434494473558424,0.209709148356936,3805.28698229343,1.00174790557596
"mu[4]",0.104962903048513,0.00208449445524096,0.127367432996085,-0.148263890764915,0.0207579643383651,0.105285318622912,0.189899831419556,0.35421095982348,3733.49267418677,1.00145604985649
"mu[5]",0.0016017108918893,0.00211276162718734,0.127362188797794,-0.246919599917395,-0.0838051647040819,0.00189167652604339,0.0868092326444661,0.251856649131718,3633.95903496748,1.00146301060601
"mu[6]",-0.0467318260999938,0.0020967012078263,0.127561678245225,-0.296285017829642,-0.131973707024396,-0.0462958928428608,0.0388330024995196,0.203883883695253,3701.41139751887,1.00150080566263
"mu[7]",0.0286779860429358,0.0021230652160892,0.127719489640444,-0.220347975328452,-0.057094814766515,0.028542745185238,0.114156743775757,0.279880574207483,3618.99246558371,1.00163963866673
"mu[8]",0.032830772586568,0.00209526568195145,0.130695112742619,-0.225974501061265,-0.0540069120293228,0.0329181456416848,0.119912055491529,0.290776010492045,3890.81423255979,1.00150377794147
"mu[9]",0.0414373373687147,0.00212095083548959,0.126949795182088,-0.207292385939881,-0.0434472300251475,0.0415958865180551,0.127501959859244,0.289464060207442,3582.63699371193,1.00156145807549
"mu[10]",0.0496909601221995,0.00210677362839379,0.127487954471359,-0.200674463023233,-0.0354142113956347,0.0503417964282544,0.134336518186471,0.301113632097557,3661.86693713142,1.00151951979888
"mu[11]",-0.0831520678874945,0.00211521406216886,0.127901311680086,-0.334974282548856,-0.168648697876498,-0.0826801815611596,0.00226308023018563,0.168565261619647,3656.29599409238,1.00136354135653
"mu[12]",-0.00515392186106764,0.00207339439342949,0.12699536855963,-0.251161263073317,-0.0905027799916836,-0.00535795513122366,0.0794484993559327,0.244913719288303,3751.56025264882,1.00155365193565
"mu[13]",0.0414201144410862,0.00208126688617422,0.127292818826029,-0.209616579915848,-0.0431324924592914,0.0413714535086816,0.126533268331409,0.290254773794805,3740.69465098563,1.00107283214151
"mu[14]",-0.000820191937741858,0.00213965884159498,0.12813302824862,-0.252848315113675,-0.0863926662549592,-0.00104381814355192,0.0860366787095335,0.248459814428179,3586.18851264735,1.0014965708053
"mu[15]",0.115452405793478,0.00205832668713016,0.128787759136021,-0.13766269326644,0.0287800182903061,0.115079569223345,0.201599965519381,0.368140215688707,3914.89901201019,1.00166731212416
"mu[16]",0.010644497287014,0.00216838500438455,0.130824574684607,-0.246122907327825,-0.0767375426926992,0.0102788904436467,0.097824684143136,0.269020520639932,3640.03762362004,1.00157949264727
"mu[17]",0.00297139396314934,0.0020920938595125,0.126987938719074,-0.243977198076816,-0.0823804384651698,0.00271889649655858,0.0880511782929908,0.254467364350926,3684.36474455482,1.00189410472874
"mu[18]",0.0678876736644183,0.00215694999703663,0.126986871441271,-0.181667099923887,-0.0171198935181656,0.0683702276712494,0.153170198221155,0.316904384226687,3466.07130382416,1.00173728822076
"sigma2_R",0.383759801450616,0.000545666012712998,0.0464835611580825,0.296015734125982,0.352235206287502,0.382394384430696,0.413912100694672,0.479376115142449,7256.7970346619,1.00036420921314
"sigma2_Q",0.423240740529239,0.00105503763617264,0.0967320722477914,0.270652498844458,0.355325979406689,0.411094306236589,0.477032542099087,0.647659679352942,8406.303744593,1.00084896505705
"theta",0.53579309320718,0.00115128317716682,0.100623111243539,0.336439591236441,0.466897729412861,0.536435065047619,0.606349166820352,0.728162080793434,7638.90599478857,1.00029574236624
