"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,26460.1335403776,18723.2570172783,6071.05165719724,84342.6641829864,7191.28382960536,61790.4527375195,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"2",1996,9319.13434655976,7429.04174534045,3470.00633683448,23538.278447467,3894.85381118148,17490.9002812852,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"3",1997,15758.8119914188,13349.9170324244,6939.40000628969,35532.0850784745,7646.17867740634,27600.0185952735,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"4",1998,16298.87345837,14574.5967882098,7490.04723847109,33447.5922341209,8338.47412184161,27991.4372697437,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"5",1999,25425.9264957123,23425.3257677108,11965.7097104759,49282.0693351253,13381.129249817,42738.5329980317,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"6",2000,53672.4609970492,49830.8930348432,26100.0396786588,102444.610156623,28984.658129356,89901.3330466084,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"7",2001,78307.7682764235,73376.8348245898,37913.4412887675,147607.663563984,42154.1722886379,130693.092797138,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"8",2002,59412.8289402859,56281.5727680575,31289.7927523537,105398.107850705,34434.1127166877,94964.7174528741,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"9",2003,57938.7249054744,55181.4832759425,31535.8858627181,100912.420700754,34437.2572353256,90904.5956944069,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"10",2004,50481.5449165499,48243.0604397835,27531.6250547804,86737.2671838217,30057.5574260885,78267.743056457,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"11",2005,37699.8521981323,36040.6150457759,21117.1640811687,63365.4932780075,23042.9090881684,57815.9946449914,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"12",2006,40001.575809845,38276.2360716052,22623.7540281448,67267.6019280022,24602.2229808658,61256.1576425837,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"13",2007,28000.7669179706,26934.5679376679,16539.5768598568,45622.0644441565,17854.2115721516,41777.7130410586,NA,NA,NA,NA,NA,18772,"Lower Columbia River Coho Salmon ESU"
"14",2008,26729.060502556,25732.45291857,15820.1626695895,43381.7733009534,17081.7291782012,39727.8303133946,NA,NA,NA,NA,NA,27308,"Lower Columbia River Coho Salmon ESU"
"15",2009,40664.1317304522,39235.9568382858,24088.9908710765,65806.874687703,26010.7582846877,60198.8242646856,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"16",2010,37774.9594854986,36499.1591351195,22876.824397983,60208.2131475512,24662.9694473685,55324.5069391631,NA,NA,NA,NA,NA,37228,"Lower Columbia River Coho Salmon ESU"
"17",2011,31050.1979605777,30067.0823212972,19059.8884778046,48522.9318353399,20495.4350284553,44841.5912431638,NA,NA,NA,NA,NA,36310,"Lower Columbia River Coho Salmon ESU"
"18",2012,21601.4909741706,20897.501711491,13292.9915800053,33829.8643938593,14286.096364915,31088.6633454891,NA,NA,NA,NA,NA,18321,"Lower Columbia River Coho Salmon ESU"
"19",2013,26571.5306098282,25817.894171397,16601.9134160152,40921.6377360424,17800.2306801243,37947.7121608613,NA,NA,NA,NA,NA,20850,"Lower Columbia River Coho Salmon ESU"
"20",2014,43569.2967517245,42276.1982932661,25833.9908456004,68084.0273950444,28113.1549486888,63220.8123017124,NA,NA,NA,NA,NA,67805,"Lower Columbia River Coho Salmon ESU"
"21",2015,10967.6249167225,10533.0857639147,6571.55336058114,17865.3317140781,7056.62462287239,16361.7278517104,NA,NA,NA,NA,NA,6947,"Lower Columbia River Coho Salmon ESU"
"22",2016,20479.1772611431,19882.7612854586,12785.4877428891,31423.8703464104,13718.0684676035,29181.2108537,NA,NA,NA,NA,NA,21555,"Lower Columbia River Coho Salmon ESU"
"23",2017,24212.7412661012,23499.3264919614,14949.0236543428,37560.7518877364,16060.4615034695,34776.5942126575,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
"24",2018,14574.9093322663,14104.2365149867,8811.91997345416,23025.3887834414,9477.36475510776,21217.077407966,NA,NA,NA,NA,NA,13739,"Lower Columbia River Coho Salmon ESU"
"25",2019,27652.2541952089,26752.755537832,16480.3947872282,43979.2715124644,17857.4394415391,40633.4327426591,NA,NA,NA,NA,NA,23688,"Lower Columbia River Coho Salmon ESU"
"26",2020,34200.9498156757,32670.6117165777,18142.2189141168,59261.0091972633,19935.4316770489,53774.1339709289,NA,NA,NA,NA,NA,NA,"Lower Columbia River Coho Salmon ESU"
