"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",0.0894495091081366,0.00231488450269164,0.140588261800335,-0.192558537344291,-0.00181195476664214,0.0906130491683987,0.181214486587366,0.367928251143195,3688.41235340997,1.00071654572995
"mu[2]",0.0524483345323132,0.00225766998755136,0.130284884780845,-0.209804253565392,-0.0326784034555873,0.054150804394855,0.138849188037007,0.305839995906065,3330.1756967507,1.00089308724558
"mu[3]",0.0570677490776732,0.00231261187716769,0.139776474170869,-0.220204133596042,-0.0344428009558306,0.0574698079435432,0.14831510683379,0.334842902716568,3653.10923839938,1.00074758186759
"mu[4]",-0.0389896214388013,0.00232667766453942,0.143094649026765,-0.319726661861795,-0.133259801778034,-0.0395794838998222,0.0553462461859168,0.246234481707221,3782.46001777519,1.00068062950419
"mu[5]",0.0067999305043381,0.00236096936430343,0.151570944303503,-0.298258754602731,-0.0914267495740567,0.00841560676070707,0.107412953751925,0.300633480346112,4121.46113777916,1.00076432942433
"mu[6]",0.0270611878416959,0.00229516384957675,0.14275344765662,-0.261248533295566,-0.0666406281074138,0.0287984882296734,0.122299113705518,0.305149504068878,3868.52868770069,1.00081672895544
"mu[7]",0.0236078087828104,0.00229328243923856,0.132677314820059,-0.245034728822772,-0.0631363887538006,0.0254087702659762,0.110536449000853,0.283557868019384,3347.17374335772,1.00068329199853
"mu[8]",0.0214174639194806,0.00231331301724731,0.132899390320942,-0.244070266354236,-0.065222981202973,0.0219265978776023,0.108978324823797,0.281881216580959,3300.4805205042,1.00074725898408
"mu[9]",-0.0443229926780627,0.00238882998008812,0.152668516595804,-0.355449142992511,-0.142983398076538,-0.0404147966968536,0.0579003179967814,0.249325446048588,4084.40209102042,1.000750085941
"mu[10]",-0.048171348479195,0.00240705774254237,0.141917262360139,-0.337677126385952,-0.140492037336962,-0.044847661716987,0.0469748435392246,0.223690974034547,3476.14138725881,1.00098244395559
"sigma2_R",0.422644956212326,0.00185663617705308,0.08149347337641,0.273501750857917,0.366552161368501,0.418342913183147,0.474638346423673,0.59399728785511,1926.60214687332,1.00205117920766
"sigma2_Q",0.468187079791106,0.00357958786107927,0.189584912794889,0.18428122892296,0.333621827802174,0.440578895542684,0.570968339837805,0.919821809564152,2805.05572259543,1.00110272657652
"theta",0.723587064501608,0.0035793519538703,0.135893294084972,0.415001871618682,0.640092398771879,0.739834916526814,0.824682078497931,0.940390184657449,1441.40904815227,1.00359522809651
