"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Steelhead (Lower Columbia River DPS) - Clackamas River Winter-run","Lower Columbia River Steelhead DPS",1386.01807380035,344.295181729111,1352.12616087767,812.004455235638,2157.95501671568,888.012287756489,1998.49322586508,0.803,1886,1112.97251326168,652.039577554217,1732.83787842269,713.073867068461,1604.79006036966,"Lower Columbia River Steelhead DPS"
"2",1995,"Steelhead (Lower Columbia River DPS) - Coweeman River Winter-run","Lower Columbia River Steelhead DPS",228.684185727055,147.723706165807,192.573672422598,58.2004511190989,614.962055816788,71.2154387839257,506.652464379711,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"3",1995,"Steelhead (Lower Columbia River DPS) - East Fork Lewis River Summer-run","Lower Columbia River Steelhead DPS",308.71859921868,150.828821140498,277.531482833261,113.728830644438,689.851394027758,131.92494460603,593.348004702741,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"4",1995,"Steelhead (Lower Columbia River DPS) - East Fork Lewis River Winter-run","Lower Columbia River Steelhead DPS",80.3921119641755,23.4233910831349,76.6392721571427,46.2411328614571,137.136879150512,49.8067699788328,123.862805016321,NA,53,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"5",1995,"Steelhead (Lower Columbia River DPS) - Kalama River Summer-run","Lower Columbia River Steelhead DPS",1134.48085618885,278.759981895471,1108.13430459293,671.935603982473,1759.76575051957,729.006619568524,1631.82674460603,NA,1302,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"6",1995,"Steelhead (Lower Columbia River DPS) - Kalama River Winter-run","Lower Columbia River Steelhead DPS",1133.06725055581,270.948060702707,1103.89452893823,690.006740620874,1743.0801959107,743.59022073339,1618.83211269683,NA,1144,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"7",1995,"Steelhead (Lower Columbia River DPS) - North Fork Toutle River Winter-run","Lower Columbia River Steelhead DPS",666.438403513012,2587.28637867293,238.354287887792,14.2912929497158,3870.7321351573,23.077333230958,2450.77550476967,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"8",1995,"Steelhead (Lower Columbia River DPS) - South Fork Toutle River Winter-run","Lower Columbia River Steelhead DPS",371.562706847668,88.4144386683221,361.720193847573,227.983980866923,572.727659381068,246.012065719359,530.267372402307,NA,396,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"9",1995,"Steelhead (Lower Columbia River DPS) - Tilton River Winter-run","Lower Columbia River Steelhead DPS",925.312970131543,901.001025923867,668.239805534924,129.804407504187,3262.08118700338,169.834838662833,2512.04671255083,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"10",1995,"Steelhead (Lower Columbia River DPS) - Upper Cowlitz River Winter-run","Lower Columbia River Steelhead DPS",81.9912535096905,52.3745744732987,69.5178950973592,20.9419098393304,216.607699102973,25.5386117271888,180.316384547632,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"11",1995,"Steelhead (Lower Columbia River DPS) - Upper Gorge Tributaries Winter-run","Lower Columbia River Steelhead DPS",52.5509525660492,64.0036716076573,34.1563657910028,5.43095725947876,211.019823597347,7.37355256823089,154.84604511035,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"12",1995,"Steelhead (Lower Columbia River DPS) - Washougal River Summer-run","Lower Columbia River Steelhead DPS",156.695195930022,37.5778592925674,152.244231698364,95.7643855586762,242.149302118525,103.254989999604,224.664383028257,NA,154,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"13",1995,"Steelhead (Lower Columbia River DPS) - Washougal River Winter-run","Lower Columbia River Steelhead DPS",198.404640994835,50.3430329000373,192.471059060271,117.293143589666,314.015329518163,127.132156458497,289.723768320349,NA,206,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"14",1995,"Steelhead (Lower Columbia River DPS) - Wind River Summer-run","Lower Columbia River Steelhead DPS",604.207613954216,145.567262019816,587.139501625294,368.959152020968,936.61330134229,398.35457586798,866.017228694028,NA,543,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"15",1996,"Steelhead (Lower Columbia River DPS) - Clackamas River Winter-run","Lower Columbia River Steelhead DPS",587.41042594953,134.699031855206,570.240000135312,372.717828624769,896.596076341099,399.269281848044,834.096442335243,0.711,376,417.648812850116,265.00237615221,637.479810278521,283.880459393959,593.042570500357,"Lower Columbia River Steelhead DPS"
"16",1996,"Steelhead (Lower Columbia River DPS) - Coweeman River Winter-run","Lower Columbia River Steelhead DPS",149.448227052601,72.286797450956,134.855976167168,53.6966424099401,331.398801408998,62.2294263025598,286.850992280753,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"17",1996,"Steelhead (Lower Columbia River DPS) - East Fork Lewis River Summer-run","Lower Columbia River Steelhead DPS",197.660176944348,47.5236305472141,192.488625690856,119.577261364551,305.54727889826,129.513777039136,282.337713118323,NA,215,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"18",1996,"Steelhead (Lower Columbia River DPS) - East Fork Lewis River Winter-run","Lower Columbia River Steelhead DPS",102.664648743267,35.5294269603601,97.2191951080457,49.7071845803855,186.959965595022,55.4082276894835,168.485456310419,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"19",1996,"Steelhead (Lower Columbia River DPS) - Kalama River Summer-run","Lower Columbia River Steelhead DPS",594.426502002363,128.568578123567,581.117312744949,381.303669381533,881.690436715038,407.439866331721,824.12608227721,NA,614,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"20",1996,"Steelhead (Lower Columbia River DPS) - Kalama River Winter-run","Lower Columbia River Steelhead DPS",710.222775554938,153.14345828525,694.85417452552,454.789578872219,1054.72835085634,487.797699925055,985.903060546343,NA,806,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"21",1996,"Steelhead (Lower Columbia River DPS) - North Fork Toutle River Winter-run","Lower Columbia River Steelhead DPS",393.003218674876,1270.77625509444,162.330173155043,11.6238283989242,2160.15910404421,18.239002550907,1401.69013457759,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"22",1996,"Steelhead (Lower Columbia River DPS) - South Fork Toutle River Winter-run","Lower Columbia River Steelhead DPS",215.15194481813,49.1482030285467,208.937806279337,136.598936441036,328.202719389475,146.185793983388,305.049024650887,NA,150,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"23",1996,"Steelhead (Lower Columbia River DPS) - Tilton River Winter-run","Lower Columbia River Steelhead DPS",563.018743918678,454.522042389066,441.043676946001,104.412369746283,1721.00020059243,133.76526363725,1383.42172891307,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"24",1996,"Steelhead (Lower Columbia River DPS) - Upper Cowlitz River Winter-run","Lower Columbia River Steelhead DPS",56.3159810286355,27.109173084879,50.8541110094,20.2999441779561,123.532058455894,23.5362197299503,107.621746518738,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"25",1996,"Steelhead (Lower Columbia River DPS) - Upper Gorge Tributaries Winter-run","Lower Columbia River Steelhead DPS",30.6887987902731,31.2986811021876,21.9389241033553,4.25836568192192,110.433419722302,5.55887109185944,83.3797191648663,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"26",1996,"Steelhead (Lower Columbia River DPS) - Washougal River Summer-run","Lower Columbia River Steelhead DPS",109.479253355581,23.7270019449575,106.889960882316,70.5056388382047,163.513611907019,75.4134695654269,152.522929522673,NA,103,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"27",1996,"Steelhead (Lower Columbia River DPS) - Washougal River Winter-run","Lower Columbia River Steelhead DPS",125.983206942093,42.8541168441214,119.197855939925,61.7709847581475,227.015693516933,69.0658976346138,205.363234500926,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"28",1996,"Steelhead (Lower Columbia River DPS) - Wind River Summer-run","Lower Columbia River Steelhead DPS",457.353013352551,98.01303118748,447.066114535618,295.402451566712,679.898567908656,315.848269505786,633.894324470869,NA,466,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"29",1997,"Steelhead (Lower Columbia River DPS) - Clackamas River Winter-run","Lower Columbia River Steelhead DPS",793.913697071871,167.171105643558,778.280693802211,515.308238777552,1165.85115916124,549.863099124779,1090.29703101188,0.539,896,427.919482721739,277.751140701101,628.393774787906,296.376210428256,587.670099715404,"Lower Columbia River Steelhead DPS"
"30",1997,"Steelhead (Lower Columbia River DPS) - Coweeman River Winter-run","Lower Columbia River Steelhead DPS",164.197300090521,41.8714880988288,158.314381162557,99.1254471189031,261.219857299784,106.839398521672,241.311472036233,NA,108,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"31",1997,"Steelhead (Lower Columbia River DPS) - East Fork Lewis River Summer-run","Lower Columbia River Steelhead DPS",194.531468486974,41.3071551390041,190.416304375941,125.866809003701,287.127913474679,134.715279471363,268.40526520467,NA,197,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"32",1997,"Steelhead (Lower Columbia River DPS) - East Fork Lewis River Winter-run","Lower Columbia River Steelhead DPS",210.159963702526,46.4957330814434,205.41615419403,132.720177399446,314.750225530484,142.485672941009,293.104157015435,NA,238,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"33",1997,"Steelhead (Lower Columbia River DPS) - Kalama River Summer-run","Lower Columbia River Steelhead DPS",491.613209969307,104.67045739796,481.368118522268,316.013285325899,724.435323919544,338.137546127801,678.024254012502,NA,602,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"34",1997,"Steelhead (Lower Columbia River DPS) - Kalama River Winter-run","Lower Columbia River Steelhead DPS",596.969703675263,127.159967865154,583.063063148398,386.945580948941,882.654612044923,415.443004440903,826.786773794656,NA,507,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"35",1997,"Steelhead (Lower Columbia River DPS) - North Fork Toutle River Winter-run","Lower Columbia River Steelhead DPS",393.081414742014,831.354110125355,183.346242561648,16.156307052785,2015.30371177943,24.1475570130566,1360.84567687528,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"36",1997,"Steelhead (Lower Columbia River DPS) - South Fork Toutle River Winter-run","Lower Columbia River Steelhead DPS",343.430218296001,71.93942768936,336.53418445489,222.755561881974,503.374179954932,238.194678138442,473.077657928988,NA,388,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"37",1997,"Steelhead (Lower Columbia River DPS) - Tilton River Winter-run","Lower Columbia River Steelhead DPS",579.788001792831,373.253050808196,490.95626196866,153.118750948721,1523.77052219637,185.15679231456,1271.76996205178,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"38",1997,"Steelhead (Lower Columbia River DPS) - Upper Cowlitz River Winter-run","Lower Columbia River Steelhead DPS",64.9012103933779,16.5366976960682,62.497660772904,39.4375546793798,104.15342369882,42.4027744153619,95.1136963307903,NA,54,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"39",1997,"Steelhead (Lower Columbia River DPS) - Upper Gorge Tributaries Winter-run","Lower Columbia River Steelhead DPS",30.2690187466497,25.3514881387712,23.4481972032011,5.77318079779035,95.2938527060144,7.29690427781952,75.4640014700213,NA,NA,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"40",1997,"Steelhead (Lower Columbia River DPS) - Washougal River Summer-run","Lower Columbia River Steelhead DPS",136.539840396694,28.6560374269207,133.858157398526,88.3416991799725,200.197975344626,94.5139941117988,187.751743408322,NA,148,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"41",1997,"Steelhead (Lower Columbia River DPS) - Washougal River Winter-run","Lower Columbia River Steelhead DPS",127.689749391416,29.125767614842,124.153639587855,80.6870465434227,194.728842655242,86.8763382257205,181.488791095949,NA,92,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
"42",1997,"Steelhead (Lower Columbia River DPS) - Wind River Summer-run","Lower Columbia River Steelhead DPS",554.678274746285,119.990872382208,543.148569697051,352.35261718019,820.943191937067,378.409797313103,768.174400359848,NA,734,NA,NA,NA,NA,NA,"Lower Columbia River Steelhead DPS"
