"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Steelhead (Lower Columbia River DPS) - Clackamas River Winter-run","Total",1995,2020,0.0523381405535175,0.011312804534708,"Lower Columbia River Steelhead DPS"
"2","Steelhead (Lower Columbia River DPS) - Clackamas River Winter-run","Natural",1995,2020,0.0726771672660318,0.0122565456056929,"Lower Columbia River Steelhead DPS"
"3","Steelhead (Lower Columbia River DPS) - Coweeman River Winter-run","Total",1995,2020,0.0317780448538068,0.00905733606235058,"Lower Columbia River Steelhead DPS"
"4","Steelhead (Lower Columbia River DPS) - East Fork Lewis River Summer-run","Total",1995,2020,0.0506663142432001,0.011554031555895,"Lower Columbia River Steelhead DPS"
"5","Steelhead (Lower Columbia River DPS) - East Fork Lewis River Winter-run","Total",1995,2020,0.0474604489178733,0.0113351623688015,"Lower Columbia River Steelhead DPS"
"6","Steelhead (Lower Columbia River DPS) - Kalama River Summer-run","Total",1995,2020,0.00879640579233024,0.0113160726349512,"Lower Columbia River Steelhead DPS"
"7","Steelhead (Lower Columbia River DPS) - Kalama River Winter-run","Total",1995,2020,-0.0202346022933596,0.0128838460724474,"Lower Columbia River Steelhead DPS"
"8","Steelhead (Lower Columbia River DPS) - North Fork Toutle River Winter-run","Total",1995,2020,-0.0159446204172367,0.00986999584546703,"Lower Columbia River Steelhead DPS"
"9","Steelhead (Lower Columbia River DPS) - South Fork Toutle River Winter-run","Total",1995,2020,0.00528072094503479,0.0135996173466195,"Lower Columbia River Steelhead DPS"
"10","Steelhead (Lower Columbia River DPS) - Tilton River Winter-run","Total",1995,2020,-0.0496582931927208,0.0110557247268628,"Lower Columbia River Steelhead DPS"
"11","Steelhead (Lower Columbia River DPS) - Tilton River Winter-run","Natural",1995,2020,-0.0525841847886764,0.0239949717062548,"Lower Columbia River Steelhead DPS"
"12","Steelhead (Lower Columbia River DPS) - Upper Cowlitz River Winter-run","Total",1995,2020,0.0428180910251754,0.0267429855180401,"Lower Columbia River Steelhead DPS"
"13","Steelhead (Lower Columbia River DPS) - Upper Cowlitz River Winter-run","Natural",1995,2020,0.0244888067587619,0.122781877669194,"Lower Columbia River Steelhead DPS"
"14","Steelhead (Lower Columbia River DPS) - Upper Gorge Tributaries Winter-run","Total",1995,2020,-0.064095445630133,0.0073496795793106,"Lower Columbia River Steelhead DPS"
"15","Steelhead (Lower Columbia River DPS) - Washougal River Summer-run","Total",1995,2020,0.0687194746994229,0.0123697984914599,"Lower Columbia River Steelhead DPS"
"16","Steelhead (Lower Columbia River DPS) - Washougal River Winter-run","Total",1995,2020,0.0287123239044581,0.0131252627201848,"Lower Columbia River Steelhead DPS"
"17","Steelhead (Lower Columbia River DPS) - Wind River Summer-run","Total",1995,2020,0.00919375525619396,0.00975043042335296,"Lower Columbia River Steelhead DPS"
"18","Steelhead (Lower Columbia River DPS) - Wind River Summer-run","Natural",1995,2020,-0.00589567114817237,0.013248362484747,"Lower Columbia River Steelhead DPS"
