"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,9291.43208847456,8622.16735997959,6778.58908525714,16011.4885871515,7019.66175603346,13405.1036764324,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"2",1996,9829.58219837731,9253.14564277347,7370.45855193385,15979.7069066998,7616.80379877641,13714.6923253848,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"3",1997,11275.9794710715,10724.4913114407,8587.85439344072,17483.1037532875,8881.13465301634,15344.0777450864,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"4",1998,11614.7495699492,11158.1409252668,8959.14029782525,17165.1871314413,9256.31736840347,15310.5929830883,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"5",1999,13615.8801015395,13215.7763186826,10658.4835578959,19086.1293755889,11015.4803395189,17432.9278305901,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"6",2000,20852.5085746356,20380.069871186,16436.8227372067,28109.2885015044,16974.1871135054,26098.6468923608,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"7",2001,29545.9366633201,29014.8377607551,23418.4184405533,38897.3367896837,24189.6562454625,36466.1110522521,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"8",2002,41994.6295537162,41385.5159348843,33562.7945062807,53966.9759305688,34687.8653261277,51208.9321338086,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"9",2003,25150.8488271867,24888.353288391,20384.9929519897,31521.64533652,21023.8702155966,30100.0063510384,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"10",2004,17819.8432748007,17676.1309265382,14578.2727967256,21923.123107034,15030.9162927774,21100.07823728,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"11",2005,15263.6967693602,15169.3273149566,12612.4560005159,18472.1499066478,12994.9997383905,17861.8273729817,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"12",2006,11673.9674716861,11625.0400673787,9818.84791467222,13805.3175181794,10095.0058659569,13417.3639635562,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"13",2007,14595.4303685971,14541.6545542955,12306.2771582791,17200.0166412845,12637.5913660734,16732.2381711155,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"14",2008,15799.5757717131,15725.2615987417,13280.6863863183,18690.9841619837,13646.2390662048,18185.0844415465,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"15",2009,21828.3090597896,21749.2235027867,18349.6418166807,25773.70847728,18839.4047481033,25063.441336361,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"16",2010,26484.6972252905,26384.8485399728,22470.1494266308,31064.0219887455,23063.2869421483,30259.6883468727,NA,NA,NA,NA,NA,26502,"Middle Columbia River Steelhead DPS"
"17",2011,30129.6539979079,30019.7979079687,25497.3580302962,35381.6705985561,26160.4852496923,34470.5861722373,28192.2817784286,23857.2105735733,33086.3924935983,24483.709140081,32243.4483614657,30306,"Middle Columbia River Steelhead DPS"
"18",2012,31479.755108526,31365.9130401608,26594.7572520501,37026.1313483397,27297.3314026287,36049.6922868477,29414.9151343176,24847.4060041864,34601.5898426346,25510.7699532636,33677.4214818411,33338,"Middle Columbia River Steelhead DPS"
"19",2013,23023.1298209479,22943.7581762012,19407.3365804536,27084.1317419741,19956.2054290974,26362.5439642615,21666.8580182076,18263.0890848225,25512.7797139368,18777.5901006774,24822.7896541363,22813,"Middle Columbia River Steelhead DPS"
"20",2014,23469.3195234245,23374.8461698931,19749.77811841,27755.2745593402,20287.9055559776,26971.1178724046,22729.9451738561,19124.3644819077,26888.9380824394,19648.6801488512,26120.5041155635,25802,"Middle Columbia River Steelhead DPS"
"21",2015,26198.987324512,26099.9529907995,22078.727451236,30961.3330455927,22680.2225863054,30109.423955017,25293.0089171735,21324.1727814184,29866.6522950738,21900.6322390265,29030.7069775686,27229,"Middle Columbia River Steelhead DPS"
"22",2016,18808.6948601362,18737.5692856844,15825.6378706201,22211.1971854715,16274.1787047662,21623.5705023516,17961.4690308242,15131.4236725712,21189.4133380989,15559.004959568,20615.421060491,19611,"Middle Columbia River Steelhead DPS"
"23",2017,9139.41376403045,9100.9283127066,7668.37108173851,10827.7925022572,7896.11591646871,10514.4023690269,8652.73100843161,7266.88759290725,10248.2344648408,7479.01546138496,9949.66241384169,9017,"Middle Columbia River Steelhead DPS"
"24",2018,10238.5371289988,10195.216323972,8603.49372271881,12074.32059902,8853.32416441605,11748.1304148898,9748.19544604567,8186.2783741268,11509.2060496791,8422.16475336418,11194.0312050006,11097,"Middle Columbia River Steelhead DPS"
"25",2019,10236.9030511609,10165.8350581296,8150.79951407386,12722.9687101769,8450.29858277606,12276.2676432466,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
"26",2020,10796.0601499921,10639.4592680445,7821.54266230969,14701.3996263576,8206.90817289525,13927.8954505391,NA,NA,NA,NA,NA,NA,"Middle Columbia River Steelhead DPS"
