"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Steelhead (Middle Columbia River DPS) - Deschutes River - eastside","Middle Columbia River Steelhead DPS",1573.54748812602,757.555390292231,1439.53656041917,1995,1999,"Middle Columbia River Steelhead DPS"
"2","Steelhead (Middle Columbia River DPS) - Deschutes River - westside","Middle Columbia River Steelhead DPS",347.942504757082,230.762519859164,341.494494465385,1995,1999,"Middle Columbia River Steelhead DPS"
"3","Steelhead (Middle Columbia River DPS) - Fifteenmile Creek Winter-run","Middle Columbia River Steelhead DPS",400.373698901029,NA,395.5352314306,1995,1999,"Middle Columbia River Steelhead DPS"
"4","Steelhead (Middle Columbia River DPS) - John Day River Lower Mainstem Tributaries","Middle Columbia River Steelhead DPS",1164.47115506718,1108.39632814639,1016.8856492042,1995,1999,"Middle Columbia River Steelhead DPS"
"5","Steelhead (Middle Columbia River DPS) - John Day River Upper Mainstem","Middle Columbia River Steelhead DPS",368.718811852741,350.963246618589,367.551955361269,1995,1999,"Middle Columbia River Steelhead DPS"
"6","Steelhead (Middle Columbia River DPS) - Klickitat River","Middle Columbia River Steelhead DPS",1670.98778201671,NA,NA,1995,1999,"Middle Columbia River Steelhead DPS"
"7","Steelhead (Middle Columbia River DPS) - Middle Fork John Day River","Middle Columbia River Steelhead DPS",567.576330171822,540.244829223748,572.290240819788,1995,1999,"Middle Columbia River Steelhead DPS"
"8","Steelhead (Middle Columbia River DPS) - Naches River","Middle Columbia River Steelhead DPS",301.968753733229,267.676980572669,293.734752822076,1995,1999,"Middle Columbia River Steelhead DPS"
"9","Steelhead (Middle Columbia River DPS) - North Fork John Day River","Middle Columbia River Steelhead DPS",1220.99029455639,1162.19380213896,1200.00172887201,1995,1999,"Middle Columbia River Steelhead DPS"
"10","Steelhead (Middle Columbia River DPS) - Rock Creek","Middle Columbia River Steelhead DPS",73.0536242444593,NA,NA,1995,1999,"Middle Columbia River Steelhead DPS"
"11","Steelhead (Middle Columbia River DPS) - Satus Creek","Middle Columbia River Steelhead DPS",298.30040386322,263.947355623562,300.325700308668,1995,1999,"Middle Columbia River Steelhead DPS"
"12","Steelhead (Middle Columbia River DPS) - South Fork John Day River","Middle Columbia River Steelhead DPS",153.180476508768,145.804107699205,141.814228597361,1995,1999,"Middle Columbia River Steelhead DPS"
"13","Steelhead (Middle Columbia River DPS) - Toppenish Creek","Middle Columbia River Steelhead DPS",169.101021061528,149.179337607789,152.691451481043,1995,1999,"Middle Columbia River Steelhead DPS"
"14","Steelhead (Middle Columbia River DPS) - Touchet River","Middle Columbia River Steelhead DPS",364.809069027849,315.807071544122,396.042292658861,1995,1999,"Middle Columbia River Steelhead DPS"
"15","Steelhead (Middle Columbia River DPS) - Umatilla River","Middle Columbia River Steelhead DPS",1695.62957333314,942.273160618827,1663.78873090146,1995,1999,"Middle Columbia River Steelhead DPS"
"16","Steelhead (Middle Columbia River DPS) - Walla Walla River","Middle Columbia River Steelhead DPS",540.684660717411,534.181147740197,521.8898694693,1995,1999,"Middle Columbia River Steelhead DPS"
"17","Steelhead (Middle Columbia River DPS) - Yakima River upper mainstem","Middle Columbia River Steelhead DPS",50.2696320885758,49.4443738631317,49.5538519730465,1995,1999,"Middle Columbia River Steelhead DPS"
