"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,4313.0554214113,3519.36820351721,1672.00882608271,11781.770101698,1866.96612370583,9012.54391292672,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"2",1996,3681.28607042322,3176.61990044564,1644.77556477689,8649.9191115732,1817.33730968092,6983.39993074708,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"3",1997,3331.61973160182,2982.26762201365,1594.73680059766,7021.43796008283,1753.07935905995,5932.34402308072,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"4",1998,4160.4634941917,3869.5147735442,2159.39423922323,7881.25939179434,2353.13266075535,6897.03845730114,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"5",1999,5027.56554870606,4724.00331937296,2568.94734444239,9233.39047733073,2820.31257795875,8240.21823096948,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"6",2000,3044.61034039884,2925.91134545155,1765.65025104298,5036.30964801479,1915.57350047072,4597.10574039221,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"7",2001,2186.45874545294,2131.08714033712,1399.93744901002,3295.14328180908,1498.0752626168,3058.88798576433,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"8",2002,1744.95523316344,1713.25665016498,1211.38221564419,2454.85752603915,1280.36808243296,2313.58401927557,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"9",2003,1662.72536100084,1631.98706261677,1146.39092007323,2354.37900924474,1211.71883814277,2219.60874228138,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"10",2004,2202.45943399337,2150.47864533345,1472.77118845245,3225.30450756306,1565.11306590478,3015.93077797517,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"11",2005,2231.48414962319,2179.96131052992,1500.74505727797,3274.38552834108,1591.16544948526,3045.14090837548,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
"12",2006,1749.99835936968,1714.3544221495,1192.10648682273,2502.08091268598,1264.20403463448,2352.58270335907,NA,NA,NA,NA,NA,1711,"Northern California steelhead"
"13",2007,2432.29335018782,2384.96652199349,1637.81819214955,3519.45560461769,1736.6232365301,3302.13597369487,NA,NA,NA,NA,NA,3224,"Northern California steelhead"
"14",2008,1966.7179301609,1923.58552474775,1313.52307748785,2866.63943834569,1396.89150211846,2680.19419278145,NA,NA,NA,NA,NA,2005,"Northern California steelhead"
"15",2009,955.436975760643,929.759340363576,617.151898878582,1437.85426785472,659.224961211514,1337.73647109459,NA,NA,NA,NA,NA,907,"Northern California steelhead"
"16",2010,1408.34628261061,1376.81258449069,938.43762363813,2045.41901661281,1000.57203823021,1920.68175911084,NA,NA,NA,NA,NA,1648,"Northern California steelhead"
"17",2011,1710.86243327722,1671.82564084603,1139.71080628785,2509.59523255649,1211.51497815185,2349.83492052464,NA,NA,NA,NA,NA,1598,"Northern California steelhead"
"18",2012,2241.07005126071,2191.42873748232,1491.62598006735,3282.39406699434,1584.40503386961,3063.37031538663,NA,NA,NA,NA,NA,2409,"Northern California steelhead"
"19",2013,2496.4660410342,2438.057975057,1670.72092017272,3642.44349957915,1774.84302107725,3406.47158421423,NA,NA,NA,NA,NA,2646,"Northern California steelhead"
"20",2014,2145.34355108848,2099.13673176578,1443.58766061995,3095.23721207727,1531.94132435561,2908.27558669592,NA,NA,NA,NA,NA,2243,"Northern California steelhead"
"21",2015,1496.04837028295,1464.26968417077,1003.4490160656,2165.67266257632,1066.461874049,2032.257655825,NA,NA,NA,NA,NA,1624,"Northern California steelhead"
"22",2016,1177.79152153591,1153.14029968109,793.377613413604,1705.22169980965,842.66043252153,1600.17920175277,NA,NA,NA,NA,NA,1164,"Northern California steelhead"
"23",2017,1188.09767971796,1163.49568456073,802.021014918627,1720.0068004677,850.348102281526,1607.31446674465,NA,NA,NA,NA,NA,1152,"Northern California steelhead"
"24",2018,2042.32134701351,1996.33314175605,1363.55386355736,2980.2680882159,1450.86548209547,2788.85967528838,NA,NA,NA,NA,NA,2091,"Northern California steelhead"
"25",2019,1781.61690101573,1743.75793992563,1191.22548554873,2594.67496608386,1271.38677458016,2425.61364304978,NA,NA,NA,NA,NA,1812,"Northern California steelhead"
"26",2020,1814.94282838142,1752.23896012575,1115.1295709158,2883.42995976473,1194.78757563488,2646.5405571849,NA,NA,NA,NA,NA,NA,"Northern California steelhead"
