"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","casparcrk","Northern California steelhead",271.393968097644,NA,NA,1995,1999,"Northern California steelhead"
"2","freshwtrcrk","Northern California steelhead",279.828489231074,NA,NA,1995,1999,"Northern California steelhead"
"3","littleriv","Northern California steelhead",90.6977449926956,NA,NA,1995,1999,"Northern California steelhead"
"4","mattoleriv","Northern California steelhead",137.544758231363,NA,NA,1995,1999,"Northern California steelhead"
"5","mfeelriv","Northern California steelhead",686.313993138456,NA,640.649007490378,1995,1999,"Northern California steelhead"
"6","noyoriv","Northern California steelhead",432.03612855145,NA,NA,1995,1999,"Northern California steelhead"
"7","puddingcrk","Northern California steelhead",484.769064241892,NA,NA,1995,1999,"Northern California steelhead"
"8","redwoodcrk","Northern California steelhead",3.91841907643439,NA,3.59443181873802,1995,1999,"Northern California steelhead"
"9","sfnoyoriv","Northern California steelhead",82.8905386204594,NA,NA,1995,1999,"Northern California steelhead"
"10","vanarsdale","Northern California steelhead",1445.1031223587,160.011627305356,1480.10006123095,1995,1999,"Northern California steelhead"
"11","casparcrk","Northern California steelhead",99.1735023415144,NA,NA,2000,2004,"Northern California steelhead"
"12","freshwtrcrk","Northern California steelhead",192.544055358436,NA,NA,2000,2004,"Northern California steelhead"
"13","littleriv","Northern California steelhead",29.1299637425561,NA,NA,2000,2004,"Northern California steelhead"
"14","mattoleriv","Northern California steelhead",37.64914846937,NA,NA,2000,2004,"Northern California steelhead"
"15","mfeelriv","Northern California steelhead",522.899512939379,NA,481.657781670522,2000,2004,"Northern California steelhead"
"16","noyoriv","Northern California steelhead",328.594410049585,NA,NA,2000,2004,"Northern California steelhead"
"17","puddingcrk","Northern California steelhead",192.402167875731,NA,NA,2000,2004,"Northern California steelhead"
"18","redwoodcrk","Northern California steelhead",5.05342678297912,NA,NA,2000,2004,"Northern California steelhead"
"19","sfnoyoriv","Northern California steelhead",73.3287531572652,NA,70.2346478254251,2000,2004,"Northern California steelhead"
"20","vanarsdale","Northern California steelhead",508.079089473082,224.056501718829,393.64174467852,2000,2004,"Northern California steelhead"
"21","casparcrk","Northern California steelhead",34.4147303312928,NA,27.3044269428214,2005,2009,"Northern California steelhead"
"22","freshwtrcrk","Northern California steelhead",179.907271013193,NA,173.852196975618,2005,2009,"Northern California steelhead"
"23","littleriv","Northern California steelhead",14.2923710191652,NA,12.9130421030442,2005,2009,"Northern California steelhead"
"24","mattoleriv","Northern California steelhead",23.940809854309,NA,23.5366150300167,2005,2009,"Northern California steelhead"
"25","mfeelriv","Northern California steelhead",644.364762428979,NA,600.334938737334,2005,2009,"Northern California steelhead"
"26","noyoriv","Northern California steelhead",279.048926452904,NA,NA,2005,2009,"Northern California steelhead"
"27","puddingcrk","Northern California steelhead",77.3177914377842,NA,71.0986714270747,2005,2009,"Northern California steelhead"
"28","redwoodcrk","Northern California steelhead",11.7487405163205,NA,13.9492322633919,2005,2009,"Northern California steelhead"
"29","sfnoyoriv","Northern California steelhead",57.8437769962644,NA,46.57652630359,2005,2009,"Northern California steelhead"
"30","vanarsdale","Northern California steelhead",424.448551397136,288.00117745758,452.616672193085,2005,2009,"Northern California steelhead"
"31","casparcrk","Northern California steelhead",29.190042176922,NA,30.6181033836114,2010,2014,"Northern California steelhead"
"32","freshwtrcrk","Northern California steelhead",126.066788680701,NA,110.474870770927,2010,2014,"Northern California steelhead"
"33","littleriv","Northern California steelhead",11.1741800675821,NA,10.0514674859083,2010,2014,"Northern California steelhead"
"34","mattoleriv","Northern California steelhead",29.2175135897143,NA,27.9559842818158,2010,2014,"Northern California steelhead"
"35","mfeelriv","Northern California steelhead",787.396236887795,NA,795.790043311963,2010,2014,"Northern California steelhead"
"36","noyoriv","Northern California steelhead",436.318756842708,NA,442.012921727837,2010,2014,"Northern California steelhead"
"37","puddingcrk","Northern California steelhead",35.6296239901395,NA,34.0181747854577,2010,2014,"Northern California steelhead"
"38","redwoodcrk","Northern California steelhead",8.13671541328688,NA,7.37650305827012,2010,2014,"Northern California steelhead"
"39","sfnoyoriv","Northern California steelhead",69.44710205487,NA,78.5022514650549,2010,2014,"Northern California steelhead"
"40","vanarsdale","Northern California steelhead",419.722828147808,419.638849984191,421.302236565656,2010,2014,"Northern California steelhead"
"41","casparcrk","Northern California steelhead",26.1369118509217,NA,21.7095259665037,2015,2019,"Northern California steelhead"
"42","freshwtrcrk","Northern California steelhead",164.344876153406,NA,159.208773162554,2015,2019,"Northern California steelhead"
"43","littleriv","Northern California steelhead",8.62060903622598,NA,9.25385672311914,2015,2019,"Northern California steelhead"
"44","mattoleriv","Northern California steelhead",17.1160097779522,NA,14.9865318857415,2015,2019,"Northern California steelhead"
"45","mfeelriv","Northern California steelhead",417.39847196233,NA,399.284659000767,2015,2019,"Northern California steelhead"
"46","noyoriv","Northern California steelhead",543.754870675299,NA,551.798502881674,2015,2019,"Northern California steelhead"
"47","puddingcrk","Northern California steelhead",41.9580119003415,NA,35.4546081062344,2015,2019,"Northern California steelhead"
"48","redwoodcrk","Northern California steelhead",4.4774683178697,NA,4.04282321707986,2015,2019,"Northern California steelhead"
"49","sfnoyoriv","Northern California steelhead",63.9846307211047,NA,61.3382934524628,2015,2019,"Northern California steelhead"
"50","vanarsdale","Northern California steelhead",192.390394655714,192.390394655714,163.35831140214,2015,2019,"Northern California steelhead"
