"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","casparcrk","Total",1995,2020,-0.103117777605454,0.0148107441416664,"Northern California steelhead"
"2","freshwtrcrk","Total",1995,2020,-0.0222024120135035,0.0098405037390852,"Northern California steelhead"
"3","littleriv","Total",1995,2020,-0.106952707060945,0.012743953464506,"Northern California steelhead"
"4","mattoleriv","Total",1995,2020,-0.0852065717106263,0.0113717197038953,"Northern California steelhead"
"5","mfeelriv","Total",1995,2020,-0.0148416056527576,0.00785028595585268,"Northern California steelhead"
"6","noyoriv","Total",1995,2020,0.0187676640139686,0.00863402681644531,"Northern California steelhead"
"7","puddingcrk","Total",1995,2020,-0.114331809388825,0.0169777007494824,"Northern California steelhead"
"8","redwoodcrk","Total",1995,2020,0.0103305758713782,0.0127242345182413,"Northern California steelhead"
"9","sfnoyoriv","Total",1995,2020,-0.00851955504466656,0.00915457815600444,"Northern California steelhead"
"10","vanarsdale","Total",1995,2020,-0.078011463992009,0.013695256058401,"Northern California steelhead"
"11","vanarsdale","Natural",1995,2020,0.0210086682977414,0.0124219507875086,"Northern California steelhead"
