"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0416404528043371,0.00127923477533867,0.121062222503043,-0.280436859835872,-0.120918697060229,-0.0421393832853951,0.0379268367766873,0.196790034587725,8956.05539721852,1.0005743601425
"mu[2]",0.0135915545112278,0.00124939071091207,0.118839322843505,-0.219402087396758,-0.0651290647840811,0.0120668145789196,0.0916570121115869,0.249040283809484,9047.40000028382,1.00025206671267
"mu[3]",-0.0731833516747141,0.0013153860037273,0.121925684168101,-0.315972741828096,-0.153255727672716,-0.0730221930562297,0.00785407970481092,0.16510280307424,8591.7962530889,1.00045323686877
"mu[4]",-0.0530111594870446,0.00129483221781175,0.131784354610423,-0.315427095354746,-0.1388117469495,-0.0522484053032025,0.0345629550810998,0.204379855832621,10358.5916818637,1.00044580684014
"mu[5]",-0.0419025207910919,0.00121461475480647,0.108579949488665,-0.259153424557831,-0.113091174212927,-0.0414038230701454,0.0298562946851678,0.17048795728829,7991.38705042513,1.00079034010257
"mu[6]",0.0356011981127365,0.00127223605752048,0.11744236737662,-0.197632497651153,-0.0412284891055347,0.0364180797100019,0.111984041948697,0.267088173451598,8521.46361324246,1.00069630517806
"mu[7]",-0.0464946170972612,0.00128822440713352,0.121346919683203,-0.288992631664956,-0.126234665338991,-0.0466075299380936,0.033166932038339,0.193593260162305,8873.08141984206,1.0008325461457
"mu[8]",-0.00422898117739905,0.00122060934459834,0.109462639832996,-0.223392685120739,-0.0754913785929107,-0.00370235765279829,0.0678726441303614,0.210267578872223,8042.26638326729,1.00064542259146
"mu[9]",0.00774305938762411,0.00126644876772174,0.116658291618447,-0.223123279779589,-0.0686941691951004,0.00681720156385829,0.0844017277496219,0.23691268672012,8485.08061625813,1.00092968619687
"mu[10]",-0.0589048670310035,0.00121268760968381,0.109818078667382,-0.273926617210288,-0.130845879552308,-0.059950880480361,0.0128816338346708,0.161726413778773,8200.67879599174,1.00057678481967
"sigma2_R",0.300079462796605,0.000842623126477179,0.0584545582097227,0.192692536936087,0.259710991735847,0.297336757373657,0.337499343734377,0.423401522685799,4812.49194960907,1.00150754322036
"sigma2_Q",0.295830763065248,0.00150333875905113,0.0956336001816023,0.144410654239809,0.227917451937809,0.283867076403852,0.350275282702549,0.514399600478033,4046.7586298684,1.00188704158433
"theta",0.458832275115453,0.00197673657450508,0.142333448425693,0.188678032652646,0.357082124979256,0.45738128822959,0.559509650709427,0.731806698977416,5184.61303295036,1.00074073320305
