"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1,1156221.40743365,1137970.36981608,703619.80688031,1754327.34186142,767297.921804187,1612068.66863796,1156221.40743365,703619.80688031,1754327.34186142,767297.921804187,1612068.66863796,1223511,"Odd-year Pink"
"2",2,289713.567287398,281487.703610585,204903.668734454,424596.988606357,217061.992147711,388979.490041299,289713.567287398,204903.668734454,424596.988606357,217061.992147711,388979.490041299,268419,"Odd-year Pink"
"3",3,778161.12608916,772558.458909673,522179.050337746,1085058.98636014,562964.543749158,1014048.94964679,778161.12608916,522179.050337746,1085058.98636014,562964.543749158,1014048.94964679,806249,"Odd-year Pink"
"4",4,3138462.31482746,3061234.28730997,2191259.41857576,4509853.48592777,2340846.15880863,4184227.88876793,3138462.31482746,2191259.41857576,4509853.48592777,2340846.15880863,4184227.88876793,2935893,"Odd-year Pink"
"5",5,2290615.88748705,2259680.19787802,1499034.14457146,3310103.06617701,1617275.54248787,3065296.00759698,2290615.88748705,1499034.14457146,3310103.06617701,1617275.54248787,3065296.00759698,2368126,"Odd-year Pink"
"6",6,1128904.58850146,1115146.24881204,753503.611153816,1604576.30172675,811016.470337669,1495948.80552581,1128904.58850146,753503.611153816,1604576.30172675,811016.470337669,1495948.80552581,1152573,"Odd-year Pink"
"7",7,2382116.8097018,2343121.16011644,1615317.52115037,3382999.52893876,1736236.58232867,3149293.17169704,2382116.8097018,1615317.52115037,3382999.52893876,1736236.58232867,3149293.17169704,2334279,"Odd-year Pink"
"8",8,4846621.21291351,4872362.87047171,3142909.10016229,6558375.14128807,3426641.21438817,6198220.94969843,4846621.21291351,3142909.10016229,6558375.14128807,3426641.21438817,6198220.94969843,5236509,"Odd-year Pink"
"9",9,1951681.09316586,1937707.85050417,1338331.12899939,2678270.55405897,1436347.36295748,2511538.61026743,1951681.09316586,1338331.12899939,2678270.55405897,1436347.36295748,2511538.61026743,2007378,"Odd-year Pink"
"10",10,4422147.2695265,4322411.47560458,3197187.33059781,6229674.97992027,3386624.39391232,5779421.73441482,4422147.2695265,3197187.33059781,6229674.97992027,3386624.39391232,5779421.73441482,4267204,"Odd-year Pink"
"11",11,3528429.86840355,3238051.44735284,2137950.1861375,6704781.21516728,2253303.72100337,5770852.68558751,NA,NA,NA,NA,NA,NA,"Odd-year Pink"
"12",12,348947.844541575,338086.95338092,257447.966179458,502057.602608751,270349.670969731,463151.941516286,348947.844541575,257447.966179458,502057.602608751,270349.670969731,463151.941516286,319254,"Odd-year Pink"
"13",13,1539611.04777577,1521490.73232566,1004350.31433311,2201001.8400537,1090427.87620647,2050589.59421494,NA,NA,NA,NA,NA,NA,"Odd-year Pink"
