"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1,"Dosewallips Pink-","Odd-year Pink",17193.8950853777,5655.10686669444,16838.592004656,7592.33307986496,29821.7789812662,8871.42245641898,26861.1884543849,1,19034,17193.8950853777,7592.33307986496,29821.7789812662,8871.42245641898,26861.1884543849,"Odd-year Pink"
"2",1,"Duckabush Pink-","Odd-year Pink",7197.78489841456,2450.99278302051,6811.02680199966,3556.7737199807,13213.6168934253,4051.28741910355,11639.6707885083,1,6659,7197.78489841456,3556.7737199807,13213.6168934253,4051.28741910355,11639.6707885083,"Odd-year Pink"
"3",1,"Hamma Hamma Pink-","Odd-year Pink",6188.30817049597,2176.46767680007,5803.14487535529,3078.00440968131,11548.3193895375,3477.88647665948,10163.9789337625,1,5593,6188.30817049597,3078.00440968131,11548.3193895375,3477.88647665948,10163.9789337625,"Odd-year Pink"
"4",1,"Lower Dungeness Pink-","Odd-year Pink",547.832400231831,187.837637632082,518.667401208745,272.19289298585,1014.53771509062,309.861345610415,887.87886999939,1,515,547.832400231831,272.19289298585,1014.53771509062,309.861345610415,887.87886999939,"Odd-year Pink"
"5",1,"Puyallup Pink-","Odd-year Pink",16145.0230423263,5262.71625871329,15725.8628363846,7332.98419699998,28097.3892878315,8524.80348069286,25318.6588488107,1,17569,16145.0230423263,7332.98419699998,28097.3892878315,8524.80348069286,25318.6588488107,"Odd-year Pink"
"6",1,"Skagit Pink-","Odd-year Pink",753099.730869711,250036.489421118,738325.242309566,330258.483737259,1309088.75011841,384653.702628261,1178740.23635444,1,856804,753099.730869711,330258.483737259,1309088.75011841,384653.702628261,1178740.23635444,"Odd-year Pink"
"7",1,"Snohomish Odd-Year Pink-","Odd-year Pink",120257.217227326,45194.0701115571,110991.252576088,60745.6363703614,234516.309654459,68359.2666504702,201477.590005213,1,101600,120257.217227326,60745.6363703614,234516.309654459,68359.2666504702,201477.590005213,"Odd-year Pink"
"8",1,"Stillaguamish Pink-","Odd-year Pink",227014.821845843,80163.8240649585,213449.393167539,112888.425641541,426223.88568347,127458.226546125,372203.871983027,1,208000,227014.821845843,112888.425641541,426223.88568347,127458.226546125,372203.871983027,"Odd-year Pink"
"9",1,"Upper Dungeness Pink-","Odd-year Pink",8576.79389392002,3005.27426100366,8051.76167012102,4327.57205975081,16044.4698322154,4887.95214402956,13989.8885497413,1,7737,8576.79389392002,4327.57205975081,16044.4698322154,4887.95214402956,13989.8885497413,"Odd-year Pink"
"10",2,"Dosewallips Pink-","Odd-year Pink",2275.67990387648,779.155202242988,2124.00659739292,1210.64547261524,4216.65337656386,1344.666420343,3702.19183443439,1,1954,2275.67990387648,1210.64547261524,4216.65337656386,1344.666420343,3702.19183443439,"Odd-year Pink"
