"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Dosewallips Pink-","Odd-year Pink",6255.22193972002,6255.22193972002,6098.56015793892,1,2,"Odd-year Pink"
"2","Duckabush Pink-","Odd-year Pink",4807.94257398069,4807.94257398069,4741.39051334099,1,2,"Odd-year Pink"
"3","Hamma Hamma Pink-","Odd-year Pink",4308.2486686707,4308.2486686707,4074.99901840479,1,2,"Odd-year Pink"
"4","Lower Dungeness Pink-","Odd-year Pink",358.561646739424,358.561646739424,324.923067817599,1,2,"Odd-year Pink"
"5","Puyallup Pink-","Odd-year Pink",7028.43230606384,7028.43230606384,6928.09555361356,1,2,"Odd-year Pink"
"6","Skagit Pink-","Odd-year Pink",248692.151207859,248692.151207859,226575.083502136,1,2,"Odd-year Pink"
"7","Snohomish Odd-Year Pink-","Odd-year Pink",108839.368568258,108839.368568258,102563.927381902,1,2,"Odd-year Pink"
"8","Stillaguamish Pink-","Odd-year Pink",145129.572918679,145129.572918679,136058.81081356,1,2,"Odd-year Pink"
"9","Upper Dungeness Pink-","Odd-year Pink",6227.6828487799,6227.6828487799,6049.46361258583,1,2,"Odd-year Pink"
"10","Dosewallips Pink-","Odd-year Pink",8538.08778571805,8538.08778571805,7652.97491175817,3,4,"Odd-year Pink"
"11","Duckabush Pink-","Odd-year Pink",10547.7882433058,10547.7882433058,10172.8960478322,3,4,"Odd-year Pink"
"12","Hamma Hamma Pink-","Odd-year Pink",16735.6527273303,16735.6527273303,17430.4067651905,3,4,"Odd-year Pink"
"13","Lower Dungeness Pink-","Odd-year Pink",3143.25061604958,3143.25061604958,3253.43387822774,3,4,"Odd-year Pink"
"14","Puyallup Pink-","Odd-year Pink",11417.04833125,11417.04833125,8643.95013868082,3,4,"Odd-year Pink"
"15","Skagit Pink-","Odd-year Pink",532487.563270996,532487.563270996,535358.88408618,3,4,"Odd-year Pink"
"16","Snohomish Odd-Year Pink-","Odd-year Pink",542162.727984837,542162.727984837,504430.01004401,3,4,"Odd-year Pink"
"17","Stillaguamish Pink-","Odd-year Pink",407475.498352468,407475.498352468,416330.637834882,3,4,"Odd-year Pink"
"18","Upper Dungeness Pink-","Odd-year Pink",20688.7867714851,20688.7867714851,20973.2496289917,3,4,"Odd-year Pink"
"19","Dosewallips Pink-","Odd-year Pink",16271.4582537928,16271.4582537928,16497.1691510998,5,6,"Odd-year Pink"
"20","Duckabush Pink-","Odd-year Pink",2988.02323809966,2988.02323809966,2538.91472877685,5,6,"Odd-year Pink"
"21","Hamma Hamma Pink-","Odd-year Pink",4101.01449621613,4101.01449621613,3627.4831495129,5,6,"Odd-year Pink"
"22","Lower Dungeness Pink-","Odd-year Pink",4162.71146786495,4162.71146786495,4016.43872105626,5,6,"Odd-year Pink"
"23","Puyallup Pink-","Odd-year Pink",246935.234950697,246935.234950697,283132.205868566,5,6,"Odd-year Pink"
"24","Skagit Pink-","Odd-year Pink",208923.559535459,208923.559535459,184458.125329301,5,6,"Odd-year Pink"
"25","Snohomish Odd-Year Pink-","Odd-year Pink",830927.14659555,830927.14659555,819487.007316163,5,6,"Odd-year Pink"
"26","Stillaguamish Pink-","Odd-year Pink",166205.025408861,166205.025408861,147274.356219948,5,6,"Odd-year Pink"
"27","Upper Dungeness Pink-","Odd-year Pink",7425.15048794215,7425.15048794215,6897.634377089,5,6,"Odd-year Pink"
"28","Dosewallips Pink-","Odd-year Pink",11642.9786124413,11642.9786124413,10388.4529647104,7,8,"Odd-year Pink"
"29","Duckabush Pink-","Odd-year Pink",4066.14275698577,4066.14275698577,3914.11101017843,7,8,"Odd-year Pink"
