"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Dosewallips Pink-","Total",1,13,0.134185177171643,0.0673078507803104,"Odd-year Pink"
"2","Dosewallips Pink-","Natural",1,13,0.134185177171643,0.0673078507803104,"Odd-year Pink"
"3","Duckabush Pink-","Total",1,13,0.153833602849841,0.098328651333787,"Odd-year Pink"
"4","Duckabush Pink-","Natural",1,13,0.153833602849841,0.098328651333787,"Odd-year Pink"
"5","Hamma Hamma Pink-","Total",1,13,0.127563338661302,0.101314672737707,"Odd-year Pink"
"6","Hamma Hamma Pink-","Natural",1,13,0.127563338661302,0.101314672737707,"Odd-year Pink"
"7","Lower Dungeness Pink-","Total",1,13,0.382465604677216,0.0834981537973052,"Odd-year Pink"
"8","Lower Dungeness Pink-","Natural",1,13,0.382465604677216,0.0834981537973052,"Odd-year Pink"
"9","Puyallup Pink-","Total",1,13,0.395228911578417,0.106172400725436,"Odd-year Pink"
"10","Puyallup Pink-","Natural",1,13,0.395228911578417,0.106172400725436,"Odd-year Pink"
"11","Skagit Pink-","Total",1,13,0.0298766921943686,0.0751389936910496,"Odd-year Pink"
"12","Skagit Pink-","Natural",1,13,0.00041098715557179,0.0771527587029641,"Odd-year Pink"
"13","Snohomish Odd-Year Pink-","Total",1,13,0.0583689496844774,0.0839118249442143,"Odd-year Pink"
"14","Snohomish Odd-Year Pink-","Natural",1,13,0.0583689496844774,0.0839118249442143,"Odd-year Pink"
"15","Stillaguamish Pink-","Total",1,13,-0.0998608192505357,0.0675797761939955,"Odd-year Pink"
"16","Stillaguamish Pink-","Natural",1,13,-0.0882995121834834,0.0795704729202777,"Odd-year Pink"
"17","Upper Dungeness Pink-","Total",1,13,0.17907120719975,0.092388022440548,"Odd-year Pink"
"18","Upper Dungeness Pink-","Natural",1,13,0.17907120719975,0.092388022440548,"Odd-year Pink"
