"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,9250.27279516649,7986.06996196739,2716.99225498788,23153.4434413452,3272.57631795912,19348.8203899963,9250.27279516649,2716.99225498788,23153.4434413452,3272.57631795912,19348.8203899963,4892,"Okanogan River Sockeye"
"2",1996,13485.9485906342,12197.492741894,4879.00262466244,29677.4184648124,5716.62905966286,25549.9682476885,13485.9485906342,4879.00262466244,29677.4184648124,5716.62905966286,25549.9682476885,17701,"Okanogan River Sockeye"
"3",1997,15964.6749821132,14464.7303439251,6033.13991351507,34502.6171075251,7033.65190191966,29816.6259512627,15964.6749821132,6033.13991351507,34502.6171075251,7033.65190191966,29816.6259512627,24621,"Okanogan River Sockeye"
"4",1998,13206.8041269015,12066.5171242325,4461.91535667008,28883.1055048814,5199.93475568553,25136.4263874674,13206.8041269015,4461.91535667008,28883.1055048814,5199.93475568553,25136.4263874674,4666,"Okanogan River Sockeye"
"5",1999,18595.686102783,17085.387895369,7170.39321331844,39062.658436075,8400.2247637006,33696.7464169762,18595.686102783,7170.39321331844,39062.658436075,8400.2247637006,33696.7464169762,12388,"Okanogan River Sockeye"
"6",2000,32809.5753352395,28895.628268452,12606.0113752131,75967.5307276615,14363.0305758368,64586.2864406028,32809.5753352395,12606.0113752131,75967.5307276615,14363.0305758368,64586.2864406028,59944,"Okanogan River Sockeye"
"7",2001,38766.6961778796,33686.5837964974,14611.3548343047,93120.1490393135,16858.6184171361,79445.7853674142,38766.6961778796,14611.3548343047,93120.1490393135,16858.6184171361,79445.7853674142,74486,"Okanogan River Sockeye"
"8",2002,28004.5315230904,25849.9557907915,9925.24489142609,59750.3636062642,11528.3937255618,51653.1497967285,28004.5315230904,9925.24489142609,59750.3636062642,11528.3937255618,51653.1497967285,10659,"Okanogan River Sockeye"
"9",2003,35982.6784874723,33079.2818458494,14519.6857705252,74984.6468761753,16845.4896259577,64517.3885916931,35982.6784874723,14519.6857705252,74984.6468761753,16845.4896259577,64517.3885916931,29374,"Okanogan River Sockeye"
"10",2004,50502.6643698656,45678.1159867701,20075.9148684703,108599.612647351,23248.9760739083,93137.0795673138,50502.6643698656,20075.9148684703,108599.612647351,23248.9760739083,93137.0795673138,78053,"Okanogan River Sockeye"
"11",2005,50371.6104792962,46377.6211445646,20233.602541308,105099.817554363,23343.5916781253,91114.79227624,50371.6104792962,20233.602541308,105099.817554363,23343.5916781253,91114.79227624,55559,"Okanogan River Sockeye"
"12",2006,44719.1546243675,41168.2619976028,15653.1817468927,95967.5558025758,18431.4868334845,83514.7095635849,44719.1546243675,15653.1817468927,95967.5558025758,18431.4868334845,83514.7095635849,22075,"Okanogan River Sockeye"
"13",2007,54107.4588271753,49842.0087540587,18825.3756397174,115714.97975987,21854.1868609163,100688.516908318,54107.4588271753,18825.3756397174,115714.97975987,21854.1868609163,100688.516908318,22273,"Okanogan River Sockeye"
"14",2008,101916.117135749,91661.5929657802,40331.3071218547,223068.172471281,46533.7157768726,190572.637203211,101916.117135749,40331.3071218547,223068.172471281,46533.7157768726,190572.637203211,165334,"Okanogan River Sockeye"
"15",2009,133093.077555774,119501.752189277,52598.628104155,294193.589766705,60052.9147361129,251711.376355462,133093.077555774,52598.628104155,294193.589766705,60052.9147361129,251711.376355462,134937,"Okanogan River Sockeye"
"16",2010,179453.439621722,157800.328529803,66367.3540810143,414142.824505453,75659.0354755588,353163.982755845,179453.439621722,66367.3540810143,414142.824505453,75659.0354755588,353163.982755845,291764,"Okanogan River Sockeye"
"17",2011,166736.467673445,149962.177183995,67594.5102409473,359473.160846793,77186.1467223824,309684.340220176,166736.467673445,67594.5102409473,359473.160846793,77186.1467223824,309684.340220176,111508,"Okanogan River Sockeye"
"18",2012,213917.415331518,191184.627926393,81845.5662602578,483839.906849784,92959.2287116962,412450.366299122,213917.415331518,81845.5662602578,483839.906849784,92959.2287116962,412450.366299122,326107,"Okanogan River Sockeye"
"19",2013,196567.209526819,176635.129692596,79159.844178636,428455.942075139,91009.3864503573,368849.013109891,196567.209526819,79159.844178636,428455.942075139,91009.3864503573,368849.013109891,129993,"Okanogan River Sockeye"
"20",2014,258487.507098762,222568.337586743,93846.9329538696,651784.418123459,106692.721498426,539127.184282145,258487.507098762,93846.9329538696,651784.418123459,106692.721498426,539127.184282145,490804,"Okanogan River Sockeye"
"21",2015,200915.432816992,181698.992343765,81619.0042783073,437100.766277806,93427.5355807952,373758.534942253,200915.432816992,81619.0042783073,437100.766277806,93427.5355807952,373758.534942253,187055,"Okanogan River Sockeye"
"22",2016,172171.475895161,158516.720143634,68038.5154427313,361303.271623259,78976.9141721208,312252.989528684,172171.475895161,68038.5154427313,361303.271623259,78976.9141721208,312252.989528684,216036,"Okanogan River Sockeye"
"23",2017,120194.437935744,108134.633814498,38459.8652917978,269883.199321635,45710.8900113664,234352.043708628,120194.437935744,38459.8652917978,269883.199321635,45710.8900113664,234352.043708628,42299,"Okanogan River Sockeye"
"24",2018,137366.303118974,124205.628384161,50172.0865610572,298073.150025027,58764.7898258215,259664.328173559,137366.303118974,50172.0865610572,298073.150025027,58764.7898258215,259664.328173559,153637,"Okanogan River Sockeye"
"25",2019,129149.198644882,112651.640115811,39604.1504439643,311227.942961381,45654.0108185577,267519.572904584,129149.198644882,39604.1504439643,311227.942961381,45654.0108185577,267519.572904584,49862,"Okanogan River Sockeye"
"26",2020,189568.997993802,166818.289264802,56984.4961548789,457753.302632292,67972.2159579101,383655.339407603,189568.997993802,56984.4961548789,457753.302632292,67972.2159579101,383655.339407603,226107,"Okanogan River Sockeye"
