"","year","population","group","Mean","SD","Median","X.025","X.975","X.05","X.95","FRACWILD","obs_spawners","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","ESU"
"1",1995,"Okanogan Sockeye-","Okanogan River Sockeye",9250.27279516649,5564.42166747495,7986.06996196739,2716.99225498788,23153.4434413452,3272.57631795912,19348.8203899963,1,4892,9250.27279516649,2716.99225498788,23153.4434413452,3272.57631795912,19348.8203899963,"Okanogan River Sockeye"
"2",1996,"Okanogan Sockeye-","Okanogan River Sockeye",13485.9485906342,6566.21337106513,12197.492741894,4879.00262466244,29677.4184648124,5716.62905966286,25549.9682476885,1,17701,13485.9485906342,4879.00262466244,29677.4184648124,5716.62905966286,25549.9682476885,"Okanogan River Sockeye"
"3",1997,"Okanogan Sockeye-","Okanogan River Sockeye",15964.6749821132,7590.21391303914,14464.7303439251,6033.13991351507,34502.6171075251,7033.65190191966,29816.6259512627,1,24621,15964.6749821132,6033.13991351507,34502.6171075251,7033.65190191966,29816.6259512627,"Okanogan River Sockeye"
"4",1998,"Okanogan Sockeye-","Okanogan River Sockeye",13206.8041269015,6479.18141125061,12066.5171242325,4461.91535667008,28883.1055048814,5199.93475568553,25136.4263874674,1,4666,13206.8041269015,4461.91535667008,28883.1055048814,5199.93475568553,25136.4263874674,"Okanogan River Sockeye"
"5",1999,"Okanogan Sockeye-","Okanogan River Sockeye",18595.686102783,8311.69478895502,17085.387895369,7170.39321331844,39062.658436075,8400.2247637006,33696.7464169762,1,12388,18595.686102783,7170.39321331844,39062.658436075,8400.2247637006,33696.7464169762,"Okanogan River Sockeye"
"6",2000,"Okanogan Sockeye-","Okanogan River Sockeye",32809.5753352395,16832.8742900845,28895.628268452,12606.0113752131,75967.5307276615,14363.0305758368,64586.2864406028,1,59944,32809.5753352395,12606.0113752131,75967.5307276615,14363.0305758368,64586.2864406028,"Okanogan River Sockeye"
"7",2001,"Okanogan Sockeye-","Okanogan River Sockeye",38766.6961778796,20439.2986872892,33686.5837964974,14611.3548343047,93120.1490393135,16858.6184171361,79445.7853674142,1,74486,38766.6961778796,14611.3548343047,93120.1490393135,16858.6184171361,79445.7853674142,"Okanogan River Sockeye"
"8",2002,"Okanogan Sockeye-","Okanogan River Sockeye",28004.5315230904,13083.3352153161,25849.9557907915,9925.24489142609,59750.3636062642,11528.3937255618,51653.1497967285,1,10659,28004.5315230904,9925.24489142609,59750.3636062642,11528.3937255618,51653.1497967285,"Okanogan River Sockeye"
"9",2003,"Okanogan Sockeye-","Okanogan River Sockeye",35982.6784874723,15703.2668260763,33079.2818458494,14519.6857705252,74984.6468761753,16845.4896259577,64517.3885916931,1,29374,35982.6784874723,14519.6857705252,74984.6468761753,16845.4896259577,64517.3885916931,"Okanogan River Sockeye"
"10",2004,"Okanogan Sockeye-","Okanogan River Sockeye",50502.6643698656,23554.429938635,45678.1159867701,20075.9148684703,108599.612647351,23248.9760739083,93137.0795673138,1,78053,50502.6643698656,20075.9148684703,108599.612647351,23248.9760739083,93137.0795673138,"Okanogan River Sockeye"
"11",2005,"Okanogan Sockeye-","Okanogan River Sockeye",50371.6104792962,22106.3511763763,46377.6211445646,20233.602541308,105099.817554363,23343.5916781253,91114.79227624,1,55559,50371.6104792962,20233.602541308,105099.817554363,23343.5916781253,91114.79227624,"Okanogan River Sockeye"
"12",2006,"Okanogan Sockeye-","Okanogan River Sockeye",44719.1546243675,21053.8198732291,41168.2619976028,15653.1817468927,95967.5558025758,18431.4868334845,83514.7095635849,1,22075,44719.1546243675,15653.1817468927,95967.5558025758,18431.4868334845,83514.7095635849,"Okanogan River Sockeye"
