"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,22444.3948982867,22219.6593892347,16916.4914683584,29303.3145600879,17688.0154786223,27992.439191522,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Coho"
"2",1996,19439.4070185906,19273.565270929,14816.4957639647,25024.0365972272,15454.6122473621,23979.7934641695,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Coho"
"3",1997,11415.1855594681,11312.8720214084,8817.02493753478,14579.9665434303,9182.5695967572,13973.7175579045,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Coho"
"4",1998,38633.5026779061,38317.099940853,30169.0911759112,48757.6933450712,31449.6512499626,46918.2994699428,NA,NA,NA,NA,NA,38494,"Olympic Peninsula Coho"
"5",1999,28079.5543764845,27859.5991908193,22062.9333155581,35384.0196121585,22878.5261150861,33993.1798004318,NA,NA,NA,NA,NA,26825,"Olympic Peninsula Coho"
"6",2000,48519.6155991723,48151.7570111382,38371.7772483691,60715.3028117196,39815.405406266,58489.2488243275,NA,NA,NA,NA,NA,46333,"Olympic Peninsula Coho"
"7",2001,81908.5867802734,81277.2840654869,64660.7188810569,102659.891542269,67103.3511239927,98680.744446165,NA,NA,NA,NA,NA,85624,"Olympic Peninsula Coho"
"8",2002,63346.5885875311,62874.9051659689,50023.7788996837,79273.5206582581,51860.8556346843,76279.4644013347,NA,NA,NA,NA,NA,65013,"Olympic Peninsula Coho"
"9",2003,54657.6277478183,54303.9529517481,43469.1160828311,67940.1713434691,45027.6137296591,65611.4373972292,NA,NA,NA,NA,NA,56636,"Olympic Peninsula Coho"
"10",2004,43323.1341431303,43009.4829181414,34126.1741438768,54238.1337051795,35426.1492956383,52242.5528529993,NA,NA,NA,NA,NA,42997,"Olympic Peninsula Coho"
"11",2005,30062.2764316225,29825.3499378556,23409.5896428738,38038.0134634815,24403.8697036003,36547.3865392825,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Coho"
"12",2006,12476.138360262,12376.3577569133,9803.55962771031,15719.1498421242,10172.7464450073,15095.3699420118,NA,NA,NA,NA,NA,11969,"Olympic Peninsula Coho"
"13",2007,16840.537785924,16724.5562895761,13159.7553101404,21169.7507146312,13675.9209175289,20390.3056450888,NA,NA,NA,NA,NA,18962,"Olympic Peninsula Coho"
"14",2008,16718.7771065886,16589.2449920805,13103.676881189,21091.4522778662,13605.0602462568,20273.7791902949,NA,NA,NA,NA,NA,21185,"Olympic Peninsula Coho"
"15",2009,36036.5815381803,35774.7311383664,28275.981331853,45246.140169704,29373.3371736634,43520.9204771844,NA,NA,NA,NA,NA,35286,"Olympic Peninsula Coho"
"16",2010,42629.2017093447,42260.0649051435,32825.531842304,54632.5320425888,34170.169024621,52406.097289357,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Coho"
"17",2011,29658.6853442555,29447.8992743373,23345.5292457558,37283.6937011568,24206.4396214253,35852.4352434697,NA,NA,NA,NA,NA,31681,"Olympic Peninsula Coho"
"18",2012,22449.070831326,22284.766141692,17644.2298114169,28182.0961747193,18342.9916138213,27128.7186871242,NA,NA,NA,NA,NA,20750,"Olympic Peninsula Coho"
"19",2013,22959.0319401464,22779.8709724864,18115.0706659369,28730.6215961428,18812.9640408736,27654.9490445555,NA,NA,NA,NA,NA,22741,"Olympic Peninsula Coho"
"20",2014,24944.5178289668,24768.0356043235,19573.838880127,31354.3222178262,20328.0323836923,30182.516450425,NA,NA,NA,NA,NA,26885,"Olympic Peninsula Coho"
"21",2015,10833.587716407,10750.3743984261,8537.41554992156,13584.5351433861,8866.31633438028,13089.0613310142,NA,NA,NA,NA,NA,9929,"Olympic Peninsula Coho"
"22",2016,25152.7050079266,24985.5171483198,19879.2801764535,31394.5685457716,20621.3264078113,30252.1830023834,NA,NA,NA,NA,NA,27467,"Olympic Peninsula Coho"
"23",2017,21201.8303303623,21040.4182397993,16825.8708958821,26488.2264391808,17453.2904675659,25487.7596128952,NA,NA,NA,NA,NA,21791,"Olympic Peninsula Coho"
"24",2018,15471.915089365,15370.0995533122,12255.0115238262,19297.6384163532,12711.4027162965,18608.321057196,NA,NA,NA,NA,NA,15480,"Olympic Peninsula Coho"
"25",2019,15043.4370855199,14936.7363810451,11861.964772205,18859.8931126845,12323.9149193776,18161.9165379512,NA,NA,NA,NA,NA,14965,"Olympic Peninsula Coho"
"26",2020,22891.4533729752,22704.0724516614,17884.1849222577,28935.1225009628,18584.826162277,27821.1285844763,NA,NA,NA,NA,NA,22472,"Olympic Peninsula Coho"
