"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Bogachiel Fall Coho-","Olympic Peninsula Coho",1474.82120298228,1474.82120298228,1527.2285620845,1995,1999,"Olympic Peninsula Coho"
"2","Calawah Fall Coho-","Olympic Peninsula Coho",1254.56614833537,1254.56614833537,1266.49047576017,1995,1999,"Olympic Peninsula Coho"
"3","Clallam Coho-","Olympic Peninsula Coho",387.633807095913,387.633807095913,342.386354067232,1995,1999,"Olympic Peninsula Coho"
"4","Clearwater Coho-","Olympic Peninsula Coho",1617.91620797886,1617.91620797886,1530.58091897147,1995,1999,"Olympic Peninsula Coho"
"5","Dickey Fall Coho-","Olympic Peninsula Coho",1986.86664551264,1986.86664551264,1983.31247452729,1995,1999,"Olympic Peninsula Coho"
"6","Hoh Coho-","Olympic Peninsula Coho",3693.31496072221,3693.31496072221,3645.28652381607,1995,1999,"Olympic Peninsula Coho"
"7","Hoko Coho-","Olympic Peninsula Coho",770.243768236771,770.243768236771,697.387473031241,1995,1999,"Olympic Peninsula Coho"
"8","Lyre Coho-","Olympic Peninsula Coho",185.4477900506,290.00548851998,NA,1995,1999,"Olympic Peninsula Coho"
"9","Pysht/Twin/Deep Creek Coho-","Olympic Peninsula Coho",835.740563654322,835.740563654322,750.840891349943,1995,1999,"Olympic Peninsula Coho"
"10","Queets Coho-","Olympic Peninsula Coho",2080.04839120829,2080.04839120829,1935.50152845513,1995,1999,"Olympic Peninsula Coho"
"11","Salmon River Coho-","Olympic Peninsula Coho",2233.26371104559,2233.26371104559,2140.7596538894,1995,1999,"Olympic Peninsula Coho"
"12","Salt Creek Coho-","Olympic Peninsula Coho",242.361025020898,242.361025020898,222.557530580739,1995,1999,"Olympic Peninsula Coho"
"13","Sekiu/Sail Coho-","Olympic Peninsula Coho",181.826998168411,181.826998168411,164.405464639617,1995,1999,"Olympic Peninsula Coho"
"14","Sol Duc Fall Coho-","Olympic Peninsula Coho",4274.57243999287,NA,4364.76922285289,1995,1999,"Olympic Peninsula Coho"
"15","Sol Duc Summer Coho-","Olympic Peninsula Coho",598.751187005956,NA,603.618993110267,1995,1999,"Olympic Peninsula Coho"
"16","Bogachiel Fall Coho-","Olympic Peninsula Coho",2439.55516437104,2439.55516437104,2103.94268925892,2000,2004,"Olympic Peninsula Coho"
"17","Calawah Fall Coho-","Olympic Peninsula Coho",3001.80719295634,3001.80719295634,2589.62428982853,2000,2004,"Olympic Peninsula Coho"
"18","Clallam Coho-","Olympic Peninsula Coho",2462.0161331604,2462.0161331604,3042.52655752503,2000,2004,"Olympic Peninsula Coho"
"19","Clearwater Coho-","Olympic Peninsula Coho",4464.01052669458,4464.01052669458,4095.93172944664,2000,2004,"Olympic Peninsula Coho"
"20","Dickey Fall Coho-","Olympic Peninsula Coho",3640.43750437695,3640.43750437695,3142.70954336863,2000,2004,"Olympic Peninsula Coho"
"21","Hoh Coho-","Olympic Peninsula Coho",7953.22211826072,7953.22211826072,7202.7380684579,2000,2004,"Olympic Peninsula Coho"
"22","Hoko Coho-","Olympic Peninsula Coho",3536.34228816305,3536.34228816305,3955.37234868066,2000,2004,"Olympic Peninsula Coho"
"23","Lyre Coho-","Olympic Peninsula Coho",418.291459124876,418.291459124876,416.610790559713,2000,2004,"Olympic Peninsula Coho"
"24","Pysht/Twin/Deep Creek Coho-","Olympic Peninsula Coho",4588.1498750786,4588.1498750786,4940.35319504605,2000,2004,"Olympic Peninsula Coho"
"25","Queets Coho-","Olympic Peninsula Coho",5157.23739910129,5157.23739910129,4796.9872030301,2000,2004,"Olympic Peninsula Coho"
"26","Salmon River Coho-","Olympic Peninsula Coho",4586.25884012288,4586.25884012288,5464.96150331283,2000,2004,"Olympic Peninsula Coho"
"27","Salt Creek Coho-","Olympic Peninsula Coho",1931.13107019962,1931.13107019962,1985.50027974573,2000,2004,"Olympic Peninsula Coho"
"28","Sekiu/Sail Coho-","Olympic Peninsula Coho",1200.06828245816,1200.06828245816,1289.10103870676,2000,2004,"Olympic Peninsula Coho"
"29","Sol Duc Fall Coho-","Olympic Peninsula Coho",9071.00241032114,NA,7912.89597255133,2000,2004,"Olympic Peninsula Coho"
"30","Sol Duc Summer Coho-","Olympic Peninsula Coho",1156.61016201137,NA,967.797149592965,2000,2004,"Olympic Peninsula Coho"
"31","Bogachiel Fall Coho-","Olympic Peninsula Coho",1055.68168162431,1055.68168162431,1052.19927729149,2005,2009,"Olympic Peninsula Coho"
"32","Calawah Fall Coho-","Olympic Peninsula Coho",1111.17495034666,1111.17495034666,1220.78542967174,2005,2009,"Olympic Peninsula Coho"
"33","Clallam Coho-","Olympic Peninsula Coho",608.448976966123,608.448976966123,471.742219922881,2005,2009,"Olympic Peninsula Coho"
"34","Clearwater Coho-","Olympic Peninsula Coho",2176.86362767425,2176.86362767425,2159.10299064062,2005,2009,"Olympic Peninsula Coho"
"35","Dickey Fall Coho-","Olympic Peninsula Coho",1548.77677049607,1548.77677049607,1644.62372812184,2005,2009,"Olympic Peninsula Coho"
"36","Hoh Coho-","Olympic Peninsula Coho",3168.737408095,3168.737408095,3134.32156879935,2005,2009,"Olympic Peninsula Coho"
"37","Hoko Coho-","Olympic Peninsula Coho",857.309010174687,857.309010174687,698.559412056769,2005,2009,"Olympic Peninsula Coho"
"38","Lyre Coho-","Olympic Peninsula Coho",140.23689445254,140.23689445254,128.166437013585,2005,2009,"Olympic Peninsula Coho"
"39","Pysht/Twin/Deep Creek Coho-","Olympic Peninsula Coho",1418.23883182465,1418.23883182465,1342.14570755692,2005,2009,"Olympic Peninsula Coho"
"40","Queets Coho-","Olympic Peninsula Coho",2325.87926139994,2325.87926139994,2621.13093954175,2005,2009,"Olympic Peninsula Coho"
"41","Salmon River Coho-","Olympic Peninsula Coho",479.015561300188,369.77929253942,NA,2005,2009,"Olympic Peninsula Coho"
"42","Salt Creek Coho-","Olympic Peninsula Coho",1063.03078489307,1063.03078489307,1049.13588251245,2005,2009,"Olympic Peninsula Coho"
"43","Sekiu/Sail Coho-","Olympic Peninsula Coho",401.996693771708,401.996693771708,369.987217726147,2005,2009,"Olympic Peninsula Coho"
"44","Sol Duc Fall Coho-","Olympic Peninsula Coho",3563.36043793427,NA,3812.90751515418,2005,2009,"Olympic Peninsula Coho"
"45","Sol Duc Summer Coho-","Olympic Peninsula Coho",653.891093632296,NA,772.905866052963,2005,2009,"Olympic Peninsula Coho"
"46","Bogachiel Fall Coho-","Olympic Peninsula Coho",1464.672334314,1464.672334314,1387.01634411444,2010,2014,"Olympic Peninsula Coho"
"47","Calawah Fall Coho-","Olympic Peninsula Coho",1183.09797093579,1183.09797093579,1020.182514973,2010,2014,"Olympic Peninsula Coho"
"48","Clallam Coho-","Olympic Peninsula Coho",1541.92674328923,1541.92674328923,1676.21207081437,2010,2014,"Olympic Peninsula Coho"
"49","Clearwater Coho-","Olympic Peninsula Coho",3174.76355225156,3174.76355225156,3317.96192907427,2010,2014,"Olympic Peninsula Coho"
"50","Dickey Fall Coho-","Olympic Peninsula Coho",2052.47472234629,2052.47472234629,2013.38730679428,2010,2014,"Olympic Peninsula Coho"
"51","Hoh Coho-","Olympic Peninsula Coho",4877.87437605256,4357.64511052617,NA,2010,2014,"Olympic Peninsula Coho"
"52","Hoko Coho-","Olympic Peninsula Coho",1603.64162432959,1603.64162432959,1848.86364429768,2010,2014,"Olympic Peninsula Coho"
"53","Lyre Coho-","Olympic Peninsula Coho",192.927665834718,192.927665834718,191.585638559285,2010,2014,"Olympic Peninsula Coho"
"54","Pysht/Twin/Deep Creek Coho-","Olympic Peninsula Coho",2173.8620666235,2173.8620666235,2184.00437977801,2010,2014,"Olympic Peninsula Coho"
"55","Queets Coho-","Olympic Peninsula Coho",2838.57051488463,2838.57051488463,2654.58134544224,2010,2014,"Olympic Peninsula Coho"
"56","Salmon River Coho-","Olympic Peninsula Coho",692.931099474781,692.931099474781,699.961314800912,2010,2014,"Olympic Peninsula Coho"
"57","Salt Creek Coho-","Olympic Peninsula Coho",1101.90946430361,1101.90946430361,1125.50997998079,2010,2014,"Olympic Peninsula Coho"
"58","Sekiu/Sail Coho-","Olympic Peninsula Coho",662.899983599099,662.899983599099,706.205611871612,2010,2014,"Olympic Peninsula Coho"
"59","Sol Duc Fall Coho-","Olympic Peninsula Coho",3362.35690261054,NA,2974.62940555801,2010,2014,"Olympic Peninsula Coho"
"60","Sol Duc Summer Coho-","Olympic Peninsula Coho",708.140542588065,NA,542.04300409458,2010,2014,"Olympic Peninsula Coho"
"61","Bogachiel Fall Coho-","Olympic Peninsula Coho",1102.09970425713,1102.09970425713,1142.39699097637,2015,2019,"Olympic Peninsula Coho"
"62","Calawah Fall Coho-","Olympic Peninsula Coho",985.539509146843,985.539509146843,1058.64668497134,2015,2019,"Olympic Peninsula Coho"
"63","Clallam Coho-","Olympic Peninsula Coho",1068.45646404844,1068.45646404844,984.453713515958,2015,2019,"Olympic Peninsula Coho"
"64","Clearwater Coho-","Olympic Peninsula Coho",1359.17836955654,1359.17836955654,1347.27014070449,2015,2019,"Olympic Peninsula Coho"
"65","Dickey Fall Coho-","Olympic Peninsula Coho",1350.68440474359,1350.68440474359,1317.48765225148,2015,2019,"Olympic Peninsula Coho"
"66","Hoh Coho-","Olympic Peninsula Coho",2793.625845561,2793.625845561,2807.45154166001,2015,2019,"Olympic Peninsula Coho"
"67","Hoko Coho-","Olympic Peninsula Coho",688.032908373901,688.032908373901,565.568784274452,2015,2019,"Olympic Peninsula Coho"
"68","Lyre Coho-","Olympic Peninsula Coho",136.733503709558,136.733503709558,134.891387841159,2015,2019,"Olympic Peninsula Coho"
"69","Pysht/Twin/Deep Creek Coho-","Olympic Peninsula Coho",1339.9024345666,1339.9024345666,1208.35148591061,2015,2019,"Olympic Peninsula Coho"
"70","Queets Coho-","Olympic Peninsula Coho",1535.81188189689,1535.81188189689,1334.96409926273,2015,2019,"Olympic Peninsula Coho"
"71","Salmon River Coho-","Olympic Peninsula Coho",401.641666054834,401.641666054834,417.145514464513,2015,2019,"Olympic Peninsula Coho"
"72","Salt Creek Coho-","Olympic Peninsula Coho",492.84365851082,492.84365851082,432.392454593132,2015,2019,"Olympic Peninsula Coho"
"73","Sekiu/Sail Coho-","Olympic Peninsula Coho",250.989498907574,250.989498907574,202.02936768691,2015,2019,"Olympic Peninsula Coho"
"74","Sol Duc Fall Coho-","Olympic Peninsula Coho",2340.52462391292,NA,2329.96341590743,2015,2019,"Olympic Peninsula Coho"
"75","Sol Duc Summer Coho-","Olympic Peninsula Coho",503.594515531831,NA,521.192546293069,2015,2019,"Olympic Peninsula Coho"
