"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Bogachiel Fall Coho-","Total",1995,2020,-0.0186353976598376,0.0105447399090599,"Olympic Peninsula Coho"
"2","Bogachiel Fall Coho-","Natural",1995,2020,-0.0186353976598376,0.0105447399090599,"Olympic Peninsula Coho"
"3","Calawah Fall Coho-","Total",1995,2020,-0.0239886915482449,0.0126023846334036,"Olympic Peninsula Coho"
"4","Calawah Fall Coho-","Natural",1995,2020,-0.0239886915482449,0.0126023846334036,"Olympic Peninsula Coho"
"5","Clallam Coho-","Total",1995,2020,0.0343105439878537,0.0205928521309095,"Olympic Peninsula Coho"
"6","Clallam Coho-","Natural",1995,2020,0.0343105439878537,0.0205928521309095,"Olympic Peninsula Coho"
"7","Clearwater Coho-","Total",1995,2020,-0.0176436543558913,0.0146679793912118,"Olympic Peninsula Coho"
"8","Clearwater Coho-","Natural",1995,2020,-0.0176436543558913,0.0146679793912118,"Olympic Peninsula Coho"
"9","Dickey Fall Coho-","Total",1995,2020,-0.0226127827802502,0.0116525650115744,"Olympic Peninsula Coho"
"10","Dickey Fall Coho-","Natural",1995,2020,-0.0226127827802502,0.0116525650115744,"Olympic Peninsula Coho"
"11","Hoh Coho-","Total",1995,2020,-0.0202748203204105,0.0127450779454063,"Olympic Peninsula Coho"
"12","Hoh Coho-","Natural",1995,2020,-0.0214639315313004,0.0125069467973539,"Olympic Peninsula Coho"
"13","Hoko Coho-","Total",1995,2020,-0.0168309336489402,0.0200180651475858,"Olympic Peninsula Coho"
"14","Hoko Coho-","Natural",1995,2020,-0.0168309336489402,0.0200180651475858,"Olympic Peninsula Coho"
"15","Lyre Coho-","Total",1995,2020,-0.0215492831965881,0.0137756293956677,"Olympic Peninsula Coho"
"16","Lyre Coho-","Natural",1995,2020,-0.0443890581214648,0.0149002822563882,"Olympic Peninsula Coho"
"17","Pysht/Twin/Deep Creek Coho-","Total",1995,2020,0.00770460415938238,0.0192178778537168,"Olympic Peninsula Coho"
"18","Pysht/Twin/Deep Creek Coho-","Natural",1995,2020,0.00770460415938238,0.0192178778537168,"Olympic Peninsula Coho"
"19","Queets Coho-","Total",1995,2020,-0.0246679905529555,0.0130956081777642,"Olympic Peninsula Coho"
"20","Queets Coho-","Natural",1995,2020,-0.0246679905529555,0.0130956081777642,"Olympic Peninsula Coho"
"21","Salmon River Coho-","Total",1995,2020,-0.0991415762649666,0.0145269613861237,"Olympic Peninsula Coho"
"22","Salmon River Coho-","Natural",1995,2020,-0.0991011004077056,0.0148498659802208,"Olympic Peninsula Coho"
"23","Salt Creek Coho-","Total",1995,2020,0.0165746545438293,0.0225231641473286,"Olympic Peninsula Coho"
"24","Salt Creek Coho-","Natural",1995,2020,0.0165746545438293,0.0225231641473286,"Olympic Peninsula Coho"
"25","Sekiu/Sail Coho-","Total",1995,2020,0.00306161050142161,0.022089776068328,"Olympic Peninsula Coho"
"26","Sekiu/Sail Coho-","Natural",1995,2020,0.00306161050142161,0.022089776068328,"Olympic Peninsula Coho"
"27","Sol Duc Fall Coho-","Total",1995,2020,-0.0393624090886639,0.0119157312617926,"Olympic Peninsula Coho"
"28","Sol Duc Summer Coho-","Total",1995,2020,-0.0135789301289836,0.00976215589440501,"Olympic Peninsula Coho"
