"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,21429.722293168,21346.8256330452,18242.1270835219,25058.1424100667,18719.9713827754,24402.4178721183,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"2",1996,23194.2785008459,23130.2630384808,19923.3855646275,26863.2318051877,20417.5090776058,26217.097662854,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"3",1997,21138.1165392601,21069.5781491364,18207.1801982968,24424.841579556,18627.2224089683,23843.5260276916,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"4",1998,30123.7172757863,30045.1515538126,25955.7175281175,34774.5055338939,26587.838390467,33914.7789094058,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"5",1999,27089.6102908446,27003.5231059094,23516.5138943653,31179.7084717641,24022.4023950102,30456.5972280519,NA,NA,NA,NA,NA,27106,"Olympic Peninsula Steelhead"
"6",2000,29197.8594766275,29113.7126396218,25311.9204408024,33600.9387139328,25880.3095713277,32797.172575562,NA,NA,NA,NA,NA,27193,"Olympic Peninsula Steelhead"
"7",2001,23251.9026515263,23183.6905048176,20181.2429896396,26703.9162352676,20621.9944804839,26081.9984875864,NA,NA,NA,NA,NA,24617,"Olympic Peninsula Steelhead"
"8",2002,22933.4491176399,22878.9274514753,19871.0924478659,26349.8890794341,20340.9205892334,25741.3334138165,NA,NA,NA,NA,NA,22723,"Olympic Peninsula Steelhead"
"9",2003,19660.3609488797,19601.8115116685,16997.6309136064,22649.949245876,17381.8323059609,22135.6541115316,NA,NA,NA,NA,NA,17212,"Olympic Peninsula Steelhead"
"10",2004,26185.7612646862,26115.9815643571,22608.3950565577,30135.8749847869,23157.7133886437,29468.392047098,NA,NA,NA,NA,NA,25851,"Olympic Peninsula Steelhead"
"11",2005,20115.5849178378,20057.1687594941,17345.9931711128,23165.9763438472,17754.9981392028,22663.0243440632,NA,NA,NA,NA,NA,21755,"Olympic Peninsula Steelhead"
"12",2006,24508.0137067303,24438.1929272448,21042.2059171126,28408.0380781195,21533.9851024505,27724.9763120685,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"13",2007,17230.5524569583,17186.4203146514,14749.8055387704,19990.5967421804,15118.6090911892,19487.6128205295,NA,NA,NA,NA,NA,19073,"Olympic Peninsula Steelhead"
"14",2008,18823.3041381505,18775.9126490855,16089.1649917477,21840.2956602873,16480.3953969665,21314.7261440205,NA,NA,NA,NA,NA,19705,"Olympic Peninsula Steelhead"
"15",2009,11244.7081414178,11209.3597860321,9593.65096408338,13083.5905621263,9842.95790646665,12768.3649364265,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"16",2010,20183.2199663004,20127.0620912124,17413.9171541633,23264.3452773589,17845.1497031288,22736.428106494,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"17",2011,25785.9476878972,25707.1324662689,22286.5699612229,29756.9855721449,22798.1643836626,29045.2384005226,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"18",2012,21211.6607705215,21150.4419018715,18327.7652989133,24445.7110200463,18759.2409879619,23886.387031541,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"19",2013,19846.1084921892,19783.2602767368,17104.5635147299,22937.6815748262,17506.2332567799,22378.8825737407,NA,NA,NA,NA,NA,NA,"Olympic Peninsula Steelhead"
"20",2014,16897.058933723,16846.2997699381,14634.0697077156,19446.8620648622,14969.2880154196,18989.7069835679,NA,NA,NA,NA,NA,14491,"Olympic Peninsula Steelhead"
"21",2015,18139.3416300543,18090.7126748277,15672.0582101769,20855.0867040599,16041.3367266528,20394.9584125763,NA,NA,NA,NA,NA,20622,"Olympic Peninsula Steelhead"
"22",2016,14441.050239758,14407.705757281,12456.390519312,16620.2645136395,12755.3871680318,16240.9531525138,NA,NA,NA,NA,NA,15604,"Olympic Peninsula Steelhead"
"23",2017,12284.7888878711,12249.6239777294,10584.9866176731,14156.7668048214,10833.5813629745,13841.3247454309,NA,NA,NA,NA,NA,14084,"Olympic Peninsula Steelhead"
"24",2018,18351.3664479886,18310.7504684357,15830.6744229744,21110.6123383367,16212.1540786406,20636.7268237293,NA,NA,NA,NA,NA,18969,"Olympic Peninsula Steelhead"
"25",2019,19077.8039257267,19015.0868110545,16441.8325503532,22055.4950456335,16832.4534028091,21525.5609930083,NA,NA,NA,NA,NA,16884,"Olympic Peninsula Steelhead"
"26",2020,16299.3589648136,16230.1076827684,13876.5606251063,19080.4847023497,14236.2868751964,18594.4049571978,NA,NA,NA,NA,NA,15496,"Olympic Peninsula Steelhead"
