"","population","type","start.year","stop.year","trend.mean","trend.se","ESU"
"1","Calawah Winter Steelhead","Total",1995,2020,-0.0280731115848305,0.00548034770479366,"Olympic Peninsula Steelhead"
"2","Clallam River","Total",1995,2020,-0.0261043197415256,0.0076018509220964,"Olympic Peninsula Steelhead"
"3","Deep Creek","Total",1995,2020,-0.0277987831393444,0.00666270633534835,"Olympic Peninsula Steelhead"
"4","Dickey Winter Steelhead","Total",1995,2020,-0.0260921942537225,0.00724468206119185,"Olympic Peninsula Steelhead"
"5","East Twin River","Total",1995,2020,-0.0223880135608587,0.00953067701831261,"Olympic Peninsula Steelhead"
"6","Goodman Creek Winter Steelhead","Total",1995,2020,-0.0488929797585442,0.00705168261429755,"Olympic Peninsula Steelhead"
"7","Hoh Winter Steelhead","Total",1995,2020,-0.00329323931112026,0.00509769689673068,"Olympic Peninsula Steelhead"
"8","Hoko / Little Rivers","Total",1995,2020,-0.0277083164880056,0.00665015815957163,"Olympic Peninsula Steelhead"
"9","Pysht / SF Pysht rivers","Total",1995,2020,-0.0250075057391329,0.00868143985729397,"Olympic Peninsula Steelhead"
"10","Queets Winter Steelhead (incl. Clearwater)","Total",1995,2020,-0.00365606492028014,0.00680676991142716,"Olympic Peninsula Steelhead"
"11","Quillayute-Bogachiel Winter Steelhead","Total",1995,2020,-0.035530162468776,0.0065688143305283,"Olympic Peninsula Steelhead"
"12","Salt Creek and Tributaries","Total",1995,2020,-0.0519255789888945,0.00677377707261256,"Olympic Peninsula Steelhead"
"13","Sol Duc Winter Steelhead","Total",1995,2020,-0.0350195987149034,0.00624277847186097,"Olympic Peninsula Steelhead"
"14","Quinault Winter Steelhead","Total",1995,2020,-0.00132577444594117,0.0045880994178292,"Olympic Peninsula Steelhead"
"15","West Twin River","Total",1995,2020,-0.0385195333941776,0.00949419299654193,"Olympic Peninsula Steelhead"
