"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",-0.0163155520173768,0.00219967053689148,0.0651728551654428,-0.144372085813788,-0.0595763559576991,-0.0161025970451982,0.0264759050911822,0.112458942802291,877.845767237277,1.00584898394723
"mu[2]",-0.0113728155546822,0.00225066089103071,0.0668884308044505,-0.143014052862704,-0.0557127168876283,-0.0115541621896481,0.0325934046188399,0.120589018008771,883.246421003679,1.00608264871476
"mu[3]",-0.0133311013608834,0.00221391587267839,0.0650231844375195,-0.142643734654522,-0.0559484274040726,-0.012799003992597,0.0291393743148718,0.115940076189524,862.609509646061,1.00640293938315
"mu[4]",-0.00341008257202007,0.00223207334830399,0.0652569315948206,-0.132392170433478,-0.0464458354366177,-0.00336026356978885,0.0395753397920705,0.125930872320354,854.744617684772,1.00570062526535
"mu[5]",-0.0131707011146976,0.00223885006220864,0.0652953220826878,-0.142963778850697,-0.0562831600067271,-0.0124031968814584,0.0297007745429094,0.115585042244262,850.577945958288,1.00608449095548
"mu[6]",-0.0339131606158359,0.00222223610923375,0.0652554429655307,-0.162845244763004,-0.0769479849876347,-0.0339420483942437,0.0085934822258103,0.0956792441545833,862.289472221962,1.00626646707763
"mu[7]",0.00428204499396396,0.00222099445740727,0.0652200581894942,-0.125161920387757,-0.0389537514225254,0.00467654265146382,0.047113751224418,0.13223898974166,862.317926049441,1.00620224031509
"mu[8]",-0.0165411953489555,0.00223024107668363,0.0653744524768904,-0.145970415614993,-0.0601056155407654,-0.0164763435435923,0.0265898630558329,0.112427015311234,859.236086458561,1.00610789278415
"mu[9]",-0.00844759626558997,0.00222788393437023,0.0650444993939175,-0.136983258147734,-0.0512178337297397,-0.00824234627799078,0.0344660394528224,0.120355028403023,852.385449636614,1.0064225978777
"mu[10]",0.00183376534189805,0.00223041251494582,0.0654845146385205,-0.126621264762451,-0.0416345250236508,0.00215713000528456,0.0448693533512915,0.130648361923411,861.999153482951,1.00602711030546
"mu[11]",-0.0242333046300969,0.00222671454441811,0.0652322787384157,-0.152849381078808,-0.0671817245890822,-0.0240849859925974,0.0187685634433007,0.104884752201111,858.214816414481,1.00621617009431
"mu[12]",-0.0310736970999136,0.00221385415884785,0.0651567607801763,-0.159402444845974,-0.0743957661303568,-0.030981744698606,0.0115180720718255,0.0972471962253518,866.205537553309,1.00613514223929
"mu[13]",-0.0199644863370115,0.00222574038364544,0.0653175781774324,-0.148210377162049,-0.062994490532584,-0.0195478790917358,0.0230720378390932,0.10879155547862,861.214109032728,1.00591729292485
"mu[14]",-0.00692524234770062,0.00222314080460871,0.0654540771494719,-0.137431909864804,-0.0500962038300102,-0.00639369628524755,0.0359996515963105,0.121797489607842,866.841047094981,1.00656286279248
"mu[15]",-0.0211989339000197,0.00224116889368256,0.0654104249388441,-0.150828825305,-0.0642510983766371,-0.0208675879479412,0.021921898011092,0.108758854951569,851.813990846063,1.00618284832635
"sigma2_R",0.0621901143412271,0.000115675313266347,0.00777439953519704,0.0479579566106233,0.0567584348547855,0.0618476429285431,0.0672784266639669,0.0782388990774481,4517.02342602786,1.00088945176019
"sigma2_Q",0.108350340302641,0.000389871048104329,0.0323215195880211,0.0611596373614869,0.085823850216158,0.102973966243855,0.124870302894947,0.186046745101064,6872.9244573905,1.00031410192868
"theta",0.806263711491413,0.00113231708403036,0.0699073553098884,0.647772690324317,0.763527490817753,0.813701473606333,0.85771742874727,0.919174804684067,3811.62024742879,1.00112958354261
