"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,162284.061383632,161406.87347116,131578.180588521,198223.158099825,136092.922376204,191651.140328235,NA,NA,NA,NA,NA,161343,"Oregon Coast Chinook salmon"
"2",1996,143005.6458158,142345.409878491,117130.518235281,172305.81320783,121022.800171088,167010.414830214,NA,NA,NA,NA,NA,157838,"Oregon Coast Chinook salmon"
"3",1997,100939.56550356,100475.868637072,83316.1691097322,121361.547992321,85818.3747322991,117660.583558569,NA,NA,NA,NA,NA,102424,"Oregon Coast Chinook salmon"
"4",1998,96258.342774773,95802.426117226,79427.5786915055,115962.105229682,81813.9594041145,112315.846061516,NA,NA,NA,NA,NA,94225,"Oregon Coast Chinook salmon"
"5",1999,90833.6989068452,90426.808219576,74484.0245449308,109551.325432881,76884.9951700344,106251.624959364,NA,NA,NA,NA,NA,97781,"Oregon Coast Chinook salmon"
"6",2000,92777.5150662316,92333.8402745321,76266.6647148628,111795.938543084,78568.8461212475,108535.764960355,NA,NA,NA,NA,NA,89699,"Oregon Coast Chinook salmon"
"7",2001,148880.676942772,148125.127096513,121942.600162823,180123.082692766,125793.278368363,174325.908930505,NA,NA,NA,NA,NA,146990,"Oregon Coast Chinook salmon"
"8",2002,197997.516195056,197084.940101138,161454.900446885,239540.230604692,166930.551655874,232023.937348667,NA,NA,NA,NA,NA,215977,"Oregon Coast Chinook salmon"
"9",2003,196777.787889197,195887.184394598,161099.125962027,237309.244211384,166278.67320479,230162.367094758,NA,NA,NA,NA,NA,212690,"Oregon Coast Chinook salmon"
"10",2004,171890.607064386,170974.026658516,141520.357030771,207038.286602548,145936.431497758,200506.764807375,NA,NA,NA,NA,NA,174514,"Oregon Coast Chinook salmon"
"11",2005,109492.499600722,108894.206502016,90189.818025241,132238.823142074,93003.431811972,128038.351367651,NA,NA,NA,NA,NA,107394,"Oregon Coast Chinook salmon"
"12",2006,98639.195646387,98264.4726839598,80548.6524044567,119023.142107638,83272.7845928187,115373.077349272,NA,NA,NA,NA,NA,113893,"Oregon Coast Chinook salmon"
"13",2007,49942.1482874836,49708.9820815753,40951.0264489351,60293.0406726227,42238.2385088168,58441.6438254179,NA,NA,NA,NA,NA,51835,"Oregon Coast Chinook salmon"
"14",2008,56014.7938615786,55721.7286067676,45981.8451508609,67691.3452447495,47439.4414925024,65526.2445921687,NA,NA,NA,NA,NA,54550,"Oregon Coast Chinook salmon"
"15",2009,74399.5766803205,74024.3652238806,60580.6088456388,90258.8774782186,62701.2646926049,87394.3999261293,NA,NA,NA,NA,NA,79102,"Oregon Coast Chinook salmon"
"16",2010,120821.973801988,120348.045715378,98323.3415835944,146275.157444785,101703.805011743,141792.893403323,NA,NA,NA,NA,NA,138508,"Oregon Coast Chinook salmon"
"17",2011,134830.466792265,134213.424982184,110703.793910518,162794.23520175,114069.49020938,157858.511731666,NA,NA,NA,NA,NA,134790,"Oregon Coast Chinook salmon"
"18",2012,119471.786106043,118931.350160886,97922.3173833807,144116.700609025,101182.999721118,139514.022498912,NA,NA,NA,NA,NA,124878,"Oregon Coast Chinook salmon"
"19",2013,147056.538160627,146448.497999174,120710.171192208,176820.212315952,124639.32623671,171334.320344485,NA,NA,NA,NA,NA,144300,"Oregon Coast Chinook salmon"
"20",2014,161265.388000152,160429.483905558,133108.393695556,193973.76166876,137340.06575825,188007.934289129,NA,NA,NA,NA,NA,161224,"Oregon Coast Chinook salmon"
"21",2015,204637.603946809,203727.272412959,167702.875310583,247162.521373319,173086.139894874,239212.274840343,NA,NA,NA,NA,NA,225012,"Oregon Coast Chinook salmon"
"22",2016,126128.304863507,125446.654859734,104241.070063283,151640.741661717,107431.966579048,147088.776087098,NA,NA,NA,NA,NA,118470,"Oregon Coast Chinook salmon"
"23",2017,95455.6408181765,95016.6717607516,78615.6227065161,115155.704268405,80946.5167078839,111499.550779161,NA,NA,NA,NA,NA,94577,"Oregon Coast Chinook salmon"
"24",2018,49390.089979878,49173.9078570233,40144.8204571989,59860.2762043826,41541.4267304788,58001.4168130058,NA,NA,NA,NA,NA,56458,"Oregon Coast Chinook salmon"
"25",2019,48871.2010180874,48599.6852284793,39858.3608497361,59384.7248881768,41186.3108251428,57488.1723592789,NA,NA,NA,NA,NA,49892,"Oregon Coast Chinook salmon"
"26",2020,109904.024665423,109262.36469917,88376.8729219499,134934.07962893,91419.8690843131,130343.337329677,NA,NA,NA,NA,NA,110979,"Oregon Coast Chinook salmon"
