"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Alsea fall Chinook","Oregon Coast Chinook salmon",8114.74994898106,NA,8016.85909536101,1995,1999,"Oregon Coast Chinook salmon"
"2","Coos fall Chinook","Oregon Coast Chinook salmon",7059.42108523225,NA,6771.8192122766,1995,1999,"Oregon Coast Chinook salmon"
"3","Coquille fall Chinook","Oregon Coast Chinook salmon",10620.46493199,NA,10264.6694100436,1995,1999,"Oregon Coast Chinook salmon"
"4","Elk fall Chinook","Oregon Coast Chinook salmon",5007.92406605462,3186.49299188383,5051.52868683751,1995,1999,"Oregon Coast Chinook salmon"
"5","Floras fall Chinook","Oregon Coast Chinook salmon",383.592223255224,NA,339.909879461581,1995,1999,"Oregon Coast Chinook salmon"
"6","Nehalem fall Chinook","Oregon Coast Chinook salmon",9679.29600613236,NA,9421.6999037568,1995,1999,"Oregon Coast Chinook salmon"
"7","Nestucca fall Chinook","Oregon Coast Chinook salmon",9763.94063274016,NA,9653.3266901279,1995,1999,"Oregon Coast Chinook salmon"
"8","North.Umpqua spring Chinook","Oregon Coast Chinook salmon",7880.42910024754,4373.55780385477,7176.99981402824,1995,1999,"Oregon Coast Chinook salmon"
"9","Salmon fall Chinook","Oregon Coast Chinook salmon",3341.0543445642,1153.3377513203,3259.51370633172,1995,1999,"Oregon Coast Chinook salmon"
"10","Siletz fall Chinook","Oregon Coast Chinook salmon",13213.9557187886,NA,12446.4186433747,1995,1999,"Oregon Coast Chinook salmon"
"11","Siuslaw fall Chinook","Oregon Coast Chinook salmon",11289.6059746985,NA,11439.4390624024,1995,1999,"Oregon Coast Chinook salmon"
"12","Sixes fall Chinook","Oregon Coast Chinook salmon",3150.73827852981,NA,3218.12211563836,1995,1999,"Oregon Coast Chinook salmon"
"13","South.Umpqua spring Chinook","Oregon Coast Chinook salmon",361.500433117464,NA,359.118133620692,1995,1999,"Oregon Coast Chinook salmon"
"14","Tillamook fall Chinook","Oregon Coast Chinook salmon",5428.34969574847,NA,5294.67093083348,1995,1999,"Oregon Coast Chinook salmon"
"15","Umpqua fall Chinook","Oregon Coast Chinook salmon",11135.3385935917,NA,10231.3583549221,1995,1999,"Oregon Coast Chinook salmon"
