"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu[1]",0.0387997130900679,0.00223090149681856,0.0998300081292347,-0.155110849095834,-0.0282207200467495,0.0386369066065682,0.104734318352473,0.238181817487792,2002.4488122018,1.00199006715447
"mu[2]",-0.0108328789003564,0.00223050919168296,0.100062118413436,-0.20761173391949,-0.0774274903585695,-0.0105608772599274,0.0561000707236931,0.186745886069736,2012.47897405903,1.0019079241123
"mu[3]",-0.0339540899133167,0.00219804041319054,0.10022684534549,-0.229788762676291,-0.100523310623166,-0.0334429697756873,0.032715012468736,0.164066741144672,2079.20243916891,1.00196019626775
"mu[4]",0.0158085641878767,0.00217072828166643,0.0997037131923977,-0.180347422500662,-0.0510806890015757,0.015942100717002,0.082090193529141,0.211908137288418,2109.65644306848,1.00180816768453
"mu[5]",-0.000527816307228388,0.00227181655936663,0.100590889728315,-0.198348888697507,-0.0679870622079022,-0.00049104466228398,0.0660923769837555,0.199232069966319,1960.51774438595,1.00182376783315
"mu[6]",-0.0031849070606029,0.00213117603520962,0.0995578863656402,-0.198028822820036,-0.0700150524422228,-0.00342381466680521,0.0635457634950724,0.192762479761294,2182.29113209603,1.00153346991184
"mu[7]",0.0206250368580004,0.00219386833621512,0.0996167026212946,-0.172698567631517,-0.0461367843356241,0.0194465679206032,0.0868462180498421,0.219768778810638,2061.78418601072,1.00182745855708
"mu[8]",-0.0365399314356883,0.00222688547653708,0.0994694681713613,-0.230145964191586,-0.103048371690361,-0.0367980051984817,0.0292666033483968,0.160593760791118,1995.18800930425,1.00162840293623
"mu[9]",-0.0358331498632532,0.0021782109465617,0.100099518185882,-0.231468067835221,-0.102688877325291,-0.0361471982921841,0.0306645060590899,0.161015209351519,2111.85502637168,1.00199281650743
"mu[10]",0.0109771083528297,0.00214643533507049,0.0993023155905318,-0.182887799038537,-0.0557994482784536,0.0109146984001213,0.0768377691706295,0.207784072250131,2140.34179999592,1.0015088960292
"mu[11]",-0.0988673551084373,0.0022185067181759,0.0993835742585773,-0.295164916917002,-0.165075570424777,-0.0992003046194118,-0.0320406147246933,0.0963459267695814,2006.81679582628,1.00179692687846
"mu[12]",-0.0208796910844259,0.00219309974985105,0.0995818727518536,-0.216519311187884,-0.0879041988199665,-0.0211668362181072,0.0457085084172653,0.174751514008919,2061.78705293624,1.00136366269383
"mu[13]",0.0104497865136401,0.00223397386431107,0.0993194160962294,-0.183350358015678,-0.0563837283647704,0.0110936477392897,0.0772208810200725,0.205698134287192,1976.56972707327,1.00186096435642
"mu[14]",0.00996254482494469,0.00223624451166325,0.0995903560984245,-0.18645321137597,-0.0568762795720995,0.00938655065280243,0.0763015243450515,0.205488342663201,1983.33463069956,1.00178851967787
"mu[15]",0.00877320190106611,0.00219336613486902,0.0999513068979658,-0.186451342873233,-0.0576553380979322,0.00841787926536332,0.0748052951332941,0.207397321745592,2076.60878311838,1.00181795036581
"mu[16]",-0.0697295045452292,0.00220349240552064,0.0991269961348237,-0.264353503994791,-0.136369509897249,-0.0702391546869579,-0.00342063167512674,0.125628919043292,2023.76823838878,1.00202067402366
"sigma2_R",0.144764455892782,0.00040141297605082,0.0238925291668863,0.0995576910988021,0.128419650888548,0.144196931210383,0.160311077777179,0.192771442339873,3542.75757242118,1.00126547932816
"sigma2_Q",0.263675614976619,0.000717993020469552,0.0608349094080878,0.167649717251537,0.22123231097929,0.255888722616767,0.297257072428876,0.404466893427021,7179.02203359659,1.00050031654995
"theta",0.575979757067303,0.00133384192274031,0.0992004056665085,0.379540906562093,0.50755633891907,0.576839768574075,0.64601317525274,0.764239193183405,5531.18481469122,1.00042461661093
