"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,65930.4019003081,65421.5657620425,51147.1019391513,83815.4170676292,53183.1248026266,80455.7966641198,54339.3604087286,41614.1549104899,69984.4193599598,43381.0379071197,67077.3502553611,72544,"Oregon Coast Coho Salmon ESU"
"2",1996,93022.5897374053,92300.0374163243,73014.694088311,117049.683919603,75785.7439091744,112781.515007844,68847.3611128356,53294.5534146086,87791.6781877128,55441.7228349244,84370.779372132,109853,"Oregon Coast Coho Salmon ESU"
"3",1997,28064.8620555491,27863.2712598674,21976.22842521,35360.4272675935,22847.7091618956,33968.3621581986,22673.513357528,17634.2866593384,28748.2352490445,18345.7144268191,27592.0066749523,28654,"Oregon Coast Coho Salmon ESU"
"4",1998,40247.1451764447,39949.0152441496,31732.6423144242,50443.6507041089,32907.5152979691,48555.943380025,33036.9325202956,25845.6675688704,41701.3736339819,26840.1860136185,40086.1799931019,41046,"Oregon Coast Coho Salmon ESU"
"5",1999,51175.4304204135,50800.1832741252,40318.4734272066,64022.7131125332,41881.2832411395,61654.0265110852,45487.6702124136,35739.7571942626,57023.9412215363,37156.5423680268,54907.1944220951,51903,"Oregon Coast Coho Salmon ESU"
"6",2000,73093.4098469453,72579.3678449743,57581.002397663,91510.1572548239,59869.6685094283,88166.4109994019,66566.5781534715,52321.9926652578,83522.354307578,54391.0748797462,80456.8671676234,83038,"Oregon Coast Coho Salmon ESU"
"7",2001,168945.71390136,167687.675952042,132486.818174381,212208.412234918,137776.224490842,204349.556420295,147063.494539632,114869.577370329,185530.554551462,119484.852157449,178501.305603924,187016,"Oregon Coast Coho Salmon ESU"
"8",2002,217475.841980414,215943.681446199,170471.193742943,273005.622482269,177192.025486374,262900.046431228,201311.808854307,157357.240595043,253285.003360351,163815.396094596,243689.340420917,266230,"Oregon Coast Coho Salmon ESU"
"9",2003,216178.261309844,214718.684735685,170122.092683383,270639.946235408,176844.941919931,260679.326836099,201068.466958452,157770.102829382,252771.452092834,164041.371501651,243153.249992076,241481,"Oregon Coast Coho Salmon ESU"
"10",2004,200642.786201393,199300.053672711,158787.126553732,250464.989668572,164715.999332998,241359.964812232,187693.849369924,148182.61893127,234926.627503216,153740.466213263,226312.698288827,178143,"Oregon Coast Coho Salmon ESU"
"11",2005,133397.000325518,132405.881368528,105120.743647996,167200.048733804,109177.761497064,161083.899046935,123065.022183163,96561.2981195227,154840.412847725,100420.180610004,148825.519744422,164717,"Oregon Coast Coho Salmon ESU"
"12",2006,128628.789300824,127775.629561441,101342.718247164,160977.244073443,105268.544056798,155329.483414134,116312.331537926,91529.935403078,145891.158500095,94950.5160990643,140717.369703907,140045,"Oregon Coast Coho Salmon ESU"
"13",2007,65722.7247022881,65283.000934004,51730.2991770768,82243.6398573953,53708.5272406205,79299.6140955123,60071.0483125423,47111.8763530287,75404.3394958104,48962.0032543474,72642.0503069631,72190,"Oregon Coast Coho Salmon ESU"
"14",2008,155542.791893631,154497.841003519,122519.11799247,194667.03516559,127273.563549194,187229.505261736,152037.784444218,119639.472522058,190501.781225885,124309.339751969,183174.583855713,180975,"Oregon Coast Coho Salmon ESU"
"15",2009,244497.31630235,242757.960728473,192403.999111934,306528.784476278,199833.535777315,295439.557083763,238145.332016011,187480.860566805,298572.646026737,194598.996752814,287715.215672682,266512,"Oregon Coast Coho Salmon ESU"
"16",2010,268915.506854134,267135.673019517,211164.834041111,335389.723413261,219691.692906652,324196.605785196,264890.335610096,207982.197579871,330515.769219986,216372.887694154,319350.777123023,284884,"Oregon Coast Coho Salmon ESU"
"17",2011,321976.817266642,319773.771986801,253903.361498473,404116.089814876,262890.408185795,388508.841904903,319291.203712819,251861.670469181,400722.693293541,260707.873074433,385213.957369544,356863,"Oregon Coast Coho Salmon ESU"
"18",2012,94608.6558735771,93917.0962495207,74231.1023861828,118777.511034281,77104.4312869203,114428.250868158,93825.1979681418,73620.7765614754,117804.789930239,76465.0452739238,113498.334657496,99625,"Oregon Coast Coho Salmon ESU"
"19",2013,128621.697582604,127606.31289302,101342.832682325,161115.172367873,105223.427655704,155062.857637455,127236.973213525,100209.32729706,159425.851562063,104034.218117968,153408.662095525,124645,"Oregon Coast Coho Salmon ESU"
"20",2014,306155.427504813,304142.729089984,240122.677953369,384303.154818548,249094.166560594,370645.447173685,303522.27040381,237974.844685767,381132.666255644,246875.571164445,367403.251982418,359167,"Oregon Coast Coho Salmon ESU"
"21",2015,60200.294527718,59732.5554869698,47281.6743794049,75632.8182399858,49160.9161001368,72850.1513740945,59819.589262594,46980.4508089266,75159.2095010503,48840.1110055131,72392.5896192895,56796,"Oregon Coast Coho Salmon ESU"
"22",2016,78266.9711240759,77678.437962658,61539.5943209121,98161.7792700771,63877.0051731739,94488.4187141309,76466.3177308191,60047.9809883403,96013.7947782616,62344.8758046429,92333.7700623283,76885,"Oregon Coast Coho Salmon ESU"
"23",2017,55140.2948265399,54703.5865908477,43332.3222712855,69353.2626405906,44993.9087104737,66822.2324537949,54730.7460164387,42997.3579196216,68878.8915132402,44641.983459861,66342.7873639614,60270,"Oregon Coast Coho Salmon ESU"
"24",2018,67161.8292880379,66666.9968583891,52439.8807806797,84830.1812216221,54474.3241472784,81609.5728910487,66827.5782482157,52155.5424233779,84438.951810321,54192.181990534,81213.0395303604,73345,"Oregon Coast Coho Salmon ESU"
