"","population","group","tot.mean","nat.mean","obs.mean","start.year","stop.year","ESU"
"1","Coho Salmon (Oregon Coast ESU) - Alsea River","Oregon Coast Coho Salmon ESU",1346.57854163926,545.720203107787,1299.85332916453,1995,1999,"Oregon Coast Coho Salmon ESU"
"2","Coho Salmon (Oregon Coast ESU) - Beaver Creek","Oregon Coast Coho Salmon ESU",797.129955909853,680.541258754927,766.799358873352,1995,1999,"Oregon Coast Coho Salmon ESU"
"3","Coho Salmon (Oregon Coast ESU) - Coos River","Oregon Coast Coho Salmon ESU",5069.94936871595,5042.45969785277,4597.30339981107,1995,1999,"Oregon Coast Coho Salmon ESU"
"4","Coho Salmon (Oregon Coast ESU) - Coquille River","Oregon Coast Coho Salmon ESU",4387.63851475073,4333.54477925373,4168.68456681408,1995,1999,"Oregon Coast Coho Salmon ESU"
"5","Coho Salmon (Oregon Coast ESU) - Floras/New River","Oregon Coast Coho Salmon ESU",1070.9012931296,952.697094054712,1009.15445981156,1995,1999,"Oregon Coast Coho Salmon ESU"
"6","Coho Salmon (Oregon Coast ESU) - Lower Umpqua River","Oregon Coast Coho Salmon ESU",4571.30965803327,4369.97792259367,4390.14366917669,1995,1999,"Oregon Coast Coho Salmon ESU"
"7","Coho Salmon (Oregon Coast ESU) - Middle Umpqua River","Oregon Coast Coho Salmon ESU",2239.89974937354,2116.62416120637,1934.98323007934,1995,1999,"Oregon Coast Coho Salmon ESU"
"8","Coho Salmon (Oregon Coast ESU) - Necanicum River","Oregon Coast Coho Salmon ESU",442.635577965651,291.376319885674,412.229025693354,1995,1999,"Oregon Coast Coho Salmon ESU"
"9","Coho Salmon (Oregon Coast ESU) - Nehalem River","Oregon Coast Coho Salmon ESU",3629.7496715697,1676.63042988091,2933.58682985461,1995,1999,"Oregon Coast Coho Salmon ESU"
"10","Coho Salmon (Oregon Coast ESU) - Nestucca River","Oregon Coast Coho Salmon ESU",754.537860988122,661.766565025637,677.638898317214,1995,1999,"Oregon Coast Coho Salmon ESU"
"11","Coho Salmon (Oregon Coast ESU) - North Umpqua River","Oregon Coast Coho Salmon ESU",3665.37649213024,1050.26447124373,3276.03356301162,1995,1999,"Oregon Coast Coho Salmon ESU"
"12","Coho Salmon (Oregon Coast ESU) - Salmon River","Oregon Coast Coho Salmon ESU",664.557111181169,45.1758483830271,644.978986920653,1995,1999,"Oregon Coast Coho Salmon ESU"
"13","Coho Salmon (Oregon Coast ESU) - Siletz River","Oregon Coast Coho Salmon ESU",690.331090457805,493.266493964235,596.907476412381,1995,1999,"Oregon Coast Coho Salmon ESU"
"14","Coho Salmon (Oregon Coast ESU) - Siltcoos Lake","Oregon Coast Coho Salmon ESU",3301.4026534879,3265.60721963858,3467.62637538741,1995,1999,"Oregon Coast Coho Salmon ESU"
"15","Coho Salmon (Oregon Coast ESU) - Siuslaw River","Oregon Coast Coho Salmon ESU",3572.1407479122,2737.87268347427,3032.06834662422,1995,1999,"Oregon Coast Coho Salmon ESU"
"16","Coho Salmon (Oregon Coast ESU) - Sixes River","Oregon Coast Coho Salmon ESU",138.547002191326,127.158396351522,159.288326959654,1995,1999,"Oregon Coast Coho Salmon ESU"
"17","Coho Salmon (Oregon Coast ESU) - South Umpqua River","Oregon Coast Coho Salmon ESU",4043.02470106517,3043.04656879084,4151.38968717363,1995,1999,"Oregon Coast Coho Salmon ESU"
"18","Coho Salmon (Oregon Coast ESU) - Tahkenitch Lake","Oregon Coast Coho Salmon ESU",1777.53717738795,1753.19987939693,2205.80318764585,1995,1999,"Oregon Coast Coho Salmon ESU"
"19","Coho Salmon (Oregon Coast ESU) - Tenmile Lake","Oregon Coast Coho Salmon ESU",5286.30093768863,5286.30093768863,5419.91789677999,1995,1999,"Oregon Coast Coho Salmon ESU"
"20","Coho Salmon (Oregon Coast ESU) - Tillamook Bay","Oregon Coast Coho Salmon ESU",921.796827842238,656.147996470383,829.199758222976,1995,1999,"Oregon Coast Coho Salmon ESU"
"21","Coho Salmon (Oregon Coast ESU) - Yaquina River","Oregon Coast Coho Salmon ESU",1903.4773048338,1577.62993017559,1977.70884072194,1995,1999,"Oregon Coast Coho Salmon ESU"
"22","Coho Salmon (Oregon Coast ESU) - Alsea River","Oregon Coast Coho Salmon ESU",6276.42105738801,6012.25307260518,5799.96943203211,2000,2004,"Oregon Coast Coho Salmon ESU"
