"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,1096.15664782091,970.575635071301,387.647599487688,2497.1359925516,442.041143217935,2170.43643567528,NA,NA,NA,NA,NA,459,"Ozette Lake Sockeye Salmon ESU"
"2",1996,2001.12473224909,1854.69471763387,888.450866256173,3975.95383365175,999.805603567635,3518.50093915684,NA,NA,NA,NA,NA,3931,"Ozette Lake Sockeye Salmon ESU"
"3",1997,1830.89951601501,1728.74307955449,889.396500372651,3361.93638447357,1001.38330793764,3004.12146067199,NA,NA,NA,NA,NA,1346,"Ozette Lake Sockeye Salmon ESU"
"4",1998,2171.80991373737,2055.40873912047,1083.4807869022,3965.29772399308,1207.65905378889,3523.17957070781,NA,NA,NA,NA,NA,1882,"Ozette Lake Sockeye Salmon ESU"
"5",1999,2762.54368304139,2610.21802121624,1392.57621176072,5042.20430860802,1548.18221858671,4483.05918415277,NA,NA,NA,NA,NA,2620,"Ozette Lake Sockeye Salmon ESU"
"6",2000,3700.11097376411,3451.72750742457,1734.70716978063,7094.66886709172,1941.4752166968,6312.20030651654,2501.27501826454,1172.66204677171,4795.996154154,1312.43724648703,4267.04740720518,4851,"Ozette Lake Sockeye Salmon ESU"
"7",2001,3855.6670105557,3616.12382850214,1864.93871887734,7284.36124034833,2075.63042110797,6477.8139477076,3743.85266724958,1810.8554960299,7073.11476437823,2015.43713889584,6289.95734322408,4077,"Ozette Lake Sockeye Salmon ESU"
"8",2002,3890.95540793746,3650.64007646036,1924.34862764524,7245.43996839773,2142.53939048773,6440.77980376102,3634.15235101359,1797.34161822065,6767.24093048348,2001.13179071554,6015.68833671279,3820,"Ozette Lake Sockeye Salmon ESU"
"9",2003,4178.88756363609,3894.26071975385,1997.68595483447,7904.98667458541,2214.95898274779,7055.34313755748,4053.520936727,1937.75537618944,7667.83707434785,2148.51021326535,6843.68284343076,4876,"Ozette Lake Sockeye Salmon ESU"
"10",2004,3981.63467664661,3688.00054143139,1901.99024743312,7690.97333948405,2111.6586942933,6801.66367883598,3734.77332669452,1784.06685209227,7214.13299243604,1980.73585524711,6379.96053074815,6080,"Ozette Lake Sockeye Salmon ESU"
"11",2005,2558.49491691573,2433.13900776605,1237.37292218766,4664.9563170037,1386.06296614003,4150.76490275931,2302.64542522415,1113.6356299689,4198.46068530333,1247.45666952602,3735.68841248338,1721,"Ozette Lake Sockeye Salmon ESU"
"12",2006,2244.60051565216,2128.15991957832,1049.55491144109,4048.13950100865,1186.47699872026,3668.67663296054,2098.70148213477,981.333842197422,3785.01043344309,1109.35599380344,3430.2126518181,2075,"Ozette Lake Sockeye Salmon ESU"
"13",2007,1824.59198251216,1674.23031077852,692.839332092816,3752.14084327944,784.549465970118,3362.15955590176,1808.17065466955,686.603778103981,3718.37157568992,777.488520776387,3331.90011989865,748,"Ozette Lake Sockeye Salmon ESU"
"14",2008,2453.29545374146,2317.688055753,1175.69993617662,4471.59750627054,1322.05416513992,3999.69365000542,2222.68568108976,1065.18414217602,4051.26734068111,1197.78107361677,3623.72244690491,2151,"Ozette Lake Sockeye Salmon ESU"
"15",2009,3433.29569567317,3246.38360329668,1665.41173393666,6324.36371817717,1859.17151149238,5607.22760048973,3038.46669067075,1473.88938453394,5597.0618905868,1645.36678767076,4962.39642643341,4769,"Ozette Lake Sockeye Salmon ESU"
"16",2010,3366.03976915272,3208.30697324803,1671.3742841099,6001.8284935348,1880.06136519638,5384.01471230704,3083.29242854389,1530.97884424467,5497.67490007787,1722.13621051988,4931.75747647325,2986,"Ozette Lake Sockeye Salmon ESU"
"17",2011,3554.04079313085,3383.1594004202,1746.72764079576,6422.45638701024,1954.98387945114,5707.25668264736,3234.17712174907,1589.52215312414,5844.43531217932,1779.03533030053,5193.6035812091,2457,"Ozette Lake Sockeye Salmon ESU"
"18",2012,5028.25508809598,4682.33610106152,2412.6904089073,9400.03896688813,2701.75477924709,8454.59580881921,3409.15694972908,1635.80409723915,6373.22641955015,1831.78974032953,5732.21595837943,8206,"Ozette Lake Sockeye Salmon ESU"
