"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,27461.6277487837,25941.2869815475,13864.6913071195,49703.7387584562,15369.1312964709,44644.39436525,NA,NA,NA,NA,NA,37621,"Pacific Coast Chum"
"2",1996,49554.607165078,47534.051846294,26951.1257752407,84019.3943040278,29729.7609812351,76177.7112250512,NA,NA,NA,NA,NA,34361,"Pacific Coast Chum"
"3",1997,73263.5482920297,70232.9711798337,40481.782589156,123079.569041774,44225.4528576501,112390.051302408,NA,NA,NA,NA,NA,48995,"Pacific Coast Chum"
"4",1998,74273.6943768523,71222.2964636981,40946.9291750683,124449.976895511,44776.9475963669,113679.315405805,NA,NA,NA,NA,NA,101139,"Pacific Coast Chum"
"5",1999,49818.2402400505,48057.1384833639,27954.0661244317,82436.1965703343,30552.3927043801,75269.2518908413,NA,NA,NA,NA,NA,37535,"Pacific Coast Chum"
"6",2000,33569.9156822884,32085.5534685635,17917.8045436713,57899.2969959386,19639.7011098578,52540.96458228,NA,NA,NA,NA,NA,49097,"Pacific Coast Chum"
"7",2001,70873.2232636875,68210.9519536184,40101.7083025297,116861.733053468,43778.9059635043,107003.79459789,NA,NA,NA,NA,NA,71492,"Pacific Coast Chum"
"8",2002,114731.174977148,110077.978681857,61806.6023939037,194802.254982389,68004.7317171579,177333.468018358,NA,NA,NA,NA,NA,118192,"Pacific Coast Chum"
"9",2003,73701.4024602089,70920.952366614,41819.9943634784,121532.013795968,45503.9210425854,111168.494326416,NA,NA,NA,NA,NA,85896,"Pacific Coast Chum"
"10",2004,64460.2681062635,62014.0590726253,36587.0826598196,106348.613231911,39795.0940374544,97472.90167667,NA,NA,NA,NA,NA,102710,"Pacific Coast Chum"
"11",2005,37525.2912414346,36233.9065005651,21357.1685169805,61648.9281354378,23269.8252160481,56341.6846317008,NA,NA,NA,NA,NA,26200,"Pacific Coast Chum"
"12",2006,30726.2235427214,29643.5962423558,17475.4237867514,50399.7428469298,19057.7419342116,46073.9368261768,NA,NA,NA,NA,NA,26305,"Pacific Coast Chum"
"13",2007,26643.8751932845,25685.3258732452,15116.9610767232,43644.9179553548,16505.405260058,39970.9754401598,NA,NA,NA,NA,NA,28435,"Pacific Coast Chum"
"14",2008,19607.6323117041,18680.8081983818,10266.6018638569,34125.3789115897,11274.0008955103,31001.702903662,NA,NA,NA,NA,NA,NA,"Pacific Coast Chum"
"15",2009,35090.0206704848,33864.733430304,19812.8615753836,57655.5751222692,21597.601738603,53026.0684231915,NA,NA,NA,NA,NA,27973,"Pacific Coast Chum"
"16",2010,63299.7713129875,60984.5226130035,35711.5862237421,104472.201954081,39035.988791105,95666.9577754878,NA,NA,NA,NA,NA,58892,"Pacific Coast Chum"
"17",2011,78618.1879156711,75546.1607700241,44046.1900491055,130568.456943224,48216.8150759522,119437.376180875,NA,NA,NA,NA,NA,97589,"Pacific Coast Chum"
"18",2012,54647.0749822702,52666.8531638264,31069.6243429167,89537.9778133884,33857.0678651598,82038.4239484597,NA,NA,NA,NA,NA,52332,"Pacific Coast Chum"
"19",2013,53320.4707760703,51451.1281982889,30330.3532764394,87408.509502196,32986.1213712963,80118.9590582724,NA,NA,NA,NA,NA,45532,"Pacific Coast Chum"
"20",2014,49531.8155164739,47668.1200534415,27596.779212939,82509.8327905249,30109.4731664809,75461.3535186338,NA,NA,NA,NA,NA,41111,"Pacific Coast Chum"
"21",2015,83665.9340487635,80628.574495945,47331.3771270317,137544.839360536,51610.4381136692,126179.929926424,NA,NA,NA,NA,NA,79521,"Pacific Coast Chum"
"22",2016,157395.290955869,150651.321264009,81315.9788296874,273932.608968169,89584.3299265389,248264.424227234,NA,NA,NA,NA,NA,143087,"Pacific Coast Chum"
"23",2017,60199.1069461565,56677.4431130639,28000.7019806667,112473.366865006,31513.8841386654,100631.363226584,NA,NA,NA,NA,NA,NA,"Pacific Coast Chum"
"24",2018,90571.8655917976,87199.942019454,51790.8582062448,149258.258629102,56195.6220002651,136356.786856413,NA,NA,NA,NA,NA,105867,"Pacific Coast Chum"
"25",2019,59558.4609146718,56841.9131453733,31206.628874783,102852.577966865,34509.5682591184,93731.7108563702,NA,NA,NA,NA,NA,NA,"Pacific Coast Chum"
"26",2020,90266.1637058474,85355.8799214421,44157.7159556039,165360.500546861,49025.2262500997,148256.736492545,NA,NA,NA,NA,NA,NA,"Pacific Coast Chum"
